	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	IC	Ribose 5-phosphate de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			Alpha-D-Ribose 5-Phosphate[c]	1									
							Carbon Dioxide[s];Water[s]										
	IC	Mitochondrial succinyl-CoA de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			Carbon Dioxide[s];Water[s]			Succinyl Coenzyme A[m] => Coenzyme A[m]	1						
																	
#	De novo synthesis of other compounds																
	BS	Cholesterol de novo synthesis		Oxygen[s];D-Glucose[s]			Cholesterol[c]	1									
							Carbon Dioxide[s];Water[s]										
																	
#	Protein turnover																
	BS	Protein synthesis from AAs		Oxygen[s];D-Glucose[s];Ammonium[s];Water[s]			Albumin[c]	0.0001									
				L-Arginine[s];L-Histidine[s];L-Lysine[s];L-Methionine[s];L-Phenylalanine[s];L-Tryptophan[s];L-Tyrosine[s];L-Alanine[s];Glycine[s];L-Serine[s];L-Threonine[s];L-Aspartate[s];L-Glutamate[s];L-Asparagine[s];L-Glutamine[s];L-Isoleucine[s];L-Leucine[s];L-Proline[s];L-Valine[s];L-Cysteine[s]			Carbon Dioxide[s];Water[s];Hydrosulfide[s];Urate[s]										
																	
#	Electron transport chain and TCA																
	ER	Oxidative phosphorylation		Succinate[m];Nicotinamide Adenine Dinucleotide - Reduced[m];Proton[m]	1	1	Fumarate[m];Nicotinamide Adenine Dinucleotide[m]	1	1	Adenosine Triphosphate[m] + Water[m] => Adenosine Diphosphate[m] + Orthophosphate[m] + Proton[m]	1						
				Oxygen[s]			Water[s]										
	ER	Oxidative decarboxylation		Pyruvate[m];Nicotinamide Adenine Dinucleotide[m];Coenzyme A[m]	1	1	Acetyl Coenzyme A[m];Nicotinamide Adenine Dinucleotide - Reduced[m];Carbon Dioxide[s]	1	1								
							Proton[m]										
	ER	Krebs cycle NADH		Acetyl Coenzyme A[m];Guanosine-5'-Diphosphate[m];Ubiquinone-10[m]	1	1	Coenzyme A[m];Ubiquinol-10[m];Guanosine-5'-Triphosphate[m]	1	1								
				Nicotinamide Adenine Dinucleotide[m]	3	3	Nicotinamide Adenine Dinucleotide - Reduced[m]	3	3								
				Orthophosphate[m];Water[s]			Carbon Dioxide[s];Proton[c];Proton[m]										
	ER	Ubiquinol-to-proton		Ubiquinol-10[m]	1	1	Ubiquinone-10[m]	1	1								
				Oxygen[s];Proton[m]			Water[s]										
							Proton[c]	6									
	ER	Ubiquinol-to-atp		Ubiquinol-10[m]	1	1	Ubiquinone-10[m]	1	1	Adenosine Triphosphate[m] + Water[m] => Adenosine Diphosphate[m] + Orthophosphate[m] + Proton[m]	1						
				Oxygen[s];Proton[m]			Water[s];Proton[m];Proton[c]										
																	
#	Beta oxidation of fatty acids																
	SU	Beta oxidation of saturated FA		Octadecanoate (N-C18:0)[s]	1	1	Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] => Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
				Oxygen[s]													
	SU	Beta oxidation of long-chain FA		12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid[s]	1	1	Water[s];Carbon Dioxide[s]										
				Oxygen[s]													
	SU	Beta oxidation of odd-chain FA		Margaric Acid[s]	1	1	Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] => Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
				Oxygen[s]													
	SU	Beta oxidation of unsaturated fatty acid (n-9) 		17Z-Hexacosenoic Acid[s]	1	1	Water[s];Carbon Dioxide[s]										
				Oxygen[s]													
	SU	Beta oxidation of unsaturated fatty acid (n-6) 		Linoleate[s]	1	1	Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] => Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
				Oxygen[s]													
	SU	Uptake and beta oxidation of all NEFAs		Nefa-Blood-Pool-In[s]	1	1	Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] => Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
				Oxygen[s]													
																	
#	De novo synthesis of phospholipids																
	SU	Choline uptake		Choline[s]	1	1	Choline[c]	1	1								
	SU	Inositol uptake		Myo-Inositol[s]	1	1	Myo-Inositol[c]	1	1								
	BS	Phosphatidylcholine de novo synthesis		Choline[s];D-Glucose[s];Oxygen[s];Nefa-Blood-Pool-In[s];Orthophosphate[s]			Phosphatidylcholine[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
	BS	Phosphatidylethanolamine de novo synthesis		Ethanolamine[s];D-Glucose[s];Oxygen[s];Nefa-Blood-Pool-In[s];Orthophosphate[s]			Phosphatidylethanolamine[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
	BS	Phosphatidylserine de novo synthesis		L-Serine[s];D-Glucose[s];Oxygen[s];Nefa-Blood-Pool-In[s];Orthophosphate[s]			Phosphatidylserine[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
	BS	Phosphatidylinositol de novo synthesis		Myo-Inositol[s];D-Glucose[s];Oxygen[s];Nefa-Blood-Pool-In[s];Orthophosphate[s]			1-Phosphatidyl-1D-Myo-Inositol[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
																	
#	Vitamins and co-factors																
	BS	Thiamin phosphorylation to TPP		Thiamin[s];Orthophosphate[s];Oxygen[s];Water[s]			Thiamine Diphosphate[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s]										
	BS	Coenzyme A synthesis from pantothenate		(R)-Pantothenate[s];L-Cysteine[s];D-Glucose[s];Oxygen[s];Water[s];Orthophosphate[s];Ammonium[s]			Coenzyme A[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
	BS	FAD synthesis from riboflavin		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s];Riboflavin[s]			Flavin Adenine Dinucleotide Oxidized[c]	1									
							Water[s];Carbon Dioxide[s]										
	BS	Heme biosynthesis		Oxygen[s];Ammonium[s];D-Glucose[s];Iron (Fe2+)[s]			Protoheme[c]	1		Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Water[s];Carbon Dioxide[s]										
#	Growth																
	GR	Growth on Ham's media		L-Arginine[s]			ALLMETSIN[s]										
				L-Histidine[s]			Biomass[c]	1									
				L-Lysine[s]													
				L-Methionine[s]													
				L-Phenylalanine[s]													
				L-Tryptophan[s]													
				L-Tyrosine[s]													
				L-Alanine[s]													
				Glycine[s]													
				L-Serine[s]													
				L-Threonine[s]													
				L-Aspartate[s]													
				L-Glutamate[s]													
				L-Asparagine[s]													
				L-Glutamine[s]													
				L-Isoleucine[s]													
				L-Leucine[s]													
				L-Proline[s]													
				L-Valine[s]													
				L-Cysteine[s]													
				Thiamin[s]													
				Hypoxanthine[s]													
				Folate[s]													
				Biotin[s]													
				(R)-Pantothenate[s]													
				Choline[s]													
				Myo-Inositol[s]													
				Nicotinamide[s]													
				Pyridoxine[s]													
				Riboflavin[s]													
				Thymidine[s]													
				Aquacob(III)Alamin[s]													
				Lipoate[s]													
				D-Glucose[s]													
				Sulfate[s]													
				Linoleate[s]													
				Alpha-Linolenate[s]													
				Oxygen[s]													
				Water[s]													
				All-Trans-Retinoate[s]													
				Iron (Fe2+)[s]													
				Orthophosphate[s]													
				(+)-Alpha-Tocopherol[s]													
				(+)-Gama-Tocopherol[s]													
