IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
SLC28A1-related Pyrimidine nucleoside transporter deficiency 	ENSG00000156222	"9154.2, 9154.1"	MAM03123	MAM03123	m03123	uri	increase
MMACHC; PRDX1-related Epi-cblC deficiency 	ENSG00000117450	"5052.3, 5052.2, 5052.1"	MAM02133	MAM02133	m02133	hcys_L	increase
MMACHC; PRDX1-related Epi-cblC deficiency 	ENSG00000117450	"5052.3, 5052.2, 5052.1"	MAM02657	MAM02657	m02657	pcrn	increase
MMACHC; PRDX1-related Epi-cblC deficiency 	ENSG00000117450	"5052.3, 5052.2, 5052.1"	MAM00665	MAM00665	m00665	2mcit	increase
ASS1-related Argininosuccinate synthetase deficiency 	ENSG00000130707	"445.1, 445.2"	MAM02579	MAM02579	m02579	nh4	increase
ADA-related Adenosine deaminase deficiency 	ENSG00000196839	100.1	MAM01642	MAM01642	m01642	datp	increase
DGUOK-related Mitochondrial deoxyguanosine kinase deficiency 	ENSG00000114956	"1716.5, 1716.1, 1716.4, 1716.2, 1716.3"	MAM01965	MAM01965	m01965	glc_D	decrease
SHMT2-related Mitochondrial serine hydroxymethyltransferase deficiency 	ENSG00000182199	6472.1	MAM01115	MAM01115	m01115	5mthf	increase
ADA-related Adenosine deaminase superactivity 	ENSG00000196839	100.1	MAM01285	MAM01285	m01285	adp	increase
PNP-related Purine nucleoside phosphorylase deficiency 	ENSG00000198805	4860.1	MAM01671	MAM01671	m01671	din	increase
ASL-related Argininosuccinate lyase deficiency 	ENSG00000126522	435.1	MAM02579	MAM02579	m02579	nh4	increase
ARG1-related Arginase 1 deficiency 	ENSG00000118520	383.1	MAM02579	MAM02579	m02579	nh4	increase
SLC6A6-related Taurine transporter deficiency 	ENSG00000131389	6533.1	MAM02961	MAM02961	m02961	taur	decrease
SLC25A15-related Mitochondrial ornithine transporter deficiency 	ENSG00000102743	10166.1	MAM02579	MAM02579	m02579	nh4	increase
OXCT1-related Succinyl-CoA:3-oxoacid CoA transferase deficiency 	ENSG00000083720	5019.1	MAM01965	MAM01965	m01965	glc_D	decrease
MLYCD-related Malonyl-CoA decarboxylase deficiency 	ENSG00000103150	23417.1	MAM02443	MAM02443	c3dc	HC10859;c3dc	increase
MLYCD-related Malonyl-CoA decarboxylase deficiency 	ENSG00000103150	23417.1	MAM03923	MAM03923	sebacid	sebacid	increase
"SLC51A-related Cholestasis, progressive familial intrahepatic, 6 "	ENSG00000163959	200931.1	MAM01396	MAM01396	m01396	bilirub	increase
SLC25A13-related Citrin deficiency 	ENSG00000004864	10165.1	MAM02471	MAM02471	m02471	met_L	increase
SLC25A13-related Citrin deficiency 	ENSG00000004864	10165.1	MAM02579	MAM02579	m02579	nh4	increase
SLC25A13-related Citrin deficiency 	ENSG00000004864	10165.1	MAM01396	MAM01396	m01396	bilirub	increase
AKR1D1-related 4-3-Oxosteroid-5-reductase deficiency 	ENSG00000122787	6718.1	MAM01396	MAM01396	m01396	bilirub	increase
FAH-related Fumarylacetoacetase deficiency 	ENSG00000103876	2184.1	MAM02471	MAM02471	m02471	met_L	increase
FAH-related Fumarylacetoacetase deficiency 	ENSG00000103876	2184.1	MAM01074	MAM01074	m01074	5aop	increase
POR-related Cytochrome P450 oxidoreductase deficiency 	ENSG00000127948	5447.1	MAM01615	MAM01615	m01615	crtsl	decrease
POR-related Cytochrome P450 oxidoreductase deficiency 	ENSG00000127948	5447.1	MAM02969	MAM02969	m02969	tststerone	increase
NDUFB7-related NADH dehydrogenase beta subcomplex subunit 8 deficiency 	ENSG00000099795	4713.1	MAM02532	MAM02532	m02532	Nacasp	increase
UQCRH-related Ubiquinol-cytochrome C reductase hinge protein deficiency 	ENSG00000173660	7388.1	MAM02579	MAM02579	m02579	nh4	increase
SLC13A1-related Na-sulfate cotransporter deficiency 	ENSG00000081800	6561.1	MAM02581	MAM02581	m02581	nmn	decrease
KCNJ11-related ATP-sensitive potassium channel pore-forming subunit deficiency 	ENSG00000187486	3767.1	MAM01965	MAM01965	m01965	glc_D	decrease
GGT1-related Gamma-glutamyl transpeptidase deficiency 	ENSG00000100031	"2678.1, 2678.3, 2678.2"	MAM02366	MAM02366	m02366	leuktrC4	increase
GLYAT-related Glycine N-acyltransferase deficiency 	ENSG00000149124	10249.1	MAM01986	MAM01986	m01986	gly	increase
DLAT-related Dihydrolipoyl transacetylase deficiency 	ENSG00000150768	1737.1	MAM02819	MAM02819	m02819	pyr	increase
PDP1-related Pyruvate dehydrogenase phosphatase deficiency 	ENSG00000164951	54704.1	MAM02819	MAM02819	m02819	pyr	increase
CPT1A-related Carnitine palmitoyltransferase 1A deficiency 	ENSG00000110090	1374.1	MAM02348	MAM02348	m02348	crn	increase
SLC25A20-related Carnitine acylcarnitine translocase deficiency 	ENSG00000178537	788.1	MAM03923	MAM03923	sebacid	sebacid	increase
