Mets	DemandValue
MAM00969bc	-1899.497193
MAM02524bc	-1878.795086
MAM01155bc	-380.4094522
MAM01686bc	0
MAM01688bc	0
MAM01984bc	0
MAM01690bc	0
MAM01752bc	0
MAM01753bc	0
MAM01802bc	-10
MAM01831bc	0
MAM02042bc	-57.7057477
MAM01020bc	0
MAM01704bc	-380.4381793
MAM01913bc	0
MAM03127bc	0
MAM01605bc	0
MAM02659bc	-948.4959243
MAM02806bc	0
MAM02814bc	0
MAM02949bc	0
MAM02794bc	-1984.416256
MAM02795bc	-2319.355559
MAM01424bc	0
MAM03151bc	
MAM01435bc	-777.2945296
MAM02966bc	0
MAM02004bc	0
MAM02950bc	-278.4551297
MAM03129bc	0
MAM02777bc	-2319.355559
MAM02787bc	-2066.261772
MAM02445bc	
MAM02448bc	0
MAM00570bc	0
MAM00921bc	-5.24E-11
MAM02318bc	0
MAM02315bc	0
MAM02316bc	0
MAM02570bc	0
MAM02569bc	0
MAM02314bc	0
MAM02317bc	0
MAM02551bc	0
MAM02550bc	0
MAM02429bc	0
MAM01430bc	-543.0439432
MAM01315bc	
MAM03201bc	-89.9738579
MAM03202bc	
MAM03204bc	-89.9738579
MAM03217bc	-89.9738579
MAM03219bc	
MAM03243bc	
MAM03250bc	
MAM03251bc	
MAM03262bc	
MAM03264bc	-82.46187532
MAM03266bc	
MAM03268bc	-66.02519599
MAM03488bc	-89.9738579
MAM03489bc	-20.78759089
MAM03490bc	0
MAM03493bc	-20.78759089
MAM02443bc	-89.9738579
MAM02635bc	0
MAM03495bc	
MAM03496bc	
MAM03497bc	-39.9738579
MAM03498bc	-89.9738579
MAM03499bc	0
MAM03502bc	-89.9738579
MAM01583bc	-40.01566075
MAM03706bc	
MAM01423bc	
MAM00745bc	
MAM02964bc	-258.3285776
MAM01828bc	
MAM03103bc	0
MAM01005bc	0
MAM00824bc	
MAM00669bc	-34.80601016
MAM01013bc	
MAM01116bc	-0.025460161
MAM01127bc	0
MAM02871bc	
MAM01304bc	0
MAM01342bc	-5.465789726
MAM02559bc	0
MAM02384bc	-505.8041355
MAM00674bc	-99.0213306
MAM01103bc	-5.465789726
MAM00923bc	-136.2260973
MAM02738bc	-34.5657174
MAM01621bc	-14.819328
MAM02349bc	-13.23122251
MAM01644bc	-62.57149859
MAM01708bc	0
MAM01798bc	0
MAM02912bc	0
MAM01981bc	0
MAM02036bc	-2.155829052
MAM02133bc	0
MAM02183bc	0
MAM00990bc	-5.465789727
MAM02322bc	
MAM02319bc	-5.465789724
MAM02696bc	0
MAM02822bc	-5.465789726
MAM03150bc	0
MAM03149bc	-475.3182055
MAM00913bc	-62.67990126
MAM00775bc	-5.465789726
MAM03109bc	
MAM00788bc	-5.465789726
MAM02585bc	0
MAM02660bc	0
MAM02914bc	0
MAM01366bc	-15.07193021
MAM02634bc	
MAM02657bc	
MAM00105bc	
MAM02639bc	-89.9738579
MAM02940bc	-89.9738579
MAM02411bc	-89.9738579
MAM02676bc	-89.9738579
MAM03248bc	-237.1517345
MAM01209bc	-14.4251504
MAM00309bc	
MAM00380bc	0
MAM01892bc	-2334.888711
MAM00605bc	-0.00424336
MAM00670bc	
MAM01004bc	
MAM00784bc	0
MAM02142bc	0
MAM03234bc	
MAM03247bc	0
MAM00922bc	0
MAM00952bc	-1900.229191
MAM01705bc	-3.719808
MAM01052bc	-949.0478918
MAM01042bc	-2717.468803
MAM02805bc	-353.3012697
MAM03397bc	0
MAM03401bc	0
MAM03406bc	0
MAM03408bc	0
MAM03410bc	0
MAM02877bc	0
MAM03433bc	-0.00424336
MAM03434bc	0
MAM01399bc	0
MAM00169bc	-28.84197574
MAM02540bc	-237.1517344
MAM00337bc	-4.966330583
MAM02395bc	-34.74117854
MAM02396bc	-2595.684624
MAM01335bc	-1810.478452
MAM01054bc	0
MAM00279bc	-14.4251504
MAM00366bc	-14.4251504
MAM01216bc	
MAM01168bc	-5.64241653
MAM02531bc	-949.5969898
MAM01392bc	0
MAM00830bc	0
MAM03569bc	0
MAM00384bc	0
MAM01337bc	-0.00424336
MAM00376bc	0
MAM02365bc	-2944.440256
MAM00365bc	0
MAM01616bc	6.57E-11
MAM03550bc	0
MAM03551bc	0
MAM03558bc	0
MAM03561bc	0
MAM03562bc	-470.5868571
MAM00126bc	-62.98195381
MAM02574bc	-105.6589825
MAM02479bc	-14.03439871
MAM03649bc	0
MAM03652bc	0
MAM03654bc	-2369.583786
MAM02135bc	0
MAM02132bc	-13.99051244
MAM03681bc	
MAM02122bc	
MAM00585bc	-3583.745645
MAM00599bc	-3621.990554
MAM03724bc	0
MAM02388bc	0
MAM02413bc	0
MAM02343bc	-377.029882
MAM03751bc	0
MAM03752bc	0
MAM03753bc	0
MAM03754bc	0
MAM03755bc	0
MAM00167bc	0
MAM02173bc	-46.9650592
MAM02532bc	0
MAM02497bc	-526.4185661
MAM03796bc	0
MAM03802bc	0
MAM03803bc	0
MAM03804bc	0
MAM03805bc	
MAM03806bc	0
MAM03807bc	0
MAM03808bc	0
MAM03809bc	0
MAM03810bc	0
MAM03811bc	0
MAM03812bc	0
MAM03813bc	0
MAM03814bc	0
MAM03815bc	
MAM03816bc	0
MAM03818bc	0
MAM03817bc	0
MAM03819bc	0
MAM03820bc	0
MAM03821bc	0
MAM03822bc	0
MAM03823bc	0
MAM03824bc	0
MAM03826bc	0
MAM03825bc	0
MAM03827bc	0
MAM03828bc	0
MAM03829bc	0
MAM03831bc	0
MAM03830bc	0
MAM03832bc	0
MAM03833bc	0
MAM03834bc	0
MAM03835bc	0
MAM03840bc	0
MAM03843bc	0
MAM03844bc	0
MAM03846bc	0
MAM03847bc	0
MAM03848bc	0
MAM03856bc	
MAM03857bc	0
MAM03859bc	0
MAM03860bc	0
MAM03861bc	0
MAM03885bc	0
MAM02868bc	0
MAM03923bc	0
MAM03936bc	0
MAM03937bc	0
MAM03938bc	
MAM03940bc	0
MAM03939bc	0
MAM03941bc	0
MAM03943bc	0
MAM03942bc	0
MAM03945bc	0
MAM03944bc	
MAM03946bc	0
MAM03948bc	0
MAM03947bc	0
MAM03949bc	0
MAM03950bc	0
MAM03951bc	0
MAM03953bc	0
MAM03954bc	-468.9175141
MAM03977bc	0
MAM02992bc	0
MAM04006bc	0
MAM02974bc	0
MAM03124bc	-3.193820725
MAM00270bc	-3063.920245
MAM04075bc	0
MAM04077bc	
MAM04078bc	
MAM03400bc	0
MAM03398bc	0
MAM03862bc	0
MAM01788bc	0
MAM03232bc	0
MAM00821bc	
MAM01074bc	-1896.958578
MAM03396bc	0
MAM02536bc	-216.5402464
MAM01313bc	0
MAM01584bc	-2115.313133
MAM02344bc	-5317.499595
MAM01982bc	0
MAM03619bc	0
MAM01998bc	0
MAM02350bc	-131.2834993
MAM02633bc	0
MAM02720bc	-18.75060577
MAM03882bc	0
MAM00916bc	0
MAM00128bc	-2285.927354
MAM02723bc	-24.85798397
MAM02622bc	0
MAM02407bc	0
MAM00400bc	0
MAM02832bc	-3.602702864
MAM02451bc	
MAM00536bc	-6.010762278
MAM03896bc	-0.926208
MAM01698bc	-28.35971121
MAM02978bc	0
MAM02137bc	
MAM02908bc	-543.0439432
MAM03394bc	0
MAM01609bc	0
MAM01801bc	
MAM01954bc	0
MAM01955bc	0
MAM03772bc	0
MAM03773bc	0
MAM03774bc	0
MAM03776bc	0
MAM02525bc	-1897.21882
MAM02543bc	0
MAM01620bc	0
MAM01580bc	-203.3289178
MAM02733bc	0
MAM01991bc	0
MAM00758bc	-333.6030249
MAM00752bc	-315.1980638
MAM01093bc	-765.8521443
MAM01182bc	-797.6830753
MAM03313bc	-748.7889739
MAM00671bc	
MAM01683bc	-3766.138226
MAM01253bc	-9812.911206
MAM01306bc	-4661.094549
MAM01410bc	-9671.155152
MAM01626bc	-343.9540926
MAM01821bc	
MAM01862bc	0
MAM01393bc	-1408.269454
MAM03630bc	-0.926208
MAM02439bc	-269.7333854
MAM02588bc	0
MAM02759bc	0
MAM02946bc	-397.1459165
MAM02943bc	0
MAM01833bc	-3408.023011
MAM02169bc	-5.465789725
MAM02579bc	-1899.657314
MAM01252bc	-17834.90857
MAM01587bc	-203.3289178
MAM01632bc	0
MAM01672bc	0
MAM01797bc	-1898.148659
MAM01830bc	-70.00016044
MAM01909bc	-3129.097948
MAM01681bc	-2967.266507
MAM01973bc	0
MAM01983bc	-7177.042894
MAM02159bc	-475.5118392
MAM02450bc	
MAM03118bc	-948.9815007
MAM03148bc	-475.3434123
MAM01758bc	-3530.326116
MAM00995bc	0
MAM00729bc	-7.42464
MAM02772bc	-2419.369819
MAM02337bc	0
MAM02819bc	-7551.27396
MAM03039bc	0
MAM02332bc	-1849.796993
MAM01279bc	-380.412995
MAM01796bc	
MAM01249bc	0
MAM02049bc	-0.362197154
MAM03775bc	0
MAM02037bc	-380.3733976
MAM00970bc	-1899.022168
MAM02725bc	-24.85798397
MAM03099bc	-43.63420873
MAM00654bc	-24.85798397
MAM02336bc	0
MAM03136bc	-7.610862753
MAM02007bc	0
MAM00664bc	-7.409664
MAM00825bc	-12.04071526
MAM02190bc	
MAM03176bc	-8.504273471
MAM03186bc	-12.94129296
MAM03189bc	0
MAM03190bc	-71.10812199
MAM03245bc	0
