Mets	DemandValue
MAM02931bc	0
MAM02928bc	0
MAM02930bc	-415.282393433394
MAM02897bc	-5.46578972634163
MAM02939bc	-32.146822015297
MAM02962bc	-71.9518490816699
MAM02980bc	-70.0001604361752
MAM02983bc	
MAM02985bc	-10.0000000001164
MAM02997bc	-651.757208175484
MAM01784bc	-169.945342311775
MAM02969bc	0
MAM02967bc	-0.00424336024625616
MAM02968bc	-0.00424336027055316
MAM02991bc	0
MAM02494bc	-90.2177790441863
MAM02994bc	0
MAM03106bc	0
MAM03114bc	0
MAM00432bc	0
MAM04081bc	0
MAM01446bc	0
MAM01448bc	-107.164306646583
MAM00969bc	-498.752176613465
MAM02524bc	-427.574336505525
MAM01155bc	-245.352373550216
MAM01686bc	0
MAM01688bc	0
MAM01984bc	0
MAM01690bc	0
MAM01752bc	0
MAM01753bc	0
MAM01802bc	-10.0000000001395
MAM01831bc	0
MAM02042bc	-45.334762129548
MAM01020bc	0
MAM01704bc	-319.893404382286
MAM01913bc	0
MAM03127bc	-6.39777120170493e-11
MAM01605bc	0
MAM02659bc	-533.071345650768
MAM02806bc	0
MAM02814bc	0
MAM02949bc	0
MAM02794bc	-124.037516974345
MAM02795bc	-123.30897107464
MAM01424bc	0
MAM03151bc	-5.46578972513135
MAM01435bc	-85.8250329243632
MAM02966bc	0
MAM02004bc	0
MAM02950bc	-55.4486467962866
MAM03129bc	2.42978970277363e-11
MAM02777bc	-124.040428209506
MAM02787bc	-117.924809378936
MAM02924bc	-0.00212168012312808
MAM02445bc	0
MAM02448bc	0
MAM00570bc	-5.23620036219086e-11
MAM00921bc	5.39035482916006e-12
MAM02318bc	0
MAM02315bc	2.43655373655116e-11
MAM02316bc	0
MAM02570bc	0
MAM02569bc	0
MAM02314bc	0
MAM02317bc	0
MAM02551bc	0
MAM02550bc	0
MAM02429bc	0
MAM01430bc	-242.440403348925
MAM01315bc	-4.63528336003653
MAM03201bc	-89.9738578945075
MAM03202bc	-89.9738578979649
MAM03204bc	-89.9738578966918
MAM03217bc	-89.9738579007961
MAM03219bc	
MAM03243bc	-56.2653718923326
MAM03250bc	
MAM03251bc	
MAM03262bc	-89.9738578974899
MAM03264bc	-89.9738578983756
MAM03266bc	-89.9738578988757
MAM03268bc	-89.9738578944676
MAM03488bc	
MAM03489bc	-20.9610734272304
MAM03490bc	-10.4805367136021
MAM03493bc	-20.9610734272566
MAM02443bc	-89.9738578959209
MAM02635bc	-89.9738578997785
MAM03495bc	-27.78624
MAM03496bc	-20.622476412942
MAM03497bc	-39.9738578997785
MAM03498bc	-89.9738578945717
MAM03499bc	0
MAM03502bc	-89.9738578983985
MAM01583bc	-40.4425842928061
MAM03706bc	-56.265371892236
MAM01423bc	-19.6874764385758
MAM00745bc	-0.0360819059362359
MAM02964bc	-57.2532588552424
MAM01828bc	-9.99999999997678
MAM03103bc	0
MAM01005bc	0
MAM00824bc	0
MAM00669bc	-34.8060101560142
MAM01013bc	
MAM01116bc	-0.0254601614775374
MAM01127bc	0
MAM02871bc	0
MAM01304bc	0
MAM01342bc	-5.46578972615208
MAM02559bc	0
MAM02384bc	-107.855833671747
MAM01103bc	-5.46578972635325
MAM00923bc	-431.118369349044
MAM02738bc	-35.4984354462928
MAM01621bc	-14.9470808327488
MAM02349bc	-13.3267862256748
MAM01644bc	-73.0124191901414
MAM01708bc	0
MAM01798bc	0
MAM02912bc	0
MAM01981bc	0
MAM02036bc	-63.9606826179191
MAM02133bc	0
MAM02183bc	0
MAM00990bc	-5.46578972605637
MAM02322bc	0
MAM02319bc	-5.46578972633785
MAM02696bc	0
MAM02822bc	-5.4657897268447
MAM03150bc	0
MAM03149bc	-347.621217692846
MAM00913bc	-72.9511456202528
MAM00775bc	-5.46578972512482
MAM03109bc	0
MAM00788bc	-5.46578972638413
MAM02585bc	0
MAM02660bc	0
MAM02914bc	0
MAM01366bc	-34.5391027825343
MAM02634bc	-89.9738579004725
MAM02657bc	-89.9738579042314
MAM00105bc	-89.9738578988412
MAM02639bc	-89.9738578977453
MAM02940bc	
MAM02411bc	-89.9738579002997
MAM02676bc	-89.9738578953372
MAM03248bc	-162.816737182272
MAM01209bc	0
MAM00309bc	
MAM00380bc	0
MAM01892bc	-27.9508971901184
MAM00605bc	-0.00424336024625616
MAM00670bc	
MAM01004bc	-1.98016907254967
MAM00784bc	0
MAM02142bc	0
MAM03234bc	0
MAM03247bc	0
MAM00922bc	0
MAM00952bc	-908.139592323256
MAM01705bc	0
MAM01052bc	-373.461482847762
MAM01042bc	-140.327819740661
MAM02805bc	-45.552326090009
MAM03397bc	0
MAM03401bc	0
MAM03406bc	-0.00424336024625634
MAM03408bc	0
MAM03410bc	0
MAM02877bc	0
MAM03433bc	0
MAM03434bc	0
MAM01399bc	0
MAM00169bc	-42.0966231614964
MAM02540bc	-162.816737182477
MAM00337bc	0
MAM02395bc	-144.513908558683
MAM02396bc	-144.513908571194
MAM01335bc	-124.11296916415
MAM01054bc	-14.4352895524799
MAM00279bc	0
MAM00366bc	0
MAM01216bc	-432.547418836867
MAM01168bc	-0.673500780474411
MAM02531bc	-793.874805786816
MAM01392bc	0
MAM00830bc	0
MAM03569bc	0
MAM00384bc	0
MAM01337bc	-0.00424336027055361
MAM00376bc	0
MAM02365bc	-131.120434276933
MAM00365bc	0
MAM01616bc	5.24376098098855e-11
MAM03550bc	0
MAM03551bc	0
MAM03558bc	0
MAM03561bc	0
MAM03562bc	-116.818821497237
MAM00126bc	0
MAM02574bc	-145.147328445339
MAM02479bc	-68.7810307423929
MAM03649bc	0
MAM03652bc	0
MAM03654bc	-345.789214310515
MAM02135bc	0
MAM02132bc	0
MAM03681bc	0
MAM02122bc	-2.83636907016938e-09
MAM00585bc	-112.426136190393
MAM00599bc	-111.467456172586
MAM03724bc	0
MAM02388bc	0
MAM02413bc	0
MAM02343bc	-45.4334945505229
MAM03751bc	0
MAM03752bc	0
MAM03753bc	0
MAM03754bc	0
MAM03755bc	0
MAM00167bc	0
MAM02173bc	0
MAM02532bc	0
MAM02497bc	-424.287172362063
MAM03796bc	0
MAM03802bc	0
MAM03803bc	0
MAM03804bc	0
MAM03805bc	0
MAM03806bc	0
MAM03807bc	0
MAM03808bc	0
MAM03809bc	0
MAM03810bc	0
MAM03811bc	0
MAM03812bc	0
MAM03813bc	0
MAM03814bc	0
MAM03815bc	0
MAM03816bc	0
MAM03818bc	0
MAM03817bc	0
MAM03819bc	0
MAM03820bc	0
MAM03821bc	0
MAM03822bc	0
MAM03823bc	0
MAM03824bc	0
MAM03826bc	0
MAM03825bc	0
MAM03827bc	0
MAM03828bc	0
MAM03829bc	0
MAM03831bc	0
MAM03830bc	0
MAM03832bc	0
MAM03833bc	0
MAM03834bc	0
MAM03835bc	0
MAM03840bc	0
MAM03843bc	0
MAM03844bc	0
MAM03846bc	0
MAM03847bc	0
MAM03848bc	0
MAM03856bc	0
MAM03857bc	0
MAM03859bc	0
MAM03860bc	0
MAM03861bc	0
MAM03885bc	0
MAM02868bc	0
MAM03923bc	0
MAM03936bc	0
MAM03937bc	0
MAM03938bc	0
MAM03940bc	0
MAM03939bc	0
MAM03941bc	0
MAM03943bc	0
MAM03942bc	0
MAM03945bc	0
MAM03944bc	0
MAM03946bc	0
MAM03948bc	0
MAM03947bc	0
MAM03949bc	0
MAM03950bc	0
MAM03951bc	0
MAM03953bc	0
MAM03954bc	-116.374452771613
MAM03977bc	0
MAM02992bc	0
MAM04006bc	0
MAM02974bc	-24.6978436353782
MAM03124bc	-3.19382072472945
MAM00270bc	-147.172542859194
MAM04075bc	0
MAM04077bc	0
MAM04078bc	0
MAM03400bc	0
MAM03398bc	0
MAM03862bc	0
MAM01788bc	0
MAM03232bc	0
MAM00821bc	0
MAM01074bc	-806.876431036523
MAM03396bc	0
MAM02536bc	-103.464375682732
MAM01313bc	0
MAM01584bc	-340.857720920518
MAM02344bc	-608.648346670341
MAM01982bc	0
MAM03619bc	-0.593648502037606
MAM01998bc	0
MAM02350bc	0
MAM02633bc	0
MAM02720bc	-18.8686803430768
MAM03882bc	0
MAM00916bc	0
MAM00128bc	-389.014146956227
MAM02723bc	-24.8579839678469
MAM02622bc	0
MAM02407bc	0
MAM00400bc	0
MAM02832bc	-3.60270286444575
MAM02451bc	0
MAM00536bc	-6.01076227723231
MAM03896bc	-0.926208000048064
MAM01698bc	-151.136452417521
MAM02978bc	-1.25801790511366
MAM02137bc	-7.69222691555208
