ID	Name	Formula	Charge	Compartment
MAM00821e	3-methoxytyramine	C9H14NO2	1	e
MAM02531e	N-acetyl-L-asparagine	C6H9N2O4	-1	e
MAM03401e	Acetyl-L-Lysine	C8H16N2O3	0	e
MAM01306e	AKG	C5H4O5	-2	e
MAM02322e	L-2-aminoadipate	C6H10NO4	-1	e
MAM01074e	5-aminolevulinate	C5H9NO3	0	e
MAM01588e	citrulline	C6H13N3O3	0	e
MAM01668e	deoxycytidine	C9H13N3O4	0	e
MAM01671e	deoxyinosine	C10H12N4O4	0	e
MAM01975e	glutamine	C5H10N2O3	0	e
MAM02036e	guanidinoacetate	C3H7N3O2	0	e
MAM02411e	L-palmitoylcarnitine	C23H45NO4	0	e
MAM02132e	homocarnosine	C10H16N4O3	0	e
MAM01005e	4-hydroxyphenylpyruvate	C9H7O4	-1	e
MAM03037e	trans-4-hydroxy-L-proline	C5H9NO3	0	e
MAM02169e	indoleacetate	C10H8NO2	-1	e
MAM02471e	methionine	C5H11NO2S	0	e
MAM02517e	"N6,N6,N6-trimethyl-L-lysine"	C9H20N2O2	0	e
MAM02536e	N-acetyl-L-glutamate	C7H9NO5	-2	e
MAM02409e	L-octanoylcarnitine	C15H29NO4	0	e
MAM01798e	ethanolamine-phosphate	C2H7NO4P	-1	e
MAM02658e	ornithine	C5H13N2O2	1	e
MAM02720e	phenylacetate	C8H7O2	-1	e
MAM02723e	phenylacetylglycine	C10H10NO3	-1	e
MAM02724e	phenylalanine	C9H11NO2	0	e
MAM02843e	ribose	C5H10O5	0	e
MAM02897e	serotonin	C10H13N2O	1	e
MAM01116e	5-methylthioadenosine	C11H15N5O3S	0	e
MAM03101e	tyrosine	C9H11NO3	0	e
MAM03118e	uracil	C4H4N2O2	0	e
MAM03123e	uridine	C9H12N2O6	0	e
MAM01655e	dehydroascorbic acid	C6H5O6	-1	e
MAM00990e	4-hydroxy-2-quinolinecarboxylic acid	C10H6NO3	-1	e
MAM02770e	proline	C5H9NO2	0	e
MAM03630e	Glycylproline	C7H12N2O3	0	e
MAM02037e	guanine	C5H5N5O	0	e
MAM02166e	imidazole-4-acetate	C5H5N2O2	-1	e
MAM02319e	kynurenine	C10H12N2O3	0	e
MAM02583e	nicotinamide	C6H6N2O	0	e
MAM01682e	D-glucitol	C6H14O6	0	e
MAM02039e	H+	H	1	e
MAM01307e	alanine	C3H7NO2	0	e
MAM01365e	arginine	C6H15N4O2	1	e
MAM01369e	asparagine	C4H8N2O3	0	e
MAM01833e	formate	CH1O2	-1	e
MAM01986e	glycine	C2H5NO2	0	e
MAM02819e	pyruvate	C3H3O3	-1	e
MAM01758e	D-xylose	C5H10O5	0	e
MAM01910e	galactose	C6H12O6	0	e
MAM03155e	xylitol	C5H12O5	0	e
MAM02936e	starch structure 1	C66H112O56	0	e
MAM02450e	maltose	C12H22O11	0	e
MAM02945e	sucrose	C12H22O11	0	e
MAM02332e	lactose	C12H22O11	0	e
MAM01840e	fructose	C6H12O6	0	e
MAM02527e	N-acetylglucosamine	C8H15NO6	0	e
MAM01796e	ethanol	C2H6O	0	e
MAM02938e	stearate	C18H35O2	-1	e
MAM02389e	linolenate	C18H29O2	-1	e
MAM02387e	linoleate	C18H31O2	-1	e
MAM02385e	lignocerate	C24H47O2	-1	e
MAM02336e	lanosterol	C30H50O	0	e
MAM02344e	lauric acid	C12H23O2	-1	e
MAM02642e	octanoic acid	C8H15O2	-1	e
MAM02962e	taurochenodeoxycholate	C26H45NO6S	0	e
MAM01584e	cis-gondoic acid	C20H37O2	-1	e
MAM01362e	arachidonate	C20H31O2	-1	e
MAM03142e	vitamin D3	C27H44O	0	e
MAM01327e	alpha-tocopherol	C29H50O2	0	e
MAM02494e	myristic acid	C14H27O2	-1	e
MAM01741e	DPA	C22H33O2	-1	e
MAM01385e	beta-carotene	C40H56	0	e
MAM01987e	glycochenodeoxycholate	C26H43NO5	0	e
MAM00671e	2-oxobutyrate	C4H5O3	-1	e
MAM02456e	margaric acid	C17H33O2	-1	e
MAM02834e	retinol	C20H30O	0	e
MAM02744e	phylloquinone	C31H46O2	0	e
MAM01696e	dihomo-gamma-linolenate	C20H33O2	-1	e
MAM01771e	eicosanoate	C20H39O2	-1	e
MAM01648e	decanoic acid	C10H19O2	-1	e
MAM01450e	cholesterol	C27H46O	0	e
MAM02812e	putrescine	C4H14N2	2	e
MAM01373e	behenic acid	C22H43O2	-1	e
MAM01689e	DHA	C22H31O2	-1	e
MAM01583e	cis-erucic acid	C22H41O2	-1	e
MAM01989e	glycodeoxycholate	C26H43NO5	0	e
MAM02690e	pentadecylic acid	C15H29O2	-1	e
MAM02963e	taurocholate	C26H45NO7S	0	e
MAM02675e	palmitolate	C16H29O2	-1	e
MAM02982e	thiamin	C12H17N4OS	1	e
MAM02038e	guanosine	C10H13N5O5	0	e
MAM01632e	cytosine	C4H5N3O	0	e
MAM02877e	SAM	C15H23N6O5S	1	e
MAM01666e	deoxyadenosine	C10H13N5O3	0	e
MAM02159e	hypoxanthine	C5H4N4O	0	e
MAM01280e	adenosine	C10H13N5O4	0	e
MAM01334e	AMP	C10H12N5O7P	-2	e
MAM01279e	adenine	C5H5N5	0	e
MAM01669e	deoxyguanosine	C10H13N5O4	0	e
MAM01628e	cysteine	C3H7NO2S	0	e
MAM02125e	histidine	C6H9N3O2	0	e
MAM01638e	D-alanine	C3H7NO2	0	e
MAM02579e	NH4+	H4N	1	e
MAM02578e	NH3	H3N	0	e
