Row	AdultMale_Adipocytes	AdultMale_Agland	AdultMale_Brain	AdultMale_Colon	AdultMale_Heart	AdultMale_Kidney	AdultMale_Liver	AdultMale_Lung	AdultMale_Muscle	AdultMale_Pancreas	AdultMale_Prostate	AdultMale_Scord	AdultMale_sIEC	AdultMale_Skin	AdultMale_Spleen	AdultMale_Stomach	AdultMale_Testis	AdultMale_Thyroidgland	AdultMale_Urinarybladder	ElderlyMale_Adipocytes	ElderlyMale_Agland	ElderlyMale_Brain	ElderlyMale_Colon	ElderlyMale_Heart	ElderlyMale_Kidney	ElderlyMale_Liver	ElderlyMale_Lung	ElderlyMale_Muscle	ElderlyMale_Pancreas	ElderlyMale_Prostate	ElderlyMale_Scord	ElderlyMale_sIEC	ElderlyMale_Skin	ElderlyMale_Spleen	ElderlyMale_Stomach	ElderlyMale_Testis	ElderlyMale_Thyroidgland	ElderlyMale_Urinarybladder	AdultFemale_Adipocytes	AdultFemale_Agland	AdultFemale_Brain	AdultFemale_Breast	AdultFemale_Cervix	AdultFemale_Colon	AdultFemale_Heart	AdultFemale_Kidney	AdultFemale_Liver	AdultFemale_Lung	AdultFemale_Muscle	AdultFemale_Ovary	AdultFemale_Pancreas	AdultFemale_Scord	AdultFemale_sIEC	AdultFemale_Skin	AdultFemale_Spleen	AdultFemale_Stomach	AdultFemale_Thyroidgland		AdultFemale_Uterus	ElderlyFemale_Adipocytes	ElderlyFemale_Agland	ElderlyFemale_Brain	ElderlyFemale_Breast	ElderlyFemale_Cervix	ElderlyFemale_Colon	ElderlyFemale_Heart	ElderlyFemale_Kidney	ElderlyFemale_Liver	ElderlyFemale_Lung	ElderlyFemale_Muscle	ElderlyFemale_Ovary	ElderlyFemale_Pancreas	ElderlyFemale_Scord	ElderlyFemale_sIEC	ElderlyFemale_Skin	ElderlyFemale_Spleen	ElderlyFemale_Stomach	ElderlyFemale_Thyroidgland	ElderlyFemale_Urinarybladder	ElderlyFemale_Uterus
Gluconeogenesis from Lactate and optionally fatty acid	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1
Gluconeogenesis from Glycerol and optionally fatty acid	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1		1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0
Gluconeogenesis from Alanine and fatty acid	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1		1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0
Storage of glucose in Glycogen	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Release of glucose from Glycogen	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"UDP-galactose de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0		0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0
"GDP-L-fucose de novo synthesis (minimal substrates, physiological excretion)"	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1		1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1
"GDP-mannose de novo synthesis (minimal substrates, physiological excretion)"	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1		1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1
"UDP-N-acetyl D-galactosamine de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0		0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0
"CMP-N-acetylneuraminate de novo synthesis (minimal substrates, physiological excretion)"	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1		1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
"N-Acetylglucosamine de novo synthesis (minimal substrates, physiological excretion)"	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1		1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0
"Glucuronate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Alanine de novo synthesis (minimal substrates, minimal excretion)"	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1		0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1
"Arginine de novo synthesis (minimal substrates, minimal excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"Asparagine de novo synthesis (minimal substrates, minimal excretion)"	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1
"Glutamate de novo synthesis (minimal substrates, minimal excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Proline de novo synthesis (minimal substrates, minimal excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1		1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Tyrosine de novo synthesis (minimal substrates with AA, minimal excretion)"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"Homocysteine de novo synthesis (minimal substrates with AA, minimal excretion)"	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"beta-Alanine de novo synthesis (minimal substrates, minimal excretion)"	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Ornithine degradation	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Urea from alanine	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Urea from glutamine	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Heme de novo synthesis (minimal substrates, physiological excretion)"	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0		1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
"PC de novo synthesis (physiological substrates, physiological excretion)"	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1		1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1
"PE de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"PS de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"PI de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Cardiolipin de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SM de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Ceramide de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Lactosylceramide de novo synthesis (physiological substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"THF de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1		0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Acetoacetate de novo synthesis	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0		0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1
(R)-3-Hydroxybutanoate de novo synthesis	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0		0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1
"Farnesyl-PP de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
"Lauric acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Tridecylic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Myristic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"9E-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"7Z-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Physeteric acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Pentadecylic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Palmitate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Palmitolate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"7-palmitoleic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"Margaric acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"10Z-heptadecenoic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"9-heptadecylenic acid de novo synthesis (minimal substrates, physiological excretion)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Stearate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"13Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
"cis-vaccenic acid de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Oleate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"Elaidate de novo synthesis (minimal substrates, physiological excretion)"	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1		1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1
