ID	Name	Formula	Charge	Compartment
sIEC_MAM01415luI	calcidiol	C27H44O2	0.0	luI
sIEC_MAM02354luI	L-dopa	C9H11NO4	0.0	luI
sIEC_MAM02360luI	leucine	C6H13NO2	0.0	luI
sIEC_MAM02519luI	Na+	Na	1.0	luI
sIEC_MAM01115luI	5-methyl-THF	C20H24N7O6	-1.0	luI
sIEC_MAM02147luI	hydroxide	HO	-1.0	luI
sIEC_MAM01280luI	adenosine	C10H13N5O4	0.0	luI
sIEC_MAM02039luI	H+	H	1.0	luI
sIEC_MAM01307luI	alanine	C3H7NO2	0.0	luI
sIEC_MAM01369luI	asparagine	C4H8N2O3	0.0	luI
sIEC_MAM01628luI	cysteine	C3H7NO2S	0.0	luI
sIEC_MAM01638luI	D-alanine	C3H7NO2	0.0	luI
sIEC_MAM01975luI	glutamine	C5H10N2O3	0.0	luI
sIEC_MAM02896luI	serine	C3H7NO3	0.0	luI
sIEC_MAM02993luI	threonine	C4H9NO3	0.0	luI
sIEC_MAM02389luI	linolenate	C18H29O2	-1.0	luI
sIEC_MAM02040luI	H2O	H2O	0.0	luI
sIEC_MAM02936luI	starch structure 1	C66H112O56	0.0	luI
sIEC_MAM01965luI	glucose	C6H12O6	0.0	luI
sIEC_MAM02937luI	starch structure 2	C18H32O16	0.0	luI
sIEC_MAM01992luI	glycogenin G4G7	C1845H2835N455O583S14	0.0	luI
sIEC_MAM03622luI	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	C1797H2755N455O543S14	0.0	luI
sIEC_MAM01362luI	arachidonate	C20H31O2	-1.0	luI
sIEC_MAM01771luI	eicosanoate	C20H39O2	-1.0	luI
sIEC_MAM01365luI	arginine	C6H15N4O2	1.0	luI
sIEC_MAM01368luI	ascorbate	C6H7O6	-1.0	luI
sIEC_MAM01641luI	D-aspartate	C4H6NO4	-1.0	luI
sIEC_MAM02200luI	K+	K	1.0	luI
sIEC_MAM01370luI	aspartate	C4H6NO4	-1.0	luI
sIEC_MAM01383luI	beta-alanine	C3H7NO2	0.0	luI
sIEC_MAM03483luI	Beta-Glucans	C1200000H2200000O1100000	0.0	luI
sIEC_MAM01988luI	glycocholate	C26H43NO6	0.0	luI
sIEC_MAM03595luI	Beta Glucan-Glycocholate Complex	C1200026H2200043NO1100006	0.0	luI
sIEC_MAM02963luI	taurocholate	C26H45NO7S	0.0	luI
sIEC_MAM03604luI	Beta Glucan-Taurocholic Acid Complex	C1200026H2200045NO1100007S	0.0	luI
sIEC_MAM02964luI	taurodeoxycholate	C26H44NO6S	-1.0	luI
sIEC_MAM03605luI	Beta Glucan-Taurodeoxycholic Acid Complex	C1200026H2200044NO1100006S	-1.0	luI
sIEC_MAM01397luI	bilirubin-bisglucuronoside	C45H50N4O18	-2.0	luI
sIEC_MAM01398luI	bilirubin-monoglucuronoside	C39H42N4O12	-2.0	luI
sIEC_MAM01401luI	biotin	C10H15N2O3S	-1.0	luI
sIEC_MAM01423luI	carnosine	C9H14N4O3	0.0	luI
sIEC_MAM01450luI	cholesterol	C27H46O	0.0	luI
sIEC_MAM01445luI	cholate	C24H39O5	-1.0	luI
sIEC_MAM01451luI	cholesterol-ester pool	C28H45O2R	0.0	luI
sIEC_MAM01513luI	choline	C5H14NO	1.0	luI
sIEC_MAM02348luI	L-carnitine	C7H15NO3	0.0	luI
sIEC_MAM01627luI	cysteamine	C2H8NS	1.0	luI
sIEC_MAM02630luI	O2	O2	0.0	luI
sIEC_MAM02157luI	hypotaurine	C2H7NO2S	0.0	luI
sIEC_MAM01630luI	cytidine	C9H13N3O5	0.0	luI
sIEC_MAM03103luI	ubiquinone	C59H90O4	0.0	luI
sIEC_MAM01666luI	deoxyadenosine	C10H13N5O3	0.0	luI
sIEC_MAM00240luI	1,2-diacylglycerol-LD-TAG pool	C5H6O5R2	0.0	luI
sIEC_MAM01668luI	deoxycytidine	C9H13N3O4	0.0	luI
sIEC_MAM01669luI	deoxyguanosine	C10H13N5O4	0.0	luI
