ID	Name	GPR	Subsystem	Reaction	Reaction_eq	Lb	Ub	Mets_Coefficient	Metabolites	Coefficient	
MAR09460			Exchange/demand reactions	MAM01621e => 	creatinine => 	0	1000	{'MAM01621e': -1.0}	['MAM01621e']	[-1.0]	Exchange/demand reactions
MAR09295			Exchange/demand reactions	MAM01630e => 	cytidine => 	0	1000	{'MAM01630e': -1.0}	['MAM01630e']	[-1.0]	Exchange/demand reactions
MAR09296			Exchange/demand reactions	MAM01668e => 	deoxycytidine => 	0	1000	{'MAM01668e': -1.0}	['MAM01668e']	[-1.0]	Exchange/demand reactions
MAR09305			Exchange/demand reactions	MAM01671e => 	deoxyinosine => 	0	1000	{'MAM01671e': -1.0}	['MAM01671e']	[-1.0]	Exchange/demand reactions
MAR09310			Exchange/demand reactions	MAM01673e => 	deoxyuridine => 	0	1000	{'MAM01673e': -1.0}	['MAM01673e']	[-1.0]	Exchange/demand reactions
MAR11400			Exchange/demand reactions	MAM01862e => 	fumarate => 	0	1000	{'MAM01862e': -1.0}	['MAM01862e']	[-1.0]	Exchange/demand reactions
MAR09063			Exchange/demand reactions	MAM01975e => 	glutamine => 	0	1000	{'MAM01975e': -1.0}	['MAM01975e']	[-1.0]	Exchange/demand reactions
MAR09342			Exchange/demand reactions	MAM01982e => 	glycerate => 	0	1000	{'MAM01982e': -1.0}	['MAM01982e']	[-1.0]	Exchange/demand reactions
MAR09862			Exchange/demand reactions	MAM00913e => 	3-phospho-D-glycerate => 	0	1000	{'MAM00913e': -1.0}	['MAM00913e']	[-1.0]	Exchange/demand reactions
MAR09852			Exchange/demand reactions	MAM02036e => 	guanidinoacetate => 	0	1000	{'MAM02036e': -1.0}	['MAM02036e']	[-1.0]	Exchange/demand reactions
MAR09925			Exchange/demand reactions	MAM02411e => 	L-palmitoylcarnitine => 	0	1000	{'MAM02411e': -1.0}	['MAM02411e']	[-1.0]	Exchange/demand reactions
MAR10248			Exchange/demand reactions	MAM02132e => 	homocarnosine => 	0	1000	{'MAM02132e': -1.0}	['MAM02132e']	[-1.0]	Exchange/demand reactions
MAR09843			Exchange/demand reactions	MAM01103e => 	5-hydroxyindoleacetate => 	0	1000	{'MAM01103e': -1.0}	['MAM01103e']	[-1.0]	Exchange/demand reactions
MAR09010			Exchange/demand reactions	MAM01005e => 	4-hydroxyphenylpyruvate => 	0	1000	{'MAM01005e': -1.0}	['MAM01005e']	[-1.0]	Exchange/demand reactions
MAR08386			Exchange/demand reactions	MAM03037e => 	trans-4-hydroxy-L-proline => 	0	1000	{'MAM03037e': -1.0}	['MAM03037e']	[-1.0]	Exchange/demand reactions
MAR11419			Exchange/demand reactions	MAM02169e => 	indoleacetate => 	0	1000	{'MAM02169e': -1.0}	['MAM02169e']	[-1.0]	Exchange/demand reactions
MAR09361			Exchange/demand reactions	MAM02171e => 	inositol => 	0	1000	{'MAM02171e': -1.0}	['MAM02171e']	[-1.0]	Exchange/demand reactions
MAR04164			Exchange/demand reactions	MAM02402e => 	lithocholate => 	0	1000	{'MAM02402e': -1.0}	['MAM02402e']	[-1.0]	Exchange/demand reactions
MAR09042			Exchange/demand reactions	MAM02471e => 	methionine => 	0	1000	{'MAM02471e': -1.0}	['MAM02471e']	[-1.0]	Exchange/demand reactions
MAR10243			Exchange/demand reactions	MAM02479e => 	methylmalonate => 	0	1000	{'MAM02479e': -1.0}	['MAM02479e']	[-1.0]	Exchange/demand reactions
MAR10343			Exchange/demand reactions	MAM02517e => 	"N6,N6,N6-trimethyl-L-lysine => "	0	1000	{'MAM02517e': -1.0}	['MAM02517e']	[-1.0]	Exchange/demand reactions
MAR10264			Exchange/demand reactions	MAM02532e => 	N-acetyl-L-aspartate => 	0	1000	{'MAM02532e': -1.0}	['MAM02532e']	[-1.0]	Exchange/demand reactions
MAR10430			Exchange/demand reactions	MAM02536e => 	N-acetyl-L-glutamate => 	0	1000	{'MAM02536e': -1.0}	['MAM02536e']	[-1.0]	Exchange/demand reactions
MAR04918			Exchange/demand reactions	MAM02409e => 	L-octanoylcarnitine => 	0	1000	{'MAM02409e': -1.0}	['MAM02409e']	[-1.0]	Exchange/demand reactions
MAR09849			Exchange/demand reactions	MAM01798e => 	ethanolamine-phosphate => 	0	1000	{'MAM01798e': -1.0}	['MAM01798e']	[-1.0]	Exchange/demand reactions
MAR09087			Exchange/demand reactions	MAM02658e => 	ornithine => 	0	1000	{'MAM02658e': -1.0}	['MAM02658e']	[-1.0]	Exchange/demand reactions
MAR10439			Exchange/demand reactions	MAM02720e => 	phenylacetate => 	0	1000	{'MAM02720e': -1.0}	['MAM02720e']	[-1.0]	Exchange/demand reactions
MAR09449			Exchange/demand reactions	MAM02723e => 	phenylacetylglycine => 	0	1000	{'MAM02723e': -1.0}	['MAM02723e']	[-1.0]	Exchange/demand reactions
MAR09043			Exchange/demand reactions	MAM02724e => 	phenylalanine => 	0	1000	{'MAM02724e': -1.0}	['MAM02724e']	[-1.0]	Exchange/demand reactions
MAR09406			Exchange/demand reactions	MAM02843e => 	ribose => 	0	1000	{'MAM02843e': -1.0}	['MAM02843e']	[-1.0]	Exchange/demand reactions
MAR09412			Exchange/demand reactions	MAM02897e => 	serotonin => 	0	1000	{'MAM02897e': -1.0}	['MAM02897e']	[-1.0]	Exchange/demand reactions
MAR09021			Exchange/demand reactions	MAM01116e => 	5-methylthioadenosine => 	0	1000	{'MAM01116e': -1.0}	['MAM01116e']	[-1.0]	Exchange/demand reactions
MAR09415			Exchange/demand reactions	MAM02943e => 	succinate => 	0	1000	{'MAM02943e': -1.0}	['MAM02943e']	[-1.0]	Exchange/demand reactions
MAR09423			Exchange/demand reactions	MAM02996e => 	thymidine => 	0	1000	{'MAM02996e': -1.0}	['MAM02996e']	[-1.0]	Exchange/demand reactions
MAR09064			Exchange/demand reactions	MAM03101e => 	tyrosine => 	0	1000	{'MAM03101e': -1.0}	['MAM03101e']	[-1.0]	Exchange/demand reactions
MAR09437			Exchange/demand reactions	MAM03118e => 	uracil => 	0	1000	{'MAM03118e': -1.0}	['MAM03118e']	[-1.0]	Exchange/demand reactions
MAR09439			Exchange/demand reactions	MAM03123e => 	uridine => 	0	1000	{'MAM03123e': -1.0}	['MAM03123e']	[-1.0]	Exchange/demand reactions
MAR10188			Exchange/demand reactions	MAM03247e => 	3-Methylhistidine => 	0	1000	{'MAM03247e': -1.0}	['MAM03247e']	[-1.0]	Exchange/demand reactions
MAR09863			Exchange/demand reactions	MAM00775e => 	3-hydroxyanthranilate => 	0	1000	{'MAM00775e': -1.0}	['MAM00775e']	[-1.0]	Exchange/demand reactions
MAR09222			Exchange/demand reactions	MAM01633e => 	D-3-amino-isobutanoate => 	0	1000	{'MAM01633e': -1.0}	['MAM01633e']	[-1.0]	Exchange/demand reactions
MAR08646			Exchange/demand reactions	MAM00745e => 	"3alpha,12alpha-dihydroxy-5beta-cholanate => "	0	1000	{'MAM00745e': -1.0}	['MAM00745e']	[-1.0]	Exchange/demand reactions
MAR09848			Exchange/demand reactions	MAM01708e => 	dimethylglycine => 	0	1000	{'MAM01708e': -1.0}	['MAM01708e']	[-1.0]	Exchange/demand reactions
MAR09281			Exchange/demand reactions	MAM01988e => 	glycocholate => 	0	1000	{'MAM01988e': -1.0}	['MAM01988e']	[-1.0]	Exchange/demand reactions
MAR09853			Exchange/demand reactions	MAM02133e => 	homocysteine => 	0	1000	{'MAM02133e': -1.0}	['MAM02133e']	[-1.0]	Exchange/demand reactions
MAR10247			Exchange/demand reactions	MAM02135e => 	homogentisate => 	0	1000	{'MAM02135e': -1.0}	['MAM02135e']	[-1.0]	Exchange/demand reactions
MAR09039			Exchange/demand reactions	MAM02184e => 	isoleucine => 	0	1000	{'MAM02184e': -1.0}	['MAM02184e']	[-1.0]	Exchange/demand reactions
MAR09040			Exchange/demand reactions	MAM02360e => 	leucine => 	0	1000	{'MAM02360e': -1.0}	['MAM02360e']	[-1.0]	Exchange/demand reactions
MAR10255			Exchange/demand reactions	MAM02413e => 	L-pipecolate => 	0	1000	{'MAM02413e': -1.0}	['MAM02413e']	[-1.0]	Exchange/demand reactions
MAR09808			Exchange/demand reactions	MAM02772e => 	propanoate => 	0	1000	{'MAM02772e': -1.0}	['MAM02772e']	[-1.0]	Exchange/demand reactions
MAR09921			Exchange/demand reactions	MAM02657e => 	O-propanoylcarnitine => 	0	1000	{'MAM02657e': -1.0}	['MAM02657e']	[-1.0]	Exchange/demand reactions
MAR09418			Exchange/demand reactions	MAM02961e => 	taurine => 	0	1000	{'MAM02961e': -1.0}	['MAM02961e']	[-1.0]	Exchange/demand reactions
MAR08959			Exchange/demand reactions	MAM02964e => 	taurodeoxycholate => 	0	1000	{'MAM02964e': -1.0}	['MAM02964e']	[-1.0]	Exchange/demand reactions
MAR09044			Exchange/demand reactions	MAM02993e => 	threonine => 	0	1000	{'MAM02993e': -1.0}	['MAM02993e']	[-1.0]	Exchange/demand reactions
MAR09045			Exchange/demand reactions	MAM03089e => 	tryptophan => 	0	1000	{'MAM03089e': -1.0}	['MAM03089e']	[-1.0]	Exchange/demand reactions
MAR09046			Exchange/demand reactions	MAM03135e => 	valine => 	0	1000	{'MAM03135e': -1.0}	['MAM03135e']	[-1.0]	Exchange/demand reactions
MAR11428			Exchange/demand reactions	MAM03148e => 	xanthine => 	0	1000	{'MAM03148e': -1.0}	['MAM03148e']	[-1.0]	Exchange/demand reactions
MAR09301			Exchange/demand reactions	MAM01655e => 	dehydroascorbic acid => 	0	1000	{'MAM01655e': -1.0}	['MAM01655e']	[-1.0]	Exchange/demand reactions
MAR09855			Exchange/demand reactions	MAM00990e => 	4-hydroxy-2-quinolinecarboxylic acid => 	0	1000	{'MAM00990e': -1.0}	['MAM00990e']	[-1.0]	Exchange/demand reactions
MAR09068			Exchange/demand reactions	MAM02770e => 	proline => 	0	1000	{'MAM02770e': -1.0}	['MAM02770e']	[-1.0]	Exchange/demand reactions
MAR11403			Exchange/demand reactions	MAM03630e => 	Glycylproline => 	0	1000	{'MAM03630e': -1.0}	['MAM03630e']	[-1.0]	Exchange/demand reactions
MAR09353			Exchange/demand reactions	MAM02037e => 	guanine => 	0	1000	{'MAM02037e': -1.0}	['MAM02037e']	[-1.0]	Exchange/demand reactions
MAR11951			Exchange/demand reactions	MAM02166e => 	imidazole-4-acetate => 	0	1000	{'MAM02166e': -1.0}	['MAM02166e']	[-1.0]	Exchange/demand reactions
MAR09857			Exchange/demand reactions	MAM02319e => 	kynurenine => 	0	1000	{'MAM02319e': -1.0}	['MAM02319e']	[-1.0]	Exchange/demand reactions
MAR09378			Exchange/demand reactions	MAM02583e => 	nicotinamide => 	0	1000	{'MAM02583e': -1.0}	['MAM02583e']	[-1.0]	Transport reactions
MAR09685			Exchange/demand reactions	MAM01682e => 	D-glucitol => 	0	1000	{'MAM01682e': -1.0}	['MAM01682e']	[-1.0]	Transport reactions
MAR09079			Exchange/demand reactions	MAM02039e => 	H+ => 	0	1000	{'MAM02039e': -1.0}	['MAM02039e']	[-1.0]	Transport reactions
BrainHe_trans			Transport reactions	Brain_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Brain_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Brain_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Brain_MAR11318			Transport reactions	Brain_MAM02039c <=> Brain_MAM02039e	H+ <=> H+	-1000	1000	"{'Brain_MAM02039c': -1.0, 'Brain_MAM02039e': 1.0}"	"['Brain_MAM02039c', 'Brain_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
LiverHe_trans			Transport reactions	Liver_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Liver_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Liver_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Liver_MAR11318			Transport reactions	Liver_MAM02039c <=> Liver_MAM02039e	H+ <=> H+	-1000	1000	"{'Liver_MAM02039c': -1.0, 'Liver_MAM02039e': 1.0}"	"['Liver_MAM02039c', 'Liver_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
LungHe_trans			Transport reactions	Lung_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Lung_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Lung_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Lung_MAR11318			Transport reactions	Lung_MAM02039c <=> Lung_MAM02039e	H+ <=> H+	-1000	1000	"{'Lung_MAM02039c': -1.0, 'Lung_MAM02039e': 1.0}"	"['Lung_MAM02039c', 'Lung_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
HeartHe_trans			Transport reactions	Heart_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Heart_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Heart_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Heart_MAR11318			Transport reactions	Heart_MAM02039c <=> Heart_MAM02039e	H+ <=> H+	-1000	1000	"{'Heart_MAM02039c': -1.0, 'Heart_MAM02039e': 1.0}"	"['Heart_MAM02039c', 'Heart_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
MuscleHe_trans			Transport reactions	Muscle_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Muscle_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Muscle_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Muscle_MAR11318			Transport reactions	Muscle_MAM02039c <=> Muscle_MAM02039e	H+ <=> H+	-1000	1000	"{'Muscle_MAM02039c': -1.0, 'Muscle_MAM02039e': 1.0}"	"['Muscle_MAM02039c', 'Muscle_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
KidneyHe_trans			Transport reactions	Kidney_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Kidney_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Kidney_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Kidney_MAR11318			Transport reactions	Kidney_MAM02039c <=> Kidney_MAM02039e	H+ <=> H+	-1000	1000	"{'Kidney_MAM02039c': -1.0, 'Kidney_MAM02039e': 1.0}"	"['Kidney_MAM02039c', 'Kidney_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
SkinHe_trans			Transport reactions	Skin_MAM02039e <=> MAM02039e	H+ <=> H+	-1000	1000	"{'Skin_MAM02039e': -1.0, 'MAM02039e': 1.0}"	"['Skin_MAM02039e', 'MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Skin_MAR11318			Transport reactions	Skin_MAM02039c <=> Skin_MAM02039e	H+ <=> H+	-1000	1000	"{'Skin_MAM02039c': -1.0, 'Skin_MAM02039e': 1.0}"	"['Skin_MAM02039c', 'Skin_MAM02039e']"	"[-1.0, 1.0]"	Transport reactions
Liver_MAR04883			Transport reactions	Liver_MAM02040c <=> Liver_MAM02040r	H2O <=> H2O	-1000	1000	"{'Liver_MAM02040c': -1.0, 'Liver_MAM02040r': 1.0}"	"['Liver_MAM02040c', 'Liver_MAM02040r']"	"[-1.0, 1.0]"	Transport reactions
Diet_EX_xyl_D[d]			Exchange/demand reactions	MAM01758e <=> 	D-xylose <=> 	-1000	1000	{'MAM01758e': -1.0}	['MAM01758e']	[-1.0]	Exchange/demand reactions
Diet_EX_gal[d]			Exchange/demand reactions	MAM01910e <=> 	galactose <=> 	-1000	1000	{'MAM01910e': -1.0}	['MAM01910e']	[-1.0]	Exchange/demand reactions
Diet_EX_xylt[d]			Exchange/demand reactions	MAM03155e <=> 	xylitol <=> 	-1000	1000	{'MAM03155e': -1.0}	['MAM03155e']	[-1.0]	Exchange/demand reactions
Diet_EX_rib_D[d]			Exchange/demand reactions	MAM02843e <=> 	ribose <=> 	-1000	1000	{'MAM02843e': -1.0}	['MAM02843e']	[-1.0]	Exchange/demand reactions
Diet_EX_strch1[d]			Exchange/demand reactions	MAM02936e <=> 	starch structure 1 <=> 	-1000	1000	{'MAM02936e': -1.0}	['MAM02936e']	[-1.0]	Exchange/demand reactions
Diet_EX_malt[d]			Exchange/demand reactions	MAM02450e <=> 	maltose <=> 	-1000	1000	{'MAM02450e': -1.0}	['MAM02450e']	[-1.0]	Exchange/demand reactions
Diet_EX_ac[d]			Exchange/demand reactions	MAM01252e <=> 	acetate <=> 	-1000	1000	{'MAM01252e': -1.0}	['MAM01252e']	[-1.0]	Exchange/demand reactions
Diet_EX_sucr[d]			Exchange/demand reactions	MAM02945e <=> 	sucrose <=> 	-1000	1000	{'MAM02945e': -1.0}	['MAM02945e']	[-1.0]	Exchange/demand reactions
Diet_EX_lcts[d]			Exchange/demand reactions	MAM02332e <=> 	lactose <=> 	-1000	1000	{'MAM02332e': -1.0}	['MAM02332e']	[-1.0]	Exchange/demand reactions
Diet_EX_fru[d]			Exchange/demand reactions	MAM01840e <=> 	fructose <=> 	-1000	1000	{'MAM01840e': -1.0}	['MAM01840e']	[-1.0]	Exchange/demand reactions
Diet_EX_sbt_D[d]			Exchange/demand reactions	MAM01682e <=> 	D-glucitol <=> 	-1000	1000	{'MAM01682e': -1.0}	['MAM01682e']	[-1.0]	Exchange/demand reactions
Diet_EX_for[d]			Exchange/demand reactions	MAM01833e <=> 	formate <=> 	-1000	1000	{'MAM01833e': -1.0}	['MAM01833e']	[-1.0]	Exchange/demand reactions
Diet_EX_glc_D[d]			Exchange/demand reactions	MAM01965e <=> 	glucose <=> 	-1000	1000	{'MAM01965e': -1.0}	['MAM01965e']	[-1.0]	Exchange/demand reactions
Diet_EX_acgam[d]			Exchange/demand reactions	MAM02527e <=> 	N-acetylglucosamine <=> 	-1000	1000	{'MAM02527e': -1.0}	['MAM02527e']	[-1.0]	Exchange/demand reactions
Diet_EX_etoh[d]			Exchange/demand reactions	MAM01796e <=> 	ethanol <=> 	-1000	1000	{'MAM01796e': -1.0}	['MAM01796e']	[-1.0]	Exchange/demand reactions
Diet_EX_ocdca[d]			Exchange/demand reactions	MAM02938e <=> 	stearate <=> 	-1000	1000	{'MAM02938e': -1.0}	['MAM02938e']	[-1.0]	Exchange/demand reactions
Diet_EX_lnlnca[d]			Exchange/demand reactions	MAM02389e <=> 	linolenate <=> 	-1000	1000	{'MAM02389e': -1.0}	['MAM02389e']	[-1.0]	Exchange/demand reactions
Diet_EX_lnlc[d]			Exchange/demand reactions	MAM02387e <=> 	linoleate <=> 	-1000	1000	{'MAM02387e': -1.0}	['MAM02387e']	[-1.0]	Exchange/demand reactions
Diet_EX_lgnc[d]			Exchange/demand reactions	MAM02385e <=> 	lignocerate <=> 	-1000	1000	{'MAM02385e': -1.0}	['MAM02385e']	[-1.0]	Exchange/demand reactions
Diet_EX_lanost[d]			Exchange/demand reactions	MAM02336e <=> 	lanosterol <=> 	-1000	1000	{'MAM02336e': -1.0}	['MAM02336e']	[-1.0]	Exchange/demand reactions
Diet_EX_ddca[d]			Exchange/demand reactions	MAM02344e <=> 	lauric acid <=> 	-1000	1000	{'MAM02344e': -1.0}	['MAM02344e']	[-1.0]	Exchange/demand reactions
Diet_EX_octa[d]			Exchange/demand reactions	MAM02642e <=> 	octanoic acid <=> 	-1000	1000	{'MAM02642e': -1.0}	['MAM02642e']	[-1.0]	Exchange/demand reactions
Diet_EX_tdchola[d]			Exchange/demand reactions	MAM02962e <=> 	taurochenodeoxycholate <=> 	-1000	1000	{'MAM02962e': -1.0}	['MAM02962e']	[-1.0]	Exchange/demand reactions
Diet_EX_CE2510[d]			Exchange/demand reactions	MAM01584e <=> 	cis-gondoic acid <=> 	-1000	1000	{'MAM01584e': -1.0}	['MAM01584e']	[-1.0]	Exchange/demand reactions
Diet_EX_arachd[d]			Exchange/demand reactions	MAM01362e <=> 	arachidonate <=> 	-1000	1000	{'MAM01362e': -1.0}	['MAM01362e']	[-1.0]	Exchange/demand reactions
Diet_EX_vitd3[d]			Exchange/demand reactions	MAM03142e <=> 	vitamin D3 <=> 	-1000	1000	{'MAM03142e': -1.0}	['MAM03142e']	[-1.0]	Exchange/demand reactions
Diet_EX_avite1[d]			Exchange/demand reactions	MAM01327e <=> 	alpha-tocopherol <=> 	-1000	1000	{'MAM01327e': -1.0}	['MAM01327e']	[-1.0]	Exchange/demand reactions
Diet_EX_ttdca[d]			Exchange/demand reactions	MAM02494e <=> 	myristic acid <=> 	-1000	1000	{'MAM02494e': -1.0}	['MAM02494e']	[-1.0]	Exchange/demand reactions
Diet_EX_clpnd[d]			Exchange/demand reactions	MAM01741e <=> 	DPA <=> 	-1000	1000	{'MAM01741e': -1.0}	['MAM01741e']	[-1.0]	Exchange/demand reactions
Diet_EX_caro[d]			Exchange/demand reactions	MAM01385e <=> 	beta-carotene <=> 	-1000	1000	{'MAM01385e': -1.0}	['MAM01385e']	[-1.0]	Exchange/demand reactions
Diet_EX_dgchol[d]			Exchange/demand reactions	MAM01987e <=> 	glycochenodeoxycholate <=> 	-1000	1000	{'MAM01987e': -1.0}	['MAM01987e']	[-1.0]	Exchange/demand reactions
Diet_EX_2obut[d]			Exchange/demand reactions	MAM00671e <=> 	2-oxobutyrate <=> 	-1000	1000	{'MAM00671e': -1.0}	['MAM00671e']	[-1.0]	Exchange/demand reactions
Diet_EX_hdca[d]			Exchange/demand reactions	MAM02674e <=> 	palmitate <=> 	-1000	1000	{'MAM02674e': -1.0}	['MAM02674e']	[-1.0]	Exchange/demand reactions
Diet_EX_hpdca[d]			Exchange/demand reactions	MAM02456e <=> 	margaric acid <=> 	-1000	1000	{'MAM02456e': -1.0}	['MAM02456e']	[-1.0]	Exchange/demand reactions
Diet_EX_retinol[d]			Exchange/demand reactions	MAM02834e <=> 	retinol <=> 	-1000	1000	{'MAM02834e': -1.0}	['MAM02834e']	[-1.0]	Exchange/demand reactions
Diet_EX_phyQ[d]			Exchange/demand reactions	MAM02744e <=> 	phylloquinone <=> 	-1000	1000	{'MAM02744e': -1.0}	['MAM02744e']	[-1.0]	Exchange/demand reactions
Diet_EX_dlnlcg[d]			Exchange/demand reactions	MAM01696e <=> 	dihomo-gamma-linolenate <=> 	-1000	1000	{'MAM01696e': -1.0}	['MAM01696e']	[-1.0]	Exchange/demand reactions
Diet_EX_arach[d]			Exchange/demand reactions	MAM01771e <=> 	eicosanoate <=> 	-1000	1000	{'MAM01771e': -1.0}	['MAM01771e']	[-1.0]	Exchange/demand reactions
Diet_EX_dca[d]			Exchange/demand reactions	MAM01648e <=> 	decanoic acid <=> 	-1000	1000	{'MAM01648e': -1.0}	['MAM01648e']	[-1.0]	Exchange/demand reactions
Diet_EX_chsterol[d]			Exchange/demand reactions	MAM01450e <=> 	cholesterol <=> 	-1000	1000	{'MAM01450e': -1.0}	['MAM01450e']	[-1.0]	Exchange/demand reactions
Diet_EX_ptrc[d]			Exchange/demand reactions	MAM02812e <=> 	putrescine <=> 	-1000	1000	{'MAM02812e': -1.0}	['MAM02812e']	[-1.0]	Exchange/demand reactions
Diet_EX_docosac[d]			Exchange/demand reactions	MAM01373e <=> 	behenic acid <=> 	-1000	1000	{'MAM01373e': -1.0}	['MAM01373e']	[-1.0]	Exchange/demand reactions
Diet_EX_but[d]			Exchange/demand reactions	MAM01410e <=> 	butyrate <=> 	-1000	1000	{'MAM01410e': -1.0}	['MAM01410e']	[-1.0]	Exchange/demand reactions
Diet_EX_crvnc[d]			Exchange/demand reactions	MAM01689e <=> 	DHA <=> 	-1000	1000	{'MAM01689e': -1.0}	['MAM01689e']	[-1.0]	Exchange/demand reactions
Diet_EX_doco13ac[d]			Exchange/demand reactions	MAM01583e <=> 	cis-erucic acid <=> 	-1000	1000	{'MAM01583e': -1.0}	['MAM01583e']	[-1.0]	Exchange/demand reactions
Diet_EX_M01989[d]			Exchange/demand reactions	MAM01989e <=> 	glycodeoxycholate <=> 	-1000	1000	{'MAM01989e': -1.0}	['MAM01989e']	[-1.0]	Exchange/demand reactions
Diet_EX_ptdca[d]			Exchange/demand reactions	MAM02690e <=> 	pentadecylic acid <=> 	-1000	1000	{'MAM02690e': -1.0}	['MAM02690e']	[-1.0]	Exchange/demand reactions
Diet_EX_tchola[d]			Exchange/demand reactions	MAM02963e <=> 	taurocholate <=> 	-1000	1000	{'MAM02963e': -1.0}	['MAM02963e']	[-1.0]	Exchange/demand reactions
Diet_EX_hdcea[d]			Exchange/demand reactions	MAM02675e <=> 	palmitolate <=> 	-1000	1000	{'MAM02675e': -1.0}	['MAM02675e']	[-1.0]	Exchange/demand reactions
Diet_EX_thm[d]			Exchange/demand reactions	MAM02982e <=> 	thiamin <=> 	-1000	1000	{'MAM02982e': -1.0}	['MAM02982e']	[-1.0]	Exchange/demand reactions
Diet_EX_gsn[d]			Exchange/demand reactions	MAM02038e <=> 	guanosine <=> 	-1000	1000	{'MAM02038e': -1.0}	['MAM02038e']	[-1.0]	Exchange/demand reactions
Diet_EX_gua[d]			Exchange/demand reactions	MAM02037e <=> 	guanine <=> 	-1000	1000	{'MAM02037e': -1.0}	['MAM02037e']	[-1.0]	Exchange/demand reactions
Diet_EX_urate[d]			Exchange/demand reactions	MAM03120e <=> 	urate <=> 	-1000	1000	{'MAM03120e': -1.0}	['MAM03120e']	[-1.0]	Exchange/demand reactions
Diet_EX_csn[d]			Exchange/demand reactions	MAM01632e <=> 	cytosine <=> 	-1000	1000	{'MAM01632e': -1.0}	['MAM01632e']	[-1.0]	Exchange/demand reactions
Diet_EX_cytd[d]			Exchange/demand reactions	MAM01630e <=> 	cytidine <=> 	-1000	1000	{'MAM01630e': -1.0}	['MAM01630e']	[-1.0]	Exchange/demand reactions
Diet_EX_amet[d]			Exchange/demand reactions	MAM02877e <=> 	SAM <=> 	-1000	1000	{'MAM02877e': -1.0}	['MAM02877e']	[-1.0]	Exchange/demand reactions
Diet_EX_dad_2[d]			Exchange/demand reactions	MAM01666e <=> 	deoxyadenosine <=> 	-1000	1000	{'MAM01666e': -1.0}	['MAM01666e']	[-1.0]	Exchange/demand reactions
Diet_EX_hxan[d]			Exchange/demand reactions	MAM02159e <=> 	hypoxanthine <=> 	-1000	1000	{'MAM02159e': -1.0}	['MAM02159e']	[-1.0]	Exchange/demand reactions
Diet_EX_adn[d]			Exchange/demand reactions	MAM01280e <=> 	adenosine <=> 	-1000	1000	{'MAM01280e': -1.0}	['MAM01280e']	[-1.0]	Exchange/demand reactions
Diet_EX_amp[d]			Exchange/demand reactions	MAM01334e <=> 	AMP <=> 	-1000	1000	{'MAM01334e': -1.0}	['MAM01334e']	[-1.0]	Exchange/demand reactions
Diet_EX_ade[d]			Exchange/demand reactions	MAM01279e <=> 	adenine <=> 	-1000	1000	{'MAM01279e': -1.0}	['MAM01279e']	[-1.0]	Exchange/demand reactions
Diet_EX_thymd[d]			Exchange/demand reactions	MAM02996e <=> 	thymidine <=> 	-1000	1000	{'MAM02996e': -1.0}	['MAM02996e']	[-1.0]	Exchange/demand reactions
Diet_EX_dgsn[d]			Exchange/demand reactions	MAM01669e <=> 	deoxyguanosine <=> 	-1000	1000	{'MAM01669e': -1.0}	['MAM01669e']	[-1.0]	Exchange/demand reactions
Diet_EX_ura[d]			Exchange/demand reactions	MAM03118e <=> 	uracil <=> 	-1000	1000	{'MAM03118e': -1.0}	['MAM03118e']	[-1.0]	Exchange/demand reactions
Diet_EX_xan[d]			Exchange/demand reactions	MAM03148e <=> 	xanthine <=> 	-1000	1000	{'MAM03148e': -1.0}	['MAM03148e']	[-1.0]	Exchange/demand reactions
Diet_EX_dcyt[d]			Exchange/demand reactions	MAM01668e <=> 	deoxycytidine <=> 	-1000	1000	{'MAM01668e': -1.0}	['MAM01668e']	[-1.0]	Exchange/demand reactions
