ID	Name	GPR	Subsystem	Reaction	Reaction_eq	Lb	Ub	Mets_Coefficient	Metabolites	Coefficient	
Muscle_MAR08408			Transport reactions	Muscle_MAM02041c <=> Muscle_MAM02041e	H2O2 <=> H2O2	-1000	1000	"{'Muscle_MAM02041e': 1.0, 'Muscle_MAM02041c': -1.0}"	"['Muscle_MAM02041e', 'Muscle_MAM02041c']"	"[1.0, -1.0]"	PMID: 31699973
Muscle_Trans_MAM00648e			Exchange/demand reactions	MAM00648e => Muscle_MAM00648e	2-hydroxybutyrate => 2-hydroxybutyrate	0	1000	"{'Muscle_MAM00648e': 1.0, 'MAM00648e': -1.0}"	"['Muscle_MAM00648e', 'MAM00648e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM00784e			Exchange/demand reactions	MAM00784e => Muscle_MAM00784e	3-hydroxyisobutyrate => 3-hydroxyisobutyrate	0	1000	"{'Muscle_MAM00784e': 1.0, 'MAM00784e': -1.0}"	"['Muscle_MAM00784e', 'MAM00784e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01252e			Exchange/demand reactions	MAM01252e => Muscle_MAM01252e	acetate => acetate	0	1000	"{'Muscle_MAM01252e': 1.0, 'MAM01252e': -1.0}"	"['Muscle_MAM01252e', 'MAM01252e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01253e			Exchange/demand reactions	MAM01253e => Muscle_MAM01253e	acetoacetate => acetoacetate	0	1000	"{'Muscle_MAM01253e': 1.0, 'MAM01253e': -1.0}"	"['Muscle_MAM01253e', 'MAM01253e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01306e			Exchange/demand reactions	Muscle_MAM01306e => MAM01306e	AKG => AKG	0	1000	"{'Muscle_MAM01306e': -1.0, 'MAM01306e': 1.0}"	"['Muscle_MAM01306e', 'MAM01306e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01074e			Exchange/demand reactions	Muscle_MAM01074e => MAM01074e	5-aminolevulinate => 5-aminolevulinate	0	1000	"{'MAM01074e': 1.0, 'Muscle_MAM01074e': -1.0}"	"['MAM01074e', 'Muscle_MAM01074e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01370e			Exchange/demand reactions	MAM01370e => Muscle_MAM01370e	aspartate => aspartate	0	1000	"{'Muscle_MAM01370e': 1.0, 'MAM01370e': -1.0}"	"['Muscle_MAM01370e', 'MAM01370e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01587e			Exchange/demand reactions	Muscle_MAM01587e => MAM01587e	citrate => citrate	0	1000	"{'Muscle_MAM01587e': -1.0, 'MAM01587e': 1.0}"	"['Muscle_MAM01587e', 'MAM01587e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01588e			Exchange/demand reactions	MAM01588e => Muscle_MAM01588e	citrulline => citrulline	0	1000	"{'Muscle_MAM01588e': 1.0, 'MAM01588e': -1.0}"	"['Muscle_MAM01588e', 'MAM01588e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01619e			Exchange/demand reactions	MAM01619e => Muscle_MAM01619e	creatine => creatine	0	1000	"{'Muscle_MAM01619e': 1.0, 'MAM01619e': -1.0}"	"['Muscle_MAM01619e', 'MAM01619e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01621e			Exchange/demand reactions	Muscle_MAM01621e => MAM01621e	creatinine => creatinine	0	1000	"{'Muscle_MAM01621e': -1.0, 'MAM01621e': 1.0}"	"['Muscle_MAM01621e', 'MAM01621e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01629e			Exchange/demand reactions	Muscle_MAM01629e => MAM01629e	cystine => cystine	0	1000	"{'Muscle_MAM01629e': -1.0, 'MAM01629e': 1.0}"	"['Muscle_MAM01629e', 'MAM01629e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01673e			Exchange/demand reactions	Muscle_MAM01673e => MAM01673e	deoxyuridine => deoxyuridine	0	1000	"{'Muscle_MAM01673e': -1.0, 'MAM01673e': 1.0}"	"['Muscle_MAM01673e', 'MAM01673e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM01683e			Exchange/demand reactions	MAM01683e => Muscle_MAM01683e	D-gluconic acid => D-gluconic acid	0	1000	"{'Muscle_MAM01683e': 1.0, 'MAM01683e': -1.0}"	"['Muscle_MAM01683e', 'MAM01683e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01862e			Exchange/demand reactions	Muscle_MAM01862e => MAM01862e	fumarate => fumarate	0	1000	"{'MAM01862e': 1.0, 'Muscle_MAM01862e': -1.0}"	"['MAM01862e', 'Muscle_MAM01862e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01965e			Exchange/demand reactions	MAM01965e => Muscle_MAM01965e	glucose => glucose	0	1000	"{'Muscle_MAM01965e': 1.0, 'MAM01965e': -1.0}"	"['Muscle_MAM01965e', 'MAM01965e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01974e			Exchange/demand reactions	MAM01974e => Muscle_MAM01974e	glutamate => glutamate	0	1000	"{'Muscle_MAM01974e': 1.0, 'MAM01974e': -1.0}"	"['Muscle_MAM01974e', 'MAM01974e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01975e			Exchange/demand reactions	Muscle_MAM01975e => MAM01975e	glutamine => glutamine	0	1000	"{'Muscle_MAM01975e': -1.0, 'MAM01975e': 1.0}"	"['Muscle_MAM01975e', 'MAM01975e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM00913e			Exchange/demand reactions	MAM00913e => Muscle_MAM00913e	3-phospho-D-glycerate => 3-phospho-D-glycerate	0	1000	"{'Muscle_MAM00913e': 1.0, 'MAM00913e': -1.0}"	"['Muscle_MAM00913e', 'MAM00913e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM03630e			Exchange/demand reactions	Muscle_MAM03630e => MAM03630e	Glycylproline => Glycylproline	0	1000	"{'Muscle_MAM03630e': -1.0, 'MAM03630e': 1.0}"	"['Muscle_MAM03630e', 'MAM03630e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02037e			Exchange/demand reactions	Muscle_MAM02037e => MAM02037e	guanine => guanine	0	1000	"{'Muscle_MAM02037e': -1.0, 'MAM02037e': 1.0}"	"['Muscle_MAM02037e', 'MAM02037e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02135e			Exchange/demand reactions	Muscle_MAM02135e => MAM02135e	homogentisate => homogentisate	0	1000	"{'Muscle_MAM02135e': -1.0, 'MAM02135e': 1.0}"	"['Muscle_MAM02135e', 'MAM02135e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02157e			Exchange/demand reactions	Muscle_MAM02157e => MAM02157e	hypotaurine => hypotaurine	0	1000	"{'MAM02157e': 1.0, 'Muscle_MAM02157e': -1.0}"	"['MAM02157e', 'Muscle_MAM02157e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02166e			Exchange/demand reactions	MAM02166e => Muscle_MAM02166e	imidazole-4-acetate => imidazole-4-acetate	0	1000	"{'Muscle_MAM02166e': 1.0, 'MAM02166e': -1.0}"	"['Muscle_MAM02166e', 'MAM02166e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02184e			Exchange/demand reactions	MAM02184e => Muscle_MAM02184e	isoleucine => isoleucine	0	1000	"{'Muscle_MAM02184e': 1.0, 'MAM02184e': -1.0}"	"['Muscle_MAM02184e', 'MAM02184e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02319e			Exchange/demand reactions	MAM02319e => Muscle_MAM02319e	kynurenine => kynurenine	0	1000	"{'Muscle_MAM02319e': 1.0, 'MAM02319e': -1.0}"	"['Muscle_MAM02319e', 'MAM02319e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM02360e			Exchange/demand reactions	MAM02360e => Muscle_MAM02360e	leucine => leucine	0	1000	"{'Muscle_MAM02360e': 1.0, 'MAM02360e': -1.0}"	"['Muscle_MAM02360e', 'MAM02360e']"	"[1.0, -1.0]"	PMID: 36070684
Muscle_Trans_MAM01729e			Exchange/demand reactions	Muscle_MAM01729e => MAM01729e	dodecanoylcarnitine => dodecanoylcarnitine	0	1000	"{'Muscle_MAM01729e': -1.0, 'MAM01729e': 1.0}"	"['Muscle_MAM01729e', 'MAM01729e']"	"[-1.0, 1.0]"	PMID: 36070684
Muscle_Trans_MAM02439e			Exchange/demand reactions	Muscle_MAM02439e => MAM02439e	malate => malate	0	1000	"{'MAM02439e': 1.0, 'Muscle_MAM02439e': -1.0}"	"['MAM02439e', 'Muscle_MAM02439e']"	"[1.0, -1.0]"	PMID: 36070684
