BMR	bodyWeight	Height	Hematocrit	Heart	StrokeVolume	CSFFlowRate	CSFBloodFlowRate	UrFlowRate	GlomerularFiltrationRate
1314.6278905177	67.9577457372715	196.182822138805	0.340051966626495	67.8163025194825	87.8222223240841	0.417678922195275	0.477143425036479	1629.80982357922	88.1240271691576
1468.67913601841	82.7504188831886	193.106018234272	0.378316348032416	55.5855186660498	90.8591768822008	0.405482853018049	0.421586959903742	2380.63820242889	95.4449518758096
1508.73154961674	76.2789169385623	144.03455667045	0.42819681444516	61.9568002249414	72.3978214473561	0.401198449345806	0.435407889882534	2017.87192641047	78.102067342138
1401.86381974793	72.2649679461857	163.908210051453	0.380121307394799	77.5905769038822	80.4556179623063	0.392134536110439	0.581960074236839	2327.70398287825	91.1321726889449
1490.25600886675	71.1272214077818	144.175544119364	0.458153358634737	75.9717907504169	78.2967720829632	0.357697039208257	0.563971746253944	1906.59833707201	94.8168308949826
1411.59050817879	75.7523533637943	174.902291513729	0.366716280157765	53.6629466522173	74.9187566581676	0.338642100652319	0.578948611039189	2307.56178952383	72.5074561505769
1279.54877948436	56.1408087324314	200.558529154782	0.341355998493488	70.7576238772196	90.8525377644764	0.297797150922883	0.545775909956305	1804.01408746492	88.9333680683161
1489.31731384427	77.9104418074148	153.434190866188	0.427624082308389	75.1252930123433	95.4397600481913	0.371646904031746	0.587686415695328	2327.23987355424	103.907734962052
1427.81289285245	81.9520680547942	203.31084959029	0.352413596939508	60.1695042389365	84.0468640343466	0.400955087688417	0.423284697698494	2315.648355801	76.1050236844106
1379.01575965463	56.2322784069939	159.786946791017	0.458962431712175	55.3184758113259	69.8008054593705	0.318443780881657	0.500338794237	1918.81372879246	87.9314814594065
1556.76918816473	79.089593594659	150.179521424753	0.440185171503937	60.6523749586812	67.9365445394385	0.397622951234514	0.467931101098969	2100.01600146881	95.7437239738159
1467.67837982363	77.4854043047806	181.276246883047	0.387100743998875	56.3529056818455	82.558998708479	0.289905734197709	0.516026543061564	2054.07782894867	82.6118269296366
1419.01558049861	83.9198330697632	202.187440057019	0.320036970431907	66.5636698655488	74.5131457096927	0.333030890508677	0.599214538511625	2315.609508356	106.213262454536
1296.79030738687	62.3742860176301	178.343587864619	0.343914197178833	64.8261035990527	72.5819639253715	0.317543720736476	0.474382442059815	1771.33264309432	96.99430491236
