Row	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
DLD1	120	2791	135	304	0.868955223880597	0.283018867924528	0.953861927546138	0.353460972017673	0.296995264779364
GBM	109	2746	147	348	0.852238805970149	0.238512035010941	0.949187694434843	0.305750350631136	0.2425022799774
HCT116	135	2808	129	349	0.860274773458053	0.278925619834711	0.956077630234934	0.36096256684492	0.306908748496982
HELA	115	2861	170	276	0.869666861484512	0.294117647058824	0.943912900032992	0.340236686390533	0.274052868595159
RPE1	85	2770	173	322	0.852238805970149	0.208845208845209	0.941216445803602	0.255639097744361	0.183879142978464
all	60	3066	182	114	0.913500876680304	0.344827586206897	0.943965517241379	0.288461538461538	0.247484616863291
