cellLine	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
ACH-000545	93	2307	146	188	0.877834674469642	0.330960854092527	0.940481043620057	0.357692307692308	0.291839848704764
ACH-000836	106	2298	142	188	0.879297732260424	0.360544217687075	0.941803278688525	0.391143911439114	0.326135858960371
ACH-000470	82	2306	168	178	0.873445501097293	0.315384615384615	0.932093775262732	0.32156862745098	0.251870906184574
ACH-000762	78	2268	212	176	0.858083394294075	0.307086614173228	0.914516129032258	0.286764705882353	0.208914330357361
ACH-000495	74	2295	172	193	0.866495976591075	0.277153558052434	0.930279691933522	0.288499025341131	0.215191858144927
ACH-000834	91	2287	159	197	0.869787856620337	0.315972222222222	0.934995911692559	0.338289962825279	0.267298949284833
ACH-001020	85	2287	166	196	0.867593269934162	0.302491103202847	0.932327761924174	0.319548872180451	0.246950379743048
ACH-001450	118	2253	143	220	0.867227505486467	0.349112426035503	0.940317195325543	0.393989983305509	0.32419956038091
ACH-000652	103	2302	136	193	0.87966349670812	0.347972972972973	0.944216570959803	0.385046728971963	0.321434990651837
ACH-001033	85	2270	161	218	0.861375274323336	0.280528052805281	0.933772110242698	0.309653916211293	0.235095087117284
ACH-001196	99	2294	153	188	0.875274323335772	0.344947735191638	0.937474458520637	0.36734693877551	0.299264771550706
ACH-001184	101	2287	151	195	0.873445501097293	0.341216216216216	0.938063986874487	0.368613138686131	0.299986491567789
ACH-001239	94	2294	160	186	0.873445501097293	0.335714285714286	0.93480032599837	0.352059925093633	0.282529840580354
ACH-001563	85	2295	164	190	0.870519385515728	0.309090909090909	0.93330622204148	0.324427480916031	0.253402104095193
ACH-001028	98	2311	140	185	0.881126554498903	0.346289752650177	0.942880456956344	0.376199616122841	0.3124695155958
ACH-000608	91	2314	156	173	0.87966349670812	0.34469696969697	0.936842105263158	0.356164383561644	0.290069956708953
ACH-001050	80	2282	176	196	0.863935625457206	0.289855072463768	0.92839707078926	0.300751879699248	0.225700937923009
ACH-001431	93	2306	157	178	0.877468910021946	0.343173431734317	0.936256597645148	0.35700575815739	0.289697086620097
ACH-001054	93	2286	166	189	0.870153621068032	0.329787234042553	0.932300163132137	0.343807763401109	0.272203334625
ACH-001735	104	2302	150	178	0.880029261155816	0.368794326241135	0.938825448613377	0.388059701492537	0.322297055872402
ACH-001163	112	2268	145	209	0.870519385515728	0.348909657320872	0.939908827186075	0.387543252595156	0.318585933867294
ACH-000958	91	2311	154	178	0.878566203365033	0.338289962825279	0.937525354969574	0.35408560311284	0.287612325090575
ACH-000820	88	2257	152	237	0.857717629846379	0.270769230769231	0.936903279369033	0.311504424778761	0.237511830796091
ACH-001300	88	2308	159	179	0.876371616678859	0.329588014981273	0.935549250101338	0.342412451361868	0.274551997865939
ACH-000318	100	2294	152	188	0.875640087783467	0.347222222222222	0.937857726901063	0.37037037037037	0.302545002718291
ACH-000899	94	2290	148	202	0.871982443306511	0.317567567567568	0.93929450369155	0.349442379182156	0.280983607763155
ACH-001232	76	2325	173	160	0.878200438917337	0.322033898305085	0.930744595676541	0.31340206185567	0.24673426757918
ACH-001430	87	2297	153	197	0.871982443306511	0.306338028169014	0.937551020408163	0.33206106870229	0.262954535651794
ACH-000437	77	2309	178	170	0.872713972201902	0.311740890688259	0.92842782468838	0.306772908366534	0.236752433010682
ACH-001134	96	2301	154	183	0.876737381126555	0.344086021505376	0.937270875763747	0.362948960302457	0.295487841668295
ACH-001555	81	2289	168	196	0.866861741038771	0.292418772563177	0.931623931623932	0.307984790874525	0.234968908053082
ACH-001031	91	2287	162	194	0.869787856620337	0.319298245614035	0.933850551245406	0.338289962825279	0.26694331383532
ACH-001414	74	2290	175	195	0.864667154352597	0.275092936802974	0.929006085192698	0.285714285714286	0.211282075956014
