Row	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
DLD1	124	2176	123	218	0.870882241575161	0.362573099415205	0.946498477598956	0.421052631578947	0.356394552410243
GBM	113	2132	153	243	0.850056796667929	0.317415730337079	0.933041575492341	0.363344051446945	0.284203341924702
HCT116	144	2192	125	241	0.864544781643227	0.374025974025974	0.94605092792404	0.440366972477064	0.373680574529415
HELA	111	2247	151	195	0.872041420118343	0.362745098039216	0.937030859049208	0.390845070422535	0.321039614606173
RPE1	88	2166	179	208	0.853464596743658	0.297297297297297	0.923667377398721	0.312611012433393	0.231229979279126
all	59	2409	167	69	0.912721893491124	0.4609375	0.935170807453416	0.333333333333333	0.303939394815091
