Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	36.0	Lysine transport, mitochondrion		L-Lysine[m]	1.0	1.0	L-Lysine[c]	1.0									
	37.0	Phenylalanine transport, mitochondrion		phenylalanine[c]	1.0	1.0	L-Phenylalanine[m]	1.0									
	38.0	Proline synthesis, maintenance in mitochondrion		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Proline[m]	1.0									
	39.0	Serine synthesis, maintenance in mitochondrion		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Serine[m]	1.0									
	40.0	Threonine transport, mitochondrion		L-Threonine[c]	1.0	1.0	L-Threonine[m]	1.0									
	41.0	Tyrosine synthesis, maintenance in mitochondrion	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Tyrosine[m]	1.0									
	42.0	Valine transport, mitochondrion		L-Valine[c]	1.0	1.0	L-Valine[m]	1.0									
	43.0	Cholesterol synthesis, cytosol		Oxygen[e];D-Glucose[e];Water[e]			Water[e];Carbon dioxide[e]										
							Cholesterol[c]	1.0									
	44.0	Carnitine synthesis, cytosol		Oxygen[e];D-Glucose[e];Water[e];Ammonia[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e];urea[e]										
							L-Carnitine[c]	1.0									
	45.0	Carnitine synthesis, mitochondrion		Oxygen[e];D-Glucose[e];Water[e];Ammonia[e];L-Histidine[e];L-Isoleucine[e];leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e];urea[e]										
							L-Carnitine[m]	1.0									
	46.0	Palmitate synthesis		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Palmitic acid[c]	1.0									
	47.0	Stearate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Stearic acid[c]	1.0									
	48.0	Oleate synthesis		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Oleic acid[c]	1.0									
	49.0	Sphinganine synthesis, cytosol		Oxygen[e];D-Glucose[e];Water[e];Ammonia[e]			Water[e];Carbon dioxide[e]										
							Sphinganine[c]	1.0									
	50.0	UDP degradation, cytosol		Uridine 5'-diphosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Ammonia[e];Phosphate[e]										
	51.0	H2O2 degradation, cytosol		Hydrogen peroxide[c]			Water[e];Oxygen[e]										
	52.0	Lysine degradation		L-Lysine[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e];urea[e]										
	53.0	ITP degradation, cytosol		Inosine triphosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Ammonia[e];Phosphate[e]										
	54.0	Glucose-1P degradation, cytosol		Glucose 1-phosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Phosphate[e]										
	55.0	IDP degradation, cytosol		IDP[c];Oxygen[e]			Water[e];Carbon dioxide[e];Ammonia[e];Phosphate[e]										
	56.0	UMP degradation, cytosol		Uridine 5'-monophosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Ammonia[e];Phosphate[e]										
	57.0	DHAP degradation, cytosol		Dihydroxyacetone phosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Phosphate[e]										
	58.0	PRPP degradation, cytosol		Phosphoribosyl pyrophosphate[c];Oxygen[e]			Water[e];Carbon dioxide[e];Phosphate[e]										
	59.0	GSH synthesis, cytosol		Oxygen[e];Ammonia[e];D-Glucose[e];L-Methionine[e]			Water[e];Carbon dioxide[e];urea[e]										
							Glutathione[c]	1.0									
	60.0	Putrescine synthesis		Oxygen[e];Ammonia[e];D-Glucose[e]			Water[e];Carbon dioxide[e];urea[e]										
							Putrescine[c]	1.0									
	61.0	NADH synthesis from glucose degradation		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	62.0	NADPH synthesis from glucose degradation		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADPH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	63.0	NADH synthesis from glucose degradation		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	64.0	NADPH synthesis from glucose degradation		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADPH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	65.0	Anaerobic glycolysis		Glucose 6-phosphate[c]			Pyruvic acid[c];Water[e];Carbon dioxide[e]										
	66.0	Aerobic glycolysis		Glucose 6-phosphate[c];Oxygen[e]			Pyruvic acid[c];Water[e];Carbon dioxide[e]										
	67.0	Glycogen synthesis		D-Glucose[e]	11.0	11.0	Water[e];Carbon dioxide[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				"""Primed Glycogenin (Glycogenin-8[1,4-Glc])""[c]"	1.0	1.0	"""Glycogen, Structure 1 (Glycogenin-11[1,4-Glc])""[c]"	1.0		NADH[c] <=> NAD+[c]							
				Oxygen[e]													
	68.0	Thioredoxin oxidation		Reduced Thioredoxin[c];D-Glucose[e];Oxygen[e]			Water[e];Carbon dioxide[e]										
							Oxidized Thioredoxin[c]	1.0									
	69.0	Thioredoxin_oxidation_negativetest		Reduced Thioredoxin[c];D-Glucose[e];Oxygen[e]			Water[e];Carbon dioxide[e]										
							Oxidized Thioredoxin[c]	1.0									
	70.0	Thioredoxin reduction		Oxidized Thioredoxin[c];D-Glucose[e];Oxygen[e]			Water[e];Carbon dioxide[e]										
							Oxidized Thioredoxin[c]	1.0									
	71.0	Thioredoxin_reduction_negativetest		Oxidized Thioredoxin[c];D-Glucose[e];Oxygen[e]			Water[e];Carbon dioxide[e]										
							Oxidized Thioredoxin[c]	1.0									
	72.0	Adenine synthesis		D-Glucose[e];Oxygen[e];Ammonia[e]			Water[e];Carbon dioxide[e];urea[e]										
							Adenine[c]	1.0									
	73.0	ADP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							ADP[c]	1.0									
	74.0	AMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Adenosine monophosphate[c]	1.0									
	75.0	IMP synthesis, cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e];urea[e]										
							Inosinic acid[c]	1.0									
