Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	33	Alanine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Alanine[e]	1.0									
	34	Asparagine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Asparagine[e]	1.0									
	35	Aspartate de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							D-Aspartate[c]	1.0									
	36	Glutamate de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamic acid[e]	1.0									
	37	Glycine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Glycine[e]	1.0									
	38	Glutamine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamine[e]	1.0									
	39	Proline de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Proline[e]	1.0									
	40	Serine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Serine[e]	1.0									
	41	Histidine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
	42	CoA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];L-Methionine[e];Pantothenic acid[e]			Coenzyme A[c]	1.0									
							Carbon dioxide[e];Uric acid[e];Water[e]										
	43	NAD de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	44	NADP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Niacinamide[e]			NADPH[c]	1.0									
							Water[e];Carbon dioxide[e]										
	45	FAD de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];Riboflavin[e]			FAD[c]	1.0									
							Water[e];Carbon dioxide[e]										
	46	Thioredoxin de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e];L-Valine[e]			Water[e];Carbon dioxide[e];Uric acid[e];Hydrogen sulfide[e]										
							Reduced Thioredoxin[c]	1.0									
	47	Acetoacetate de novo synthesis and excretion		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]										
							Acetoacetic acid[e]	1.0									
	48	(R)-3-Hydroxybutanoate de novo synthesis		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]										
							(R)-3-Hydroxybutyric acid[c]	1.0									
