1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	137.0	cis-vaccenic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Vaccenic acid[c]	1.0									
	138.0	Oleate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Oleic acid[c]	1.0									
	139.0	Elaidate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Elaidic acid[c]	1.0									
	140.0	7Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							7Z-octadecenoic acid[c]	1.0									
	141.0	6Z,9Z-octadecadienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Linoelaidic Acid (All Trans C18:2)[c]	1.0									
	142.0	Nonadecylic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Nonadecanoic acid[c]	1.0									
	143.0	Eicosanoate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Arachidic acid[c]	1.0									
	144.0	13Z-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Paullinic acid[c]	1.0									
	145.0	cis-gondoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Eicosenoic acid[c]	1.0									
	146.0	9-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							9Z-eicosenoic acid[c]	1.0									
	147.0	8,11-Eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							8Z,11Z-Eicosadienoic Acid[c]	1.0									
	148.0	Mead acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							5,8,11-Eicosatrienoic acid[c]	1.0									
	149.0	Heneicosanoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Heneicosanoic acid[c]	1.0									
	150.0	Behenic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Behenic acid[c]	1.0									
	151.0	cis-erucic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Erucic acid[c]	1.0									
	152.0	cis-cetoleic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Cetoleic acid[c]	1.0									
	153.0	Tricosanoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Tricosanoic acid[c]	1.0									
	154.0	Lignocerate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Tetracosanoic acid[c]	1.0									
	155.0	Nervonic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Nervonic acid[c]	1.0									
	156.0	Cerotic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Hexacosanoic acid[c]	1.0									
	157.0	Ximenic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							17Z-hexacosenoic acid[c]	1.0									
	158.0	Linolenate de novo synthesis (minimal substrates, physiological excretion)	1.0	Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Alpha-Linolenic acid[c]	1.0									
	159.0	Stearidonic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							Stearidonoyl CoA[c]	1.0									
	160.0	omega-3-Arachidonic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							"""Cis-8,11,14,17-Eicosatetraenoic acid""[c]"	1.0									
	161.0	EPA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							Eicosapentaenoic acid[c]	1.0									
	162.0	DPA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							Docosapentaenoic acid[c]	1.0									
	163.0	9Z,12Z,15Z,18Z,21Z-TPA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							"""9Z,12Z,15Z,18Z,21Z-Tetracosapentaenoic Acid""[c]"	1.0									
	164.0	6Z,9Z,12Z,15Z,18Z,21Z-THA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							"""6,9,12,15,18,21-Tetracosahexaenoic acid""[c]"	1.0									
	165.0	DHA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							Docosahexaenoic acid[c]	1.0									
	166.0	11Z,14Z,17Z-eicosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							11,14,17-Eicosatrienoic acid[c]	1.0									
	167.0	13,16,19-docosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							Docosatrienoic acid[c]	1.0									
	168.0	10,13,16,19-docosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							10Z,13Z,16Z,19Z-Docosatetraenoic Acid[c]	1.0									
	169.0	12,15,18,21-tetracosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Alpha-Linolenic acid[e]			Carbon dioxide[e];Water[e]										
							12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid[c]	1.0									
	170.0	Linoleate de novo synthesis (minimal substrates, physiological excretion)	1.0	Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Linoleic acid[c]	1.0									
	171.0	gamma-Linolenate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							Gamma-Linolenic acid[c]	1.0									
	172.0	Dihomo-gamma-linolenate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							"""8,11,14-Eicosatrienoic acid""[c]"	1.0									
	173.0	Arachidonate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							Arachidonic acid[c]	1.0									
	174.0	Adrenic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							Adrenic acid[c]	1.0									
	175.0	9Z,12Z,15Z,18Z-TTA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							"""9Z,12Z,15Z,18Z-Tetracosatetraenoic Acid""[c]"	1.0									
	176.0	6Z,9Z,12Z,15Z,18Z-TPA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							"""6Z,9Z,12Z,15Z,18Z-Tetracosapentaenoic Acid""[c]"	1.0									
	177.0	4Z,7Z,10Z,13Z,16Z-DPA de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							"""(4Z,7Z,10Z,13Z,16Z)-Docosa-4,7,10,13,16-Pentaenoic Acid""[c]"	1.0									
	178.0	11Z,14Z-eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							Eicosadienoic acid[c]	1.0									
	179.0	13Z,16Z-docosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							13Z,16Z-docosadienoic acid[c]	1.0									
	180.0	10,13,16-docosatriynoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e]			Carbon dioxide[e];Water[e]										
							10Z,13Z,16Z-Docosatriynoic Acid[c]	1.0									
	181.0	Lauric acid (complete oxidation)		Dodecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	182.0	Tridecylic acid (complete oxidation)		Tridecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	183.0	Myristic acid (complete oxidation)		Myristic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	184.0	9E-tetradecenoic acid (complete oxidation)		9E-Tetradecenoic Acid (N-C14:1)[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	185.0	7Z-tetradecenoic acid (complete oxidation)		7Z-tetradecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	186.0	Physeteric acid (complete oxidation)		5Z-Tetradecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	187.0	Pentadecylic acid (complete oxidation)		5Z-Tetradecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	188.0	Palmitate (complete oxidation)		Palmitic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	189.0	Palmitolate (complete oxidation)		Palmitoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	190.0	7-palmitoleic acid (complete oxidation)		(E)-6-Hexadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	191.0	Margaric acid (complete oxidation)		Heptadecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	192.0	10Z-heptadecenoic acid (complete oxidation)		10Z-Heptadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	193.0	9-heptadecylenic acid (complete oxidation)		(Z)-9-Heptadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	194.0	Stearate (complete oxidation)		Stearic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	195.0	13Z-octadecenoic acid (complete oxidation)		(Z)-13-Octadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	196.0	cis-vaccenic acid (complete oxidation)		Vaccenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	197.0	Oleate (complete oxidation)		Oleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	198.0	Elaidate (complete oxidation)		Elaidic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	199.0	7Z-octadecenoic acid (complete oxidation)		7Z-octadecenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	200.0	6Z,9Z-octadecadienoic acid (complete oxidation)		Linoelaidic Acid (All Trans C18:2)[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	201.0	Nonadecylic acid (complete oxidation)		Nonadecanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	202.0	Eicosanoate (complete oxidation)		Arachidonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	203.0	13Z-Eicosenoic acid (complete oxidation)		(13Z)-eicosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	204.0	cis-gondoic acid (complete oxidation)		Eicosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	205.0	9-Eicosenoic acid (complete oxidation)		9Z-eicosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	206.0	8,11-Eicosadienoic acid (complete oxidation)		8Z,11Z-Eicosadienoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	207.0	Mead acid (complete oxidation)		5,8,11-Eicosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	208.0	Heneicosanoic acid (complete oxidation)		Heneicosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	209.0	Behenic acid (complete oxidation)		Behenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	210.0	cis-erucic acid (complete oxidation)		Erucic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	211.0	cis-cetoleic acid (complete oxidation)		Cetoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	212.0	Tricosanoic acid (complete oxidation)		Tricosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	213.0	Lignocerate (complete oxidation)		Tetracosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	214.0	Nervonic acid (complete oxidation)		Nervonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	215.0	Cerotic acid (complete oxidation)		Hexacosanoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	216.0	Ximenic acid (complete oxidation)		17Z-hexacosenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	217.0	Linolenate (complete oxidation)		Alpha-Linolenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	218.0	Stearidonic acid (complete oxidation)		Stearidonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	219.0	omega-3-Arachidonic acid (complete oxidation)		"""Cis-8,11,14,17-Eicosatetraenoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	220.0	EPA (complete oxidation)		Eicosapentaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	221.0	DPA (complete oxidation)		Docosapentaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	222.0	9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)		"""9Z,12Z,15Z,18Z,21Z-Tetracosapentaenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	223.0	6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)		"""6,9,12,15,18,21-Tetracosahexaenoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	224.0	DHA (complete oxidation)		Docosahexaenoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	225.0	11Z,14Z,17Z-eicosatrienoic acid (complete oxidation)		11,14,17-Eicosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	226.0	13,16,19-docosatrienoic acid (complete oxidation)		Docosatrienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	227.0	10,13,16,19-docosatetraenoic acid (complete oxidation)		10Z,13Z,16Z,19Z-Docosatetraenoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	228.0	12,15,18,21-tetracosatetraenoic acid (complete oxidation)		12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	229.0	Linoleate (complete oxidation)		Linoleic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	230.0	gamma-Linolenate (complete oxidation)		Gamma-Linolenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	231.0	Dihomo-gamma-linolenate (complete oxidation)		"""8,11,14-Eicosatrienoic acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	232.0	Arachidonate (complete oxidation)		Arachidonic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	233.0	Adrenic acid (complete oxidation)		Adrenic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	234.0	9Z,12Z,15Z,18Z-TTA (complete oxidation)		"""9Z,12Z,15Z,18Z-Tetracosatetraenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	235.0	6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)		"""6Z,9Z,12Z,15Z,18Z-Tetracosapentaenoic Acid""[e]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	236.0	4Z,7Z,10Z,13Z,16Z-DPA (complete oxidation)		"""Docosa-4,7,10,13,16-pentaenoyl CoA""[c]"	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	237.0	11Z,14Z-eicosadienoic acid (complete oxidation)		Eicosadienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	238.0	13Z,16Z-docosadienoic acid (complete oxidation)		13Z,16Z-docosadienoic acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	239.0	10,13,16-docosatriynoic acid (complete oxidation)		10Z,13Z,16Z-Docosatriynoic Acid[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	240.0	Triacylglycerol de novo synthesis (physiological substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Linoleic acid[e];Alpha-Linolenic acid[e]			Water[e];Carbon dioxide[e]										
							Triacylglycerol-Ld-Pool[c]	1.0									
	241.0	Glycocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];L-Phenylalanine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Glycocholic acid[e]	1.0									
	242.0	Glycochenodeoxycholate de novo synthesis and excretion		Oxygen[e];D-Glucose[e];Phosphate[e];L-Phenylalanine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Chenodeoxycholic acid glycine conjugate[e]	1.0									
	243.0	Taurocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];L-Phenylalanine[e];L-Cysteine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Taurocholic acid[e]	1.0									
	244.0	Taurochenodeoxycholate de novo synthesis and excretion (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];L-Phenylalanine[e];L-Cysteine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Taurochenodesoxycholic acid[e]	1.0									
	245.0	PAPS de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Ammonia[e];Sulfate[e];L-Histidine[e];L-Valine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Phosphoadenosine phosphosulfate[c]	1.0									
	246.0	PAP degradation		Phosphoadenosine phosphosulfate[c]			Carbon dioxide[e];Water[e];Urea[e];Phosphate[e];Hydrogen sulfide[e]										
				Oxygen[e]													
	247.0	SAM de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];Ammonia[e];D-Glucose[e];L-Methionine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							S-Adenosylmethionine[c]	1.0									
	248.0	GSH de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];Ammonia[e];D-Glucose[e];L-Methionine[e]			Water[e];Carbon dioxide[e];Urea[e]										
							Glutathione[c]	1.0									
	249.0	Bilirubin conjugation (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Phosphate[e];Bilirubin[e]			Water[e];Carbon dioxide[e]										
							Bilirubin diglucuronide[e]	1.0									
	250.0	NH3 import and degradation		Ammonia[e];Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Urea[e]	1.0									
	251.0	Ethanol import and degradation (minimal substrates, minimalexcretion)		Ethanol[e]	1.0	1.0	Carbon dioxide[e];Water[e]										
				Oxygen[e]													
	252.0	Oxidative phosphorylation		Succinic acid[m]	1.0	1.0	Fumaric acid[m]	1.0	1.0	Adenosine triphosphate[m] + Water[m] => ADP[m] + Phosphate[m]	1.0						
				NADH[m];Hydrogen Ion[m]	1.0	1.0	NAD[m]	1.0	1.0								
				Oxygen[e]			Water[e]										
	253.0	Oxidative decarboxylation		Pyruvic acid[m];NAD[m];Coenzyme A[m]	1.0	1.0	Acetyl-CoA[m];NADH[m];Hydrogen Ion[m];Carbon dioxide[e]	1.0	1.0								
	254.0	Krebs cycle NADH		Acetyl-CoA[m];Guanosine diphosphate[m];Ubiquinone-1[m]	1.0	1.0	Coenzyme A[m];QH2[m];Guanosine triphosphate[m]	1.0	1.0								
				NAD[m]	3.0	3.0	NADH[m]	3.0	3.0								
				Phosphate[m];Water[e]			Carbon dioxide[e];Hydrogen Ion[c];Hydrogen Ion[m]										
	255.0	Ubiquinol-to-proton		QH2[m]	1.0	1.0	Ubiquinone-1[m]	1.0	1.0								
				Oxygen[e];Hydrogen Ion[m]			Water[e]										
							Hydrogen Ion[c]	6.0									
	256.0	Ubiquinol-to-ATP		QH2[m]	1.0	1.0	Ubiquinone-1[m]	1.0	1.0	Adenosine triphosphate[m] + Water[m] => ADP[m] + Phosphate[m]	1.0						
				Oxygen[e];Hydrogen Ion[m]			Water[e];Hydrogen Ion[m];Hydrogen Ion[c]										
