1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
				"""Primed Glycogenin (Glycogenin-8[1,4-Glc])""[c]"	1.0	1.0	"""Glycogen, Structure 1 (Glycogenin-11[1,4-Glc])""[c]"	1.0		NADH[c] <=> NAD[c]							
				Oxygen[e]						NADPH[c] <=> NADP[c]							
	30.0	Release of glucose from Glycogen		"""Glycogen, Structure 1 (Glycogenin-11[1,4-Glc])""[c]"	1.0	1.0	D-Glucose[e]	11.0	11.0	glucose-1-phosphate[c] + Water[c] => glucose[c] + Phosphate[e]							
				Water[e]			"""Primed Glycogenin (Glycogenin-8[1,4-Glc])""[c]"	1.0	1.0								
	31.0	Fructose degradation		D-Fructose[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e]										
	32.0	Galactose degradation		D-Galactose[e];Oxygen[e]		1.0	Water[e];Carbon dioxide[e]										
	33.0	UDP-glucose de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine diphosphate glucose[c]	1.0									
	34.0	UDP-galactose de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine diphosphategalactose[c]	1.0									
	35.0	UDP-glucuronate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine diphosphate glucuronic acid[c]	1.0									
	36.0	GDP-L-fucose de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							GDP-L-fucose[c]	1.0									
	37.0	GDP-mannose de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Guanosine diphosphate mannose[c]	1.0									
	38.0	UDP-N-acetyl D-galactosamine de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine diphosphate-N-acetylgalactosamine[c]	1.0									
	39.0	CMP-N-acetylneuraminate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Cytidine monophosphate N-acetylneuraminic acid[c]	1.0									
	40.0	N-Acetylglucosamine de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine diphosphate-N-acetylglucosamine[c]	1.0									
	41.0	Glucuronate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							D-Glucuronic acid[c]	1.0									
	42.0	Alanine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Alanine[e]	1.0									
	43.0	Arginine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Arginine[e]	1.0									
	44.0	Asparagine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Asparagine[e]	1.0									
	45.0	Aspartate de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							D-Aspartate[c]	1.0									
	46.0	Glutamate de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamic acid[e]	1.0									
	47.0	Glycine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Glycine[e]	1.0									
	48.0	Glutamine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamine[e]	1.0									
	49.0	Proline de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Proline[e]	1.0									
	50.0	Serine de novo synthesis (minimal substrates, minimal excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Serine[e]	1.0									
	51.0	Histidine de novo synthesis (minimal substrates, minimal excretion)	1.0	Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Histidine[c]	1.0									
	52.0	Histidine uptake		L-Histidine[e]	1.0	1.0	L-Histidine[c]	1.0									
