Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	44.0	Carnitine synthesis, cytosol		O2[e];glucose[e];H2O[e];NH3[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e];urea[e]										
							L-carnitine[c]	1.0									
	45.0	Carnitine synthesis, mitochondrion		O2[e];glucose[e];H2O[e];NH3[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e];urea[e]										
							L-carnitine[m]	1.0									
	46.0	Palmitate synthesis		O2[e];glucose[e]			CO2[e];H2O[e]										
							palmitate[c]	1.0									
	47.0	Stearate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							stearate[c]	1.0									
	48.0	Oleate synthesis		O2[e];glucose[e]			CO2[e];H2O[e]										
							oleate[c]	1.0									
	49.0	Sphinganine synthesis, cytosol		O2[e];glucose[e];H2O[e];NH3[e]			H2O[e];CO2[e]										
							sphinganine[c]	1.0									
	50.0	UDP degradation, cytosol		UDP[c];O2[e]			H2O[e];CO2[e];NH3[e];Pi[e]										
	51.0	H2O2 degradation, cytosol		H2O2[c]			H2O[e];O2[e]										
	52.0	Lysine degradation		lysine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	53.0	ITP degradation, cytosol		ITP[c];O2[e]			H2O[e];CO2[e];NH3[e];Pi[e]										
	54.0	Glucose-1P degradation, cytosol		glucose-1-phosphate[c];O2[e]			H2O[e];CO2[e];Pi[e]										
	55.0	IDP degradation, cytosol		IDP[c];O2[e]			H2O[e];CO2[e];NH3[e];Pi[e]										
	56.0	UMP degradation, cytosol		UMP[c];O2[e]			H2O[e];CO2[e];NH3[e];Pi[e]										
	57.0	DHAP degradation, cytosol		DHAP[c];O2[e]			H2O[e];CO2[e];Pi[e]										
	58.0	PRPP degradation, cytosol		PRPP[c];O2[e]			H2O[e];CO2[e];Pi[e]										
	59.0	GSH synthesis, cytosol		O2[e];NH3[e];glucose[e];methionine[e]			H2O[e];CO2[e];urea[e]										
							GSH[c]	1.0									
