Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000124615	MAM03118	increase	-0.0	0
ENSG00000059573	MAM02770	decrease	0.0023	0
ENSG00000171759	MAM02720	increase	11.3026	1
ENSG00000059573	MAM01365	decrease	-0.0	0
ENSG00000103150	MAM03954	increase	1.3637	1
ENSG00000140459	MAM02769	decrease	-1.0	1
ENSG00000153574	MAM01759	increase	205.3859	1
ENSG00000165704	MAM01621	increase	0.7734	1
ENSG00000176387	MAM02200	decrease	No_result	No_result
ENSG00000144182	MAM02184	decrease	0.0	0
ENSG00000091483	MAM02661	increase	0.4695	1
ENSG00000171759	MAM03135	decrease	0.0	0
ENSG00000159650	MAM02137	decrease	0.0	0
ENSG00000144182	MAM02046	decrease	0.0	0
ENSG00000140459	MAM01660	decrease	-1.0	1
ENSG00000161653	MAM01365	increase	82.0773	1
ENSG00000178537	MAM03954	increase	0.0	0
ENSG00000091140	MAM02819	increase	0.2822	1
ENSG00000121897	MAM02403	increase	-0.0	0
ENSG00000101846	MAM01790	increase	1667.2403	1
ENSG00000091140	MAM02360	increase	0.0	0
ENSG00000171759	MAM01004	increase	-0.4987	0
ENSG00000144182	MAM02360	decrease	0.0	0
ENSG00000140459	MAM01388	decrease	169.2113	0
ENSG00000134240	MAM03923	increase	0.9202	1
ENSG00000189221	MAM02897	increase	0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02973	increase	0.0	0
ENSG00000128928	MAM00094	increase	-0.0	0
ENSG00000134240	MAM03575	increase	1.6408	1
ENSG00000147155	MAM03329	increase	No_result	No_result
ENSG00000162551	MAM02814	increase	0.0	0
ENSG00000178537	MAM03923	decrease	-0.0	0
ENSG00000213316	MAM02366	decrease	-1.0	1
ENSG00000173599	MAM00157	increase	0.2953	1
ENSG00000103507	MAM02142	decrease	0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM03620	increase	0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM03488	increase	0.0	0
ENSG00000171759	MAM01003	increase	0.0	0
ENSG00000161653	MAM02658	increase	155.1081	1
ENSG00000134240	MAM03408	increase	1.7254	1
ENSG00000134240	MAM01388	decrease	1.4371	0
ENSG00000165704	MAM02037	increase	5.9075	1
ENSG00000123454	MAM01736	increase	29.5195	1
ENSG00000124299	MAM03630	increase	No_result	No_result
ENSG00000108439	MAM02125	increase	0.0	0
ENSG00000108439	MAM02137	decrease	-0.0	0
ENSG00000091140	MAM01306	increase	0.2489	1
ENSG00000080819	MAM01604	increase	No_result	No_result
ENSG00000127948	MAM00408	increase	-0.0	0
ENSG00000130005	MAM02579	increase	-0.0	0
ENSG00000153574	MAM02841	increase	883.8581	1
ENSG00000172482	MAM01998	increase	0.0216	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02388	increase	0.0	0
ENSG00000084754	MAM02348	decrease	0.0	0
ENSG00000128928	MAM02190	increase	0.0	0
ENSG00000084754	MAM01388	decrease	0.0561	0
ENSG00000123454	MAM02617	decrease	-1.0	1
ENSG00000076351	MAM01830	decrease	0.0	0
ENSG00000153574	MAM02338	increase	226.9103	1
ENSG00000127948	MAM02769	increase	-0.0	0
ENSG00000059573	MAM01588	decrease	-0.0	0
ENSG00000091140	MAM02403	increase	0.4799	1
ENSG00000140459	MAM00408	decrease	-1.0	1
ENSG00000161653	MAM02579	increase	2.3121	1
ENSG00000156110	MAM01280	increase	1.7145	1
ENSG00000101846	MAM01789	increase	1797.7647	1
ENSG00000161533	MAM01432	increase	0.4133	1
ENSG00000109929	MAM02343	increase	No_result	No_result
ENSG00000124253	MAM01365	decrease	-0.0	0
ENSG00000159423	MAM02770	increase	28.7416	1
ENSG00000110921	MAM00167	increase	No_result	No_result
ENSG00000100033	MAM02770	increase	0.0	0
ENSG00000101846	MAM01787	decrease	1655.3293	0
ENSG00000140459	MAM02200	increase	No_result	No_result
ENSG00000239900	MAM02872	increase	0.0	0
ENSG00000103150	MAM03408	increase	1.55	1
ENSG00000173599	MAM02579	increase	0.0	0
ENSG00000126522	MAM01588	decrease	0.126	0
ENSG00000100024	MAM01705	increase	12526.9595	1
ENSG00000183044	MAM01383	increase	0.3106	1
ENSG00000213930	MAM01910	decrease	0.2663	0
ENSG00000117305	MAM03408	increase	1.6813	1
ENSG00000091140	MAM03135	increase	0.0	0
ENSG00000070915	MAM02200	decrease	No_result	No_result
ENSG00000103507	MAM02360	decrease	0.0	0
ENSG00000101276	MAM02842	decrease	0.0	0
ENSG00000100024	MAM00922	increase	12648.9851	1
ENSG00000125454	MAM01580	increase	-0.0	0
ENSG00000134240	MAM02819	decrease	0.0367	0
ENSG00000248098	MAM02360	increase	18.6825	1
ENSG00000084754	MAM02579	increase	-0.0	0
ENSG00000151611	MAM02479	increase	No_result	No_result
ENSG00000144182	MAM01862	increase	0.0	0
ENSG00000125454	MAM02403	increase	-0.0	0
ENSG00000147647	MAM00923	increase	-1.0	0
ENSG00000116984	MAM02471	increase	-0.0	0
ENSG00000091140	MAM02770	increase	0.7424	1
ENSG00000103507	MAM01013	decrease	0.0	0
ENSG00000127948	MAM00409	increase	-0.0	0
ENSG00000183032	MAM00670	increase	-0.0	0
ENSG00000183032	MAM03410	increase	-0.0	0
ENSG00000078070	MAM03243	increase	17.6879	1
ENSG00000078070	MAM00825	increase	17.6879	1
ENSG00000078070	MAM03227	increase	17.6879	1
ENSG00000148090	MAM03243	increase	129.297	1
ENSG00000132437	MAM02354	increase	32.2463	1
ENSG00000132437	MAM01107	increase	15.8354	1
ENSG00000132437	MAM01290	decrease	0.0	0
ENSG00000132437	MAM01736	increase	0.0	0
ENSG00000132437	MAM00830	increase	32.2463	1
ENSG00000132437	MAM02617	decrease	0.0	0
ENSG00000132437	MAM00821	increase	0.0	0
ENSG00000171766	MAM01619	decrease	-1.0	1
ENSG00000171766	MAM02036	decrease	-1.0	1
ENSG00000243989	MAM02536	increase	95.9636	1
ENSG00000243989	MAM03397	increase	109.7576	1
ENSG00000118520	MAM01366	increase	187.0997	1
ENSG00000118520	MAM02659	increase	175.7263	1
ENSG00000118520	MAM03118	increase	175.7263	1
ENSG00000118520	MAM01619	increase	187.0997	1
ENSG00000118520	MAM01365	increase	187.0997	1
ENSG00000118520	MAM02036	increase	187.0997	1
ENSG00000126522	MAM01366	increase	0.0	0
ENSG00000126522	MAM01986	increase	0.0633	1
ENSG00000126522	MAM02659	increase	0.0633	1
ENSG00000126522	MAM02426	increase	0.0	0
ENSG00000126522	MAM03118	increase	0.0633	1
ENSG00000126522	MAM01975	increase	0.0633	1
ENSG00000070669	MAM01369	decrease	0.5959	0
ENSG00000070669	MAM01975	increase	213.8051	1
ENSG00000169814	MAM03243	increase	95.5445	1
ENSG00000169814	MAM01253	increase	306.6329	1
ENSG00000169814	MAM01256	increase	306.6329	1
ENSG00000169814	MAM00157	increase	240.7116	1
ENSG00000169814	MAM02403	increase	154.6968	1
ENSG00000169814	MAM02579	increase	0.1426	1
ENSG00000169814	MAM02142	increase	195.1528	1
ENSG00000169814	MAM00825	increase	7.3765	1
ENSG00000169814	MAM00665	increase	128.1267	1
ENSG00000130707	MAM01588	increase	96.9654	1
ENSG00000130707	MAM01986	increase	58.1699	1
ENSG00000130707	MAM02579	increase	0.1426	1
ENSG00000130707	MAM02659	increase	605.4913	1
ENSG00000179142	MAM01309	decrease	-1.0	1
ENSG00000021826	MAM02426	increase	73.4383	1
ENSG00000021826	MAM03118	increase	1169.0519	1
ENSG00000021826	MAM01127	increase	1118.5705	1
ENSG00000021826	MAM01588	decrease	36.6496	0
ENSG00000021826	MAM01975	increase	1169.0519	1
ENSG00000231852	MAM01309	increase	-1.0	0
ENSG00000231852	MAM01615	decrease	-1.0	1
ENSG00000231852	MAM02769	increase	162.1236	1
ENSG00000231852	MAM00971	increase	161.5306	1
ENSG00000231852	MAM01338	increase	162.4087	1
ENSG00000231852	MAM01660	increase	162.4087	1
ENSG00000116133	MAM01675	increase	1.2538	1
ENSG00000114956	MAM02403	increase	0.164	1
ENSG00000147647	MAM02997	increase	12771.0107	1
ENSG00000147647	MAM03118	increase	11469.4045	1
ENSG00000147647	MAM01052	increase	11225.3533	1
ENSG00000147647	MAM01705	increase	12526.9595	1
ENSG00000138030	MAM01840	increase	0.0	0
ENSG00000213398	MAM01450	decrease	558.823	0
ENSG00000213398	MAM02959	increase	No_result	No_result
ENSG00000160282	MAM02574	increase	-0.9346	0
ENSG00000105607	MAM03497	increase	33.2164	1
ENSG00000065154	MAM01365	increase	12.3968	1
ENSG00000065154	MAM01975	decrease	-0.0	0
ENSG00000065154	MAM01974	decrease	-0.0112	1
ENSG00000065154	MAM02426	decrease	0.0	0
ENSG00000065154	MAM02658	increase	12.3968	1
ENSG00000130005	MAM01619	decrease	No_result	No_result
ENSG00000130005	MAM01621	increase	No_result	No_result
ENSG00000130005	MAM03120	increase	0.0	0
ENSG00000130005	MAM02036	increase	0.0	0
ENSG00000160200	MAM02471	increase	0.0	0
ENSG00000160200	MAM02658	increase	-0.0	0
ENSG00000160200	MAM03394	increase	0.0	0
ENSG00000160200	MAM02133	increase	0.0	0
ENSG00000160200	MAM02349	decrease	-1.0	1
ENSG00000084110	MAM02124	increase	10.2606	1
ENSG00000084110	MAM02166	increase	10.2606	1
ENSG00000084110	MAM02125	increase	10.2606	1
ENSG00000008311	MAM02413	increase	82.7597	1
ENSG00000008311	MAM01588	increase	0.0	0
ENSG00000008311	MAM02426	increase	82.7597	1
ENSG00000117305	MAM03499	increase	0.0	0
ENSG00000159423	MAM01986	increase	-0.0	0
ENSG00000159423	MAM02658	increase	-0.0	0
ENSG00000135697	MAM01385	increase	No_result	No_result
ENSG00000100033	MAM01986	increase	0.0	0
ENSG00000105552	MAM03135	increase	9.6199	1
ENSG00000105552	MAM02360	increase	9.4757	1
ENSG00000128928	MAM03201	increase	-0.0	0
ENSG00000128928	MAM03243	increase	No_result	No_result
ENSG00000128928	MAM03706	increase	0.0	0
ENSG00000165704	MAM01830	decrease	0.0	0
ENSG00000165704	MAM03120	increase	7.6344	1
ENSG00000146085	MAM02325	increase	2356.1223	1
ENSG00000146085	MAM03495	increase	102.5	1
ENSG00000146085	MAM02348	decrease	65.9706	0
ENSG00000146085	MAM02479	increase	2695.2851	1
ENSG00000146085	MAM02142	increase	1229.5234	1
ENSG00000146085	MAM02657	increase	156.2794	1
ENSG00000146085	MAM03217	increase	139.7059	1
ENSG00000248098	MAM03135	increase	18.9535	1
ENSG00000248098	MAM00669	increase	19.2007	1
ENSG00000161653	MAM01307	increase	186.3298	1
ENSG00000161653	MAM01588	decrease	109.7697	0
ENSG00000161653	MAM01975	increase	155.1081	1
ENSG00000036473	MAM01127	increase	0.0	0
ENSG00000036473	MAM01588	decrease	0.0	0
ENSG00000036473	MAM01975	increase	0.0	0
ENSG00000036473	MAM01986	increase	-0.0	0
ENSG00000036473	MAM02426	increase	0.0	0
ENSG00000036473	MAM02659	increase	-0.0	0
ENSG00000036473	MAM03118	increase	0.0	0
ENSG00000036473	MAM02579	increase	0.0	0
ENSG00000036473	MAM02658	increase	0.0	0
ENSG00000100983	MAM02369	increase	No_result	No_result
ENSG00000100983	MAM02366	increase	No_result	No_result
ENSG00000100983	MAM02418	increase	No_result	No_result
ENSG00000173599	MAM01253	increase	0.2953	1
ENSG00000173599	MAM01256	increase	0.2953	1
ENSG00000173599	MAM01306	increase	0.0766	1
ENSG00000173599	MAM01307	increase	0.0	0
ENSG00000173599	MAM01588	increase	0.0	0
ENSG00000173599	MAM02426	increase	0.0	0
ENSG00000173599	MAM02770	increase	0.0766	1
ENSG00000173599	MAM02943	increase	0.079	1
ENSG00000173599	MAM01965	decrease	1.4371	0
ENSG00000173599	MAM01862	increase	0.079	1
ENSG00000172482	MAM02007	increase	0.0	0
ENSG00000171759	MAM02724	increase	11.3026	1
ENSG00000171759	MAM00654	increase	11.3026	1
ENSG00000112294	MAM01986	increase	327.3821	1
ENSG00000112294	MAM02942	increase	1640.7692	1
ENSG00000112294	MAM00970	increase	1405.1085	1
ENSG00000131979	MAM02724	increase	No_result	No_result
ENSG00000103876	MAM02471	increase	0.0	0
ENSG00000103876	MAM01004	increase	29.5195	1
ENSG00000103876	MAM01005	increase	29.5195	1
ENSG00000158104	MAM01004	increase	29.5195	1
ENSG00000158104	MAM01005	increase	29.5195	1
ENSG00000158125	MAM02159	increase	321.1275	1
ENSG00000158125	MAM03148	increase	160.0637	1
