Met_id	Met_old_id	Met_name	Met_compartment	Met_charge	Met_formula
sIEC_MAM01451luI	sIEC_xolest2_hs[luI]	Cholesterol Ester	luI	0	C27H45FULLR2CO2
sIEC_MAM01513luI	sIEC_chol[luI]	Choline	luI	1	C5H14NO
sIEC_MAM02348luI	sIEC_crn[luI]	L-Carnitine	luI	0	C7H15NO3
sIEC_MAM01627luI	sIEC_cysam[luI]	Cysteamine	luI	1	C2H8NS
sIEC_MAM02630luI	sIEC_o2[luI]	Oxygen	luI	0	O2
sIEC_MAM02157luI	sIEC_hyptaur[luI]	Hypotaurine	luI	0	C2H7NO2S
sIEC_MAM01630luI	sIEC_cytd[luI]	Cytidine	luI	0	C9H13N3O5
sIEC_MAM03103luI	sIEC_q10[luI]	Ubiquinone-1	luI	0	C59H90O4
sIEC_MAM01666luI	sIEC_dad_2[luI]	Deoxyadenosine	luI	0	C10H13N5O3
sIEC_MAM00240luI	sIEC_dag_hs[luI]	Diglyceride	luI	0	C3H6OFULLRCO2FULLR2CO2
sIEC_MAM01668luI	sIEC_dcyt[luI]	Deoxycytidine	luI	0	C9H13N3O4
sIEC_MAM01669luI	sIEC_dgsn[luI]	Deoxyguanosine	luI	0	C10H13N5O4
sIEC_MAM01655luI	sIEC_dhdascb[luI]	Dehydroascorbic acid	luI	0	C6H6O6
sIEC_MAM01671luI	sIEC_din[luI]	Deoxyinosine	luI	0	C10H12N4O4
sIEC_MAM01674luI	sIEC_dpcoa[luI]	Dephospho-CoA	luI	-2	C21H33N7O13P2S
sIEC_MAM01334luI	sIEC_amp[luI]	Adenosine monophosphate	luI	-2	C10H12N5O7P
sIEC_MAM02741luI	sIEC_pan4p[luI]	Pantetheine 4'-phosphate	luI	-2	C11H21N2O7PS
sIEC_MAM01673luI	sIEC_duri[luI]	Deoxyuridine	luI	0	C9H12N2O5
sIEC_MAM01784luI	sIEC_tmndnc[luI]	Eicosapentaenoic acid	luI	-1	C20H29O2
sIEC_MAM00970luI	sIEC_4abut[luI]	gamma-Aminobutyric acid	luI	0	C4H9NO2
sIEC_MAM01327luI	sIEC_avite1[luI]	Alpha-Tocopherol	luI	0	C29H50O2
sIEC_MAM00745luI	sIEC_dchac[luI]	Deoxycholic acid	luI	-1	C24H39O4
sIEC_MAM01802luI	sIEC_fad[luI]	FAD	luI	-2	C27H31N9O15P2
sIEC_MAM01974luI	sIEC_glu_L[luI]	L-Glutamic acid	luI	-1	C5H8NO4
sIEC_MAM03626luI	sIEC_glyleu[luI]	Glycylleucine	luI	0	C8H16N2O3
sIEC_MAM03629luI	sIEC_glyphe[luI]	Glycyl-Phenylalanine	luI	0	C11H14N2O3
sIEC_MAM03630luI	sIEC_glypro[luI]	Glycylproline	luI	0	C7H12N2O3
sIEC_MAM03638luI	sIEC_gum[luI]	Gums	luI	0	C2760000H5060000O2530000
sIEC_MAM03639luI	sIEC_gumdchac[luI]	Guar Gum-Deoxyxholic Acid Complex	luI	-1	C2760024H5060039O2530004
sIEC_MAM03640luI	sIEC_gumgchol[luI]	Guar Gum-Glycocholate Complex	luI	0	C2760026H5060043NO2530006
sIEC_MAM03641luI	sIEC_gumtchol[luI]	Guar Gum-Taurocholic Acid Complex	luI	0	C2760026H5060045NO2530007S
sIEC_MAM02674luI	sIEC_hdca[luI]	Palmitic acid	luI	-1	C16H31O2
sIEC_MAM02184luI	sIEC_ile_L[luI]	L-Isoleucine	luI	0	C6H13NO2
sIEC_MAM02403luI	sIEC_lac_L[luI]	L-Lactic acid	luI	-1	C3H5O3
sIEC_MAM02332luI	sIEC_lcts[luI]	Alpha-Lactose	luI	0	C12H22O11
sIEC_MAM03715luI	sIEC_leuleu[luI]	Leucylleucine	luI	0	C12H24N2O3
sIEC_MAM02387luI	sIEC_lnlc[luI]	Linoleic acid	luI	-1	C18H31O2
sIEC_MAM01932luI	sIEC_lnlncg[luI]	Gamma-Linolenic acid	luI	-1	C18H29O2
sIEC_MAM02426luI	sIEC_lys_L[luI]	L-Lysine	luI	1	C6H15N2O2
sIEC_MAM02471luI	sIEC_met_L[luI]	L-Methionine	luI	0	C5H11NO2S
sIEC_MAM02586luI	sIEC_nac[luI]	Nicotinic acid	luI	-1	C6H4NO2
sIEC_MAM02583luI	sIEC_ncam[luI]	Niacinamide	luI	0	C6H6N2O
sIEC_MAM02646luI	sIEC_ocdcea[luI]	Oleic acid	luI	-1	C18H33O2
sIEC_MAM02658luI	sIEC_orn[luI]	Ornithine	luI	1	C5H13N2O2
sIEC_MAM02684luI	sIEC_pchol_hs[luI]	Phosphatidylcholine	luI	0	C8H18NO4PFULLRCO2FULLR2CO2
sIEC_MAM03851luI	sIEC_pect[luI]	Pectin	luI	-1	C2535H3509O2535
sIEC_MAM03852luI	sIEC_pectindchac[luI]	Pectin-Deoxycholic Acid Complex	luI	-1	C2559H3549O2539
sIEC_MAM03853luI	sIEC_pectingchol[luI]	Pectin-Glycocholate Complex	luI	0	C2561H3553NO2541
sIEC_MAM03854luI	sIEC_pectintchol[luI]	Pectin-Taurocholic Acid Complex	luI	0	C2561H3555NO2542S
sIEC_MAM02744luI	sIEC_phyQ[luI]	Vitamin K1	luI	0	C31H46O2
sIEC_MAM02751luI	sIEC_pi[luI]	Phosphate	luI	-2	HO4P
sIEC_MAM02680luI	sIEC_pnto_R[luI]	Pantothenic acid	luI	-1	C9H16NO5
sIEC_MAM02770luI	sIEC_pro_L[luI]	L-Proline	luI	0	C5H9NO2
sIEC_MAM03896luI	sIEC_progly[luI]	L-Prolinylglycine	luI	0	C7H12N2O3
sIEC_MAM03907luI	sIEC_psyl[luI]	Psyllium	luI	0	C9642006H15428700O8667414
sIEC_MAM03908luI	sIEC_psylchol[luI]	Psillium-Glycocholic Acid Complex	luI	0	C9642032H15428743NO8667420
sIEC_MAM03909luI	sIEC_psyltchol[luI]	Psyllium-Taurocholic Acid Complex	luI	0	C9642032H15428745NO8667421S
sIEC_MAM03910luI	sIEC_psyltdechol[luI]	Psyllium-Taurodeoxycholic Acid Complex	luI	-1	C9642032H15428744NO8667420S
sIEC_MAM02812luI	sIEC_ptrc[luI]	Putrescine	luI	2	C4H14N2
sIEC_MAM02834luI	sIEC_retinol[luI]	Vitamin A	luI	0	C20H30O
sIEC_MAM01682luI	sIEC_sbt_D[luI]	Sorbitol	luI	0	C6H14O6
sIEC_MAM02923luI	sIEC_spmd[luI]	Spermidine	luI	3	C7H22N3
sIEC_MAM02926luI	sIEC_sprm[luI]	Spermine	luI	4	C10H30N4
sIEC_MAM02945luI	sIEC_sucr[luI]	Sucrose	luI	0	C12H22O11
sIEC_MAM02959luI	sIEC_tag_hs[luI]	Triglyceride	luI	0	C3H5FULLRCO2FULLR2CO2FULLR3CO2
sIEC_MAM02961luI	sIEC_taur[luI]	Taurine	luI	0	C2H7NO3S
sIEC_MAM02996luI	sIEC_thymd[luI]	Thymidine	luI	0	C10H14N2O5
sIEC_MAM03039luI	sIEC_tre[luI]	Trehalose	luI	0	C12H22O11
sIEC_MAM03089luI	sIEC_trp_L[luI]	L-Tryptophan	luI	0	C11H12N2O2
sIEC_MAM03101luI	sIEC_tyr_L[luI]	L-Tyrosine	luI	0	C9H11NO3
sIEC_MAM03135luI	sIEC_val_L[luI]	L-Valine	luI	0	C5H11NO2
sIEC_MAM01821luI	sIEC_fe2[luI]	Fe2+	luI	2	Fe
sIEC_MAM01828luI	sIEC_fmn[luI]	Flavin Mononucleotide	luI	-2	C17H19N4O9P
sIEC_MAM01830luI	sIEC_fol[luI]	Folic acid	luI	-1	C19H18N7O6
sIEC_MAM01840luI	sIEC_fru[luI]	D-Fructose	luI	0	C6H12O6
sIEC_MAM01910luI	sIEC_gal[luI]	D-Galactose	luI	0	C6H12O6
sIEC_MAM01962luI	sIEC_gam[luI]	Glucosamine	luI	1	C6H14NO5
sIEC_MAM01986luI	sIEC_gly[luI]	Glycine	luI	0	C2H5NO2
sIEC_MAM01983luI	sIEC_glyc[luI]	Glycerol	luI	0	C3H8O3
sIEC_MAM03623luI	sIEC_glygn5[luI]	"""Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])"""	luI	0	C12H21O11X
sIEC_MAM02038luI	sIEC_gsn[luI]	Guanosine	luI	0	C10H13N5O5
sIEC_MAM02675luI	sIEC_hdcea[luI]	Palmitoleic acid	luI	-1	C16H29O2
sIEC_MAM02125luI	sIEC_his_L[luI]	L-Histidine	luI	0	C6H9N3O2
sIEC_MAM02170luI	sIEC_ins[luI]	Inosine	luI	0	C10H12N4O5
sIEC_MAM00656luI	sIEC_lpchol_hs[luI]	1-Acyl-Sn-Glycero-3-Phosphocholine	luI	0	C8H19NO5PFULLRCO2
sIEC_MAM00490luI	sIEC_mag_hs[luI]	Monoacylglycerol 2	luI	0	C3H7O2FULLR2CO2
sIEC_MAM02450luI	sIEC_malt[luI]	D-Maltose	luI	0	C12H22O11
sIEC_MAM02453luI	sIEC_man[luI]	D-Mannose	luI	0	C6H12O6
sIEC_MAM02609luI	sIEC_no[luI]	Nitric oxide	luI	0	NO
sIEC_MAM02938luI	sIEC_ocdca[luI]	Stearic acid	luI	-1	C18H35O2
sIEC_MAM02642luI	sIEC_octa[luI]	Caprylic acid	luI	-1	C8H15O2
sIEC_MAM02685luI	sIEC_pe_hs[luI]	Phosphatidylethanolamine	luI	0	C5H12NO4PFULLRCO2FULLR2CO2
sIEC_MAM02724luI	sIEC_phe_L[luI]	L-Phenylalanine	luI	0	C9H11NO2
sIEC_MAM02049luI	sIEC_pheme[luI]	Heme	luI	-2	C34H30FeN4O4
sIEC_MAM02679luI	sIEC_ptth[luI]	Palmityl-CoA	luI	0	C11H22N2O4S
sIEC_MAM02815luI	sIEC_pydam[luI]	Pyridoxamine	luI	1	C8H13N2O2
sIEC_MAM02813luI	sIEC_pydx[luI]	Pyridoxal	luI	0	C8H9NO3
sIEC_MAM02817luI	sIEC_pydxn[luI]	Pyridoxine	luI	0	C8H11NO3
sIEC_MAM02843luI	sIEC_rib_D[luI]	D-Ribose	luI	0	C5H10O5
sIEC_MAM02842luI	sIEC_ribflv[luI]	Riboflavin	luI	0	C17H20N4O6
sIEC_MAM02982luI	sIEC_thm[luI]	Thiamine	luI	1	C12H17N4OS
sIEC_MAM02494luI	sIEC_ttdca[luI]	Myristic acid	luI	-1	C14H27O2
sIEC_MAM03123luI	sIEC_uri[luI]	Uridine	luI	0	C9H12N2O6
sIEC_MAM03142luI	sIEC_vitd3[luI]	Vitamin D3	luI	0	C27H44O
sIEC_MAM03155luI	sIEC_xylt[luI]	D-Xylitol	luI	0	C5H12O5
sIEC_MAM02046bpI	sIEC_hco3[bpI]	Hydrogen carbonate	bpI	-1	CHO3
sIEC_MAM02519bpI	sIEC_na1[bpI]	Sodium	bpI	1	Na
sIEC_MAM01307bpI	sIEC_ala_L[bpI]	L-Alanine	bpI	0	C3H7NO2
sIEC_MAM02354bpI	sIEC_34dhphe[bpI]	L-Dopa	bpI	0	C9H11NO4
sIEC_MAM01370bpI	sIEC_asp_L[bpI]	L-Aspartic acid	bpI	-1	C4H6NO4
sIEC_MAM01628bpI	sIEC_cys_L[bpI]	L-Cysteine	bpI	0	C3H7NO2S
sIEC_MAM02125bpI	sIEC_his_L[bpI]	L-Histidine	bpI	0	C6H9N3O2
sIEC_MAM02184bpI	sIEC_ile_L[bpI]	L-Isoleucine	bpI	0	C6H13NO2
sIEC_MAM02360bpI	sIEC_leu_L[bpI]	L-Leucine	bpI	0	C6H13NO2
sIEC_MAM02471bpI	sIEC_met_L[bpI]	L-Methionine	bpI	0	C5H11NO2S
sIEC_MAM02724bpI	sIEC_phe_L[bpI]	L-Phenylalanine	bpI	0	C9H11NO2
sIEC_MAM02896bpI	sIEC_ser_L[bpI]	L-Serine	bpI	0	C3H7NO3
sIEC_MAM02993bpI	sIEC_thr_L[bpI]	L-Threonine	bpI	0	C4H9NO3
sIEC_MAM03089bpI	sIEC_trp_L[bpI]	L-Tryptophan	bpI	0	C11H12N2O2
sIEC_MAM03101bpI	sIEC_tyr_L[bpI]	L-Tyrosine	bpI	0	C9H11NO3
sIEC_MAM03135bpI	sIEC_val_L[bpI]	L-Valine	bpI	0	C5H11NO2
sIEC_MAM01280bpI	sIEC_adn[bpI]	Adenosine	bpI	0	C10H13N5O4
sIEC_MAM01638bpI	sIEC_ala_D[bpI]	D-Alanine	bpI	0	C3H7NO2
sIEC_MAM02039bpI	sIEC_h[bpI]	Hydrogen Ion	bpI	1	H
sIEC_MAM01975bpI	sIEC_gln_L[bpI]	L-Glutamine	bpI	0	C5H10N2O3
sIEC_MAM01986bpI	sIEC_gly[bpI]	Glycine	bpI	0	C2H5NO2
sIEC_MAM01365bpI	sIEC_arg_L[bpI]	L-Arginine	bpI	1	C6H15N4O2
sIEC_MAM01368bpI	sIEC_ascb_L[bpI]	Ascorbic acid	bpI	-1	C6H7O6
sIEC_MAM01369bpI	sIEC_asn_L[bpI]	L-Asparagine	bpI	0	C4H8N2O3
sIEC_MAM01641bpI	sIEC_asp_D[bpI]	D-Aspartate	bpI	-1	C4H6NO4
