Rxn_id	Values
MAR00001	0.999117337167306
MAR00002	0.999847191822336
MAR00003	0.999911003939209
MAR00004	0.999653067704507
MAR00005	0.999653067704508
MAR00006	0.999974239893736
MAR00007	0.999847191821026
MAR00008	0.999911003939209
MAR00009	0.999653067709669
MAR00010	0.999653067709669
MAR00013	0.993177921727005
MAR00014	0.991388782296838
MAR00015	0.99968586104105
MAR00019	0.992482249008774
MAR00020	0.98609874991259
MAR00035	0.994370570211237
MAR00036	0.904620465748417
MAR00037	0.904620465748391
MAR00050	0.999655539705362
MAR00053	0.999101984461766
MAR00056	0.673192391886486
MAR00057	0.98817147054402
MAR00060	0.997787830648162
MAR00064	0.998444486281045
MAR00066	0.997476603653305
MAR00067	0.962263099220675
MAR00069	0.989655868919734
MAR00072	0.997336359711049
MAR00073	0.99869438072685
MAR00074	0.998694380726868
MAR00076	0.999427521936889
MAR00080	0.99638433688546
MAR00081	0.999815944482746
MAR00084	0.985042928310579
MAR00086	0.998694380726862
MAR00087	0.999694017845958
MAR00089	0.948960585533048
MAR00091	0.998694380726866
MAR00092	0.998694380726872
MAR00094	0.999919210002725
MAR00097	0.994944982021672
MAR00099	0.999765365972817
MAR00100	0.996315779480753
MAR00101	0.983181808048742
MAR00102	0.999059111628569
MAR00103	0.998715815069447
MAR00104	0.999433754587184
MAR00105	0.999166789846212
MAR00106	0.997026684200538
MAR00107	0.999160683815508
MAR00108	0.99936760829273
MAR00109	0.99975054135917
MAR00110	0.999283372172085
MAR00111	0.997632310837491
MAR00113	0.996363147174655
MAR00114	0.996509101344845
MAR00115	0.992742814252632
MAR00116	0.983181808048717
MAR00117	0.995702538563863
MAR00118	0.994567783480229
MAR00119	0.997350093111285
MAR00120	0.997547149322763
MAR00121	0.997949914642991
MAR00122	0.997547931751042
MAR00125	0.99535963783605
MAR00126	0.996720838249929
MAR00127	0.999408032867896
MAR00128	0.998985386642694
MAR00131	0.965664100781302
MAR00132	0.965664100781314
MAR00133	0.965664100781307
MAR00134	0.965664100781306
MAR00137	0.998182021427118
MAR00139	0.993314584500189
MAR00141	0.990110170299373
MAR00143	0.999414608406993
MAR00144	0.997710239559676
MAR00145	0.997409827200661
MAR00146	0.998748672868906
MAR00147	0.99905813156766
MAR00148	0.996342174681603
MAR00149	0.999249507609763
MAR00150	0.999565707243401
MAR00151	0.996495042046924
MAR00152	0.996331056540374
MAR00153	0.997503354060327
MAR00154	0.998111086155994
MAR00155	0.996154385232562
MAR00156	0.991731598814727
MAR00158	0.992951870790652
MAR00159	0.990453344369191
MAR00160	0.998143845374647
MAR00161	0.993019771790123
MAR00162	0.991614583605381
MAR00163	0.991614583605363
MAR00164	0.999080069185701
MAR00165	0.999080069185701
MAR00166	0.999080069185698
MAR00167	0.932853972534693
MAR00168	0.899350140077048
MAR00169	0.921834884495049
MAR00170	0.999508653752141
MAR00171	0.999508653752144
MAR00172	0.999508653752141
MAR00173	0.997840588552932
MAR00174	0.999369535883037
MAR00176	0.999746446701231
MAR00177	0.999547051676348
MAR00178	0.999547051676347
MAR00179	0.999700589529312
MAR00180	0.999524223491531
MAR00181	0.996450383162662
MAR00183	0.999507596303622
MAR00184	0.999755093193692
MAR00185	0.999507596303624
MAR00186	0.997098753356442
MAR00187	0.991147041171978
MAR00188	0.985692610324574
MAR00189	0.985683306273304
MAR00190	0.99117342395713
MAR00191	0.999938815578943
MAR00192	0.999807851686396
MAR00193	0.999783627196302
MAR00194	0.999926756297793
MAR00195	0.9994768634183
MAR00196	0.999724511326805
MAR00197	0.999691649531058
MAR00199	0.99991863567338
MAR00200	0.999724809235991
MAR00201	0.9998318042807
MAR00202	0.99992063854533
MAR00203	0.999934851267547
MAR00204	0.999770083844162
MAR00206	0.999790212899114
MAR00207	0.99992829161088
MAR00208	0.999935060440619
MAR00209	0.999769129501184
MAR00210	0.999791242837111
MAR00211	0.999928122038407
MAR00212	0.999790009793648
MAR00213	0.999793814405316
MAR00214	0.999769958781585
MAR00216	0.999225115666016
MAR00217	0.997874582099382
MAR00220	0.985042928310565
MAR00222	0.988045358540248
MAR00223	0.9977112285713
MAR00224	0.999209284822848
MAR00225	0.998514014341518
MAR00226	0.999097931322926
MAR00227	0.9995235659113
MAR00228	0.999512001229517
MAR00230	0.998877350021786
MAR00232	0.999334644131522
MAR00233	0.999702583432299
MAR00234	0.999664919977528
MAR00236	0.999768372975859
MAR00237	0.999807689961507
MAR00238	0.999731909769564
MAR00240	0.99989820372035
MAR00241	0.999749307688905
MAR00242	0.999732136767183
MAR00243	0.9998856402713
MAR00244	0.999683091157453
MAR00245	0.99978638673529
MAR00246	0.999747195788072
MAR00248	0.999717394674887
MAR00249	0.999347518813543
MAR00250	0.999166130506764
MAR00252	0.998869032498382
MAR00253	0.999674774973213
MAR00254	0.999879082190119
MAR00255	0.999768506776611
MAR00256	0.999686447713987
MAR00257	0.999882597198517
MAR00258	0.999716729678387
MAR00259	0.999649602848881
MAR00260	0.999557862213188
MAR00261	0.999717626379065
MAR00262	0.999886877573366
MAR00263	0.999710223710184
MAR00264	0.999494278033236
MAR00265	0.999854803851119
MAR00266	0.997665247009676
MAR00267	0.999180848553209
MAR00268	0.998986523672736
MAR00270	0.999874003996849
MAR00271	0.999862816385845
MAR00272	0.999712916936484
MAR00273	0.999861175277149
MAR00274	0.99931580017651
MAR00275	0.999689376177306
MAR00276	0.999646003313406
MAR00278	0.999932310644014
MAR00279	0.999819646026132
MAR00280	0.99975667622787
MAR00281	0.999944693208169
MAR00282	0.999398229083632
MAR00283	0.999264832458511
MAR00284	0.999229686752154
MAR00285	0.983072130215496
MAR00288	0.999665343572895
MAR00289	0.999524558294479
MAR00290	0.999501842001673
MAR00291	0.99965934168277
MAR00292	0.999893764159826
MAR00293	0.999788470187022
MAR00294	0.999679464185282
MAR00296	0.999937617962167
MAR00297	0.999777071750036
MAR00298	0.999784533448747
MAR00299	0.999925479108911
MAR00300	0.999948646138196
MAR00301	0.999826248337079
MAR00302	0.999773352124754
MAR00303	0.999954020427164
MAR00304	0.999816864296972
MAR00305	0.999813736216583
MAR00306	0.999774220110168
MAR00308	0.99915117469599
MAR00309	0.999151208851983
MAR00312	0.976545184798667
MAR00313	0.976545824077179
MAR00316	0.997929709301617
MAR00318	0.973229887468602
