Rxn_id	Values
MAR00001	0.997949493764076
MAR00002	0.999664204241302
MAR00003	0.999829057335467
MAR00004	0.999069034029837
MAR00005	0.99906903402983
MAR00006	0.999943411092772
MAR00007	0.99966420426237
MAR00008	0.999829057335462
MAR00009	0.999069034056325
MAR00010	0.999069034056327
MAR00013	0.993725446092985
MAR00014	0.992061088196308
MAR00015	0.999116814274362
MAR00019	0.767164720923065
MAR00020	0.948984099555445
MAR00035	0.993144846156355
MAR00036	0.879623763804854
MAR00037	0.879623763804859
MAR00050	0.999251618187477
MAR00052	0.998742791256824
MAR00053	0.996946909470212
MAR00056	0.960436915163818
MAR00057	0.954417117165846
MAR00060	0.997796313444222
MAR00064	0.999548051277467
MAR00065	0.999808303347117
MAR00066	0.994909188144006
MAR00067	0.971451186725165
MAR00069	0.984560816053636
MAR00072	0.996401601088258
MAR00073	0.997104560474826
MAR00074	0.997104560474828
MAR00076	0.999882923584814
MAR00079	0.997334254718192
MAR00080	0.980366800766346
MAR00081	0.709359615744526
MAR00084	0.914383002874048
MAR00086	0.997104560474827
MAR00089	0.826955413456415
MAR00091	0.997104560474825
MAR00092	0.997104560474829
MAR00094	0.999812476664312
MAR00097	0.995141620180663
MAR00099	0.999653449919956
MAR00100	0.996974207683977
MAR00101	0.978219284146596
MAR00102	0.999477897795577
MAR00103	0.999515732680054
MAR00104	0.999409289920502
MAR00105	0.999775723957444
MAR00106	0.999829025826091
MAR00107	0.999681977794791
MAR00108	0.993002593251669
MAR00109	0.999547063264859
MAR00110	0.999645323551568
MAR00111	0.999036165202885
MAR00113	0.987373636356218
MAR00114	0.986999820602401
MAR00115	0.974633597002815
MAR00116	0.978219284146596
MAR00117	0.988616841307297
MAR00118	0.976435054917035
MAR00119	0.995573895428384
MAR00120	0.994230940463706
MAR00121	0.99473782354682
MAR00122	0.994232867434212
MAR00124	0.999448889705279
MAR00125	0.99385420846275
MAR00126	0.991970218245265
MAR00127	0.995486817832313
MAR00128	0.999583313471894
MAR00131	0.963173135633277
MAR00132	0.963173135633277
MAR00133	0.963173135633283
MAR00134	0.963173135633275
MAR00138	
MAR00139	0.997162397431312
MAR00141	0.991954728269788
MAR00143	0.999798565304336
MAR00144	0.998137923454549
MAR00145	0.998000829836972
MAR00146	0.988602073464588
MAR00147	0.998734921284215
MAR00148	0.995215021799134
MAR00149	0.992634809104422
MAR00150	0.998157386664714
MAR00151	0.995199871761951
MAR00152	0.994659736513153
MAR00153	0.997865296722874
MAR00154	0.997919957376669
MAR00155	0.991934151171638
MAR00156	0.995341414162922
MAR00158	0.995782356461941
MAR00159	0.997689975260408
MAR00160	0.999334399652493
MAR00161	0.997943707969479
MAR00162	0.976340234575475
MAR00163	0.976340234575457
MAR00164	0.999094302450254
MAR00165	0.999094302450263
MAR00166	0.999094302450262
MAR00167	0.984575373103105
MAR00168	0.981608847834856
MAR00169	0.981112700250958
MAR00170	0.999521410026166
MAR00171	0.999521410026175
MAR00172	0.999521410026175
MAR00173	0.940968061378093
MAR00174	0.987240893756509
MAR00176	0.999541519184543
MAR00177	0.999427714441048
MAR00178	0.999427714441047
MAR00179	0.969452585513785
MAR00180	0.955529881892524
MAR00181	0.987725331035533
MAR00183	0.999539028917784
MAR00184	0.999735469935942
MAR00185	0.99953902891778
MAR00186	0.996830450335591
MAR00187	0.999869476976592
MAR00188	0.99965210660153
MAR00189	0.999700711909545
MAR00190	0.999875962115664
MAR00191	0.999916985731361
MAR00192	0.999791581903167
MAR00193	0.999750544146795
MAR00194	0.999926337574065
MAR00195	0.99952620499235
MAR00196	0.99972156275346
MAR00197	0.999599159530541
MAR00199	0.999925096231042
MAR00200	0.999696679674722
MAR00201	0.99981347795943
MAR00202	0.9999347755473
MAR00203	0.999954035933256
MAR00204	0.999765523525777
MAR00206	0.999801536476762
MAR00207	0.999946701295443
MAR00208	0.999954480261517
MAR00209	0.99976458221332
MAR00210	0.999802640038433
MAR00211	0.999946383832906
MAR00212	0.999694369430652
MAR00213	0.999768935036195
MAR00214	0.999730502631869
MAR00216	0.998988516886616
MAR00217	0.998171968675351
MAR00220	0.914383002874178
MAR00222	0.992504979223999
MAR00223	0.997918526419946
MAR00224	0.999031551407187
MAR00225	0.998718051106328
MAR00226	0.999152839107427
MAR00227	0.99965111415919
MAR00228	0.999655751075005
MAR00230	0.998931387927723
MAR00232	0.999416099462436
MAR00233	0.999700445174209
MAR00234	0.999676938844729
MAR00236	0.999565862278929
MAR00237	0.99974233200381
MAR00238	0.999614580971024
MAR00240	0.999871028938661
MAR00241	0.999683457429698
MAR00242	0.999707839059496
MAR00243	0.999853418412764
MAR00244	0.999570358834697
MAR00245	0.999732257001124
MAR00246	0.999729915509479
MAR00248	0.999380658036596
MAR00249	0.998415231823093
MAR00250	0.99825227969491
MAR00252	0.99957197022908
MAR00253	0.999393924021419
MAR00254	0.999739571503371
MAR00255	0.999594778954013
MAR00256	0.999570667612802
MAR00257	0.999761989359176
MAR00258	0.999724503840228
MAR00259	0.999592611980923
MAR00260	0.999608501772046
MAR00261	0.999726573607744
MAR00262	0.999160711078834
MAR00263	0.998212860554999
MAR00264	0.99815364648224
MAR00265	0.999191921438808
MAR00266	0.997258788227469
MAR00267	0.999121330267614
MAR00268	0.998972050248514
MAR00270	0.9997366312244
MAR00271	0.999663999521717
MAR00272	0.999580383703966
MAR00273	0.999743413746469
MAR00274	0.997426663136272
MAR00275	0.999179313534136
MAR00276	0.999248809149216
MAR00278	0.999934564932067
MAR00279	0.999806229544865
MAR00280	0.99973937790133
MAR00281	0.999942546265134
MAR00282	0.99984074503476
MAR00283	0.999726025874863
MAR00284	0.999652254679287
MAR00285	0.978079012889938
MAR00288	0.999896947981287
MAR00289	0.999754288694029
MAR00290	0.999707952511992
MAR00291	0.999894677999575
MAR00292	0.999941623201773
MAR00293	0.999828534011562
MAR00294	0.999707561125147
MAR00296	0.999919437515739
MAR00297	0.999757530176989
MAR00298	0.999752301017587
MAR00299	0.999922362102674
MAR00300	0.999879264465554
MAR00301	0.999763033608079
MAR00302	0.999685929023543
MAR00303	0.9999033183299
MAR00304	0.999661207926874
