cellNames	experimental	media	glucose	L-lactate	threonine
HS_578T	0.035730055	48.85042077174	48.4667763561602	48.4667763561602	0.044702638576756
RPMI_8226	0.018333143	48.4878024609703	47.9686983140103	47.9686983140103	0.0210701623788985
HT29	0.031111255	32.8348816921349	24.0158058058278	24.0158058058279	0.0378234322169698
MALME_3M	0.020798529	48.2941557238127	48.2941557238128	48.2941557238128	0.0307370401470998
SR	0.019171008	48.3896379631355	47.9299809428182	47.9299809428182	0.0322740229392666
UO_31	0.013033577	48.6928858190277	48.5810820793748	48.5810820793748	0.0171546365329659
MDMAMB_231	0.010926773	48.6892061194141	48.199306012736	48.1993060127363	0.0163627124516075
HOP62	0.011473383	49.354501909599	48.6862218957097	48.6862218957097	0.0172193900384349
NCI_H226	0.018027769	48.9439755865028	48.2560083527486	48.2560083527489	0.023604748473467
HOP92	0.02270517	48.4682094511394	47.916958647031	47.916958647031	0.0280216322746531
O_786	0.025987054	49.1561773510887	48.5568568252744	48.5568568252744	0.0289262929025794
