cellNames	media	glucose	L-lactate	threonine
HS_578T	1366.20810454224	1355.47080185464	1355.47080185464	0.251121459979728
RPMI_8226	2643.81668314976	2615.50161753554	2615.50161753554	0.149293516059877
HT29	1054.40203029852	770.93304499699	770.933044996991	0.215747555570157
MALME_3M	2320.99862422062	2320.99862422063	2320.99862422063	0.477846829797425
SR	2523.10504252752	2499.1283679407	2499.1283679407	0.683480750687006
UO_31	3734.95719878186	3726.37906711065	3726.37906711065	0.316187914719491
MDMAMB_231	4454.9547562134	4410.11991735675	4410.11991735678	0.497488092011014
HOP62	4300.65208549205	4242.40596803137	4242.40596803137	0.500811926040897
NCI_H226	2713.92138525309	2675.75985601705	2675.75985601706	0.30935494422338
HOP92	2133.67723215194	2109.39858530154	2109.39858530154	0.234152057643838
O_786	1890.56405920766	1867.50178651548	1867.50178651548	0.113103967174556
