Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000144182	m02184	decrease	0.0	0
ENSG00000091483	m02661	increase	-0.4085	0
ENSG00000171759	m03135	decrease	0.0	0
ENSG00000159650	m02137	decrease	0.0	0
ENSG00000144182	m02046	decrease	0.0	0
ENSG00000140459	m01660	decrease	-1.0	1
ENSG00000161653	m01365	increase	79.1815	1
ENSG00000178537	subeac_	increase	-0.0	0
ENSG00000091140	m02819	increase	0.0	0
ENSG00000121897	m02403	increase	-0.0	0
ENSG00000101846	m01790	increase	1624.8623	1
ENSG00000091140	m02360	increase	0.0	0
ENSG00000171759	m01004	increase	-0.4987	0
ENSG00000144182	m02360	decrease	0.0	0
ENSG00000140459	m01388	decrease	62.4918	0
ENSG00000134240	sebacid_	increase	-0.0	0
ENSG00000189221	m02897	increase	39.3046	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	m02973	increase	0.0	0
ENSG00000128928	m00094	increase	0.0	0
ENSG00000134240	ethmalac_	increase	0.0	0
ENSG00000147155	CE1297_	increase	No_result	No_result
ENSG00000162551	m02814	increase	20.4324	1
ENSG00000178537	sebacid_	decrease	-0.0	0
ENSG00000213316	m02366	decrease	-1.0	1
ENSG00000173599	m00157	increase	148.7919	1
ENSG00000103507	m02142	decrease	0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	glyc_S_	increase	0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	c10crn_	increase	-0.0	0
ENSG00000171759	m01003	increase	-0.0	0
ENSG00000161653	m02658	increase	136.4772	1
ENSG00000134240	adpac_	increase	-0.0	0
ENSG00000134240	m01388	decrease	-0.0	0
ENSG00000165704	m02037	increase	-0.0	0
ENSG00000123454	m01736	increase	75.0105	1
ENSG00000124299	glypro_	increase	No_result	No_result
ENSG00000108439	m02125	increase	0.0	0
ENSG00000108439	m02137	decrease	0.0	0
ENSG00000091140	m01306	increase	-0.0	0
ENSG00000080819	m01604	increase	No_result	No_result
ENSG00000127948	m00408	increase	-0.0	0
ENSG00000130005	m02579	increase	-0.0	0
ENSG00000153574	m02841	increase	14435.3647	1
ENSG00000172482	m01998	increase	0.0312	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	m02388	increase	0.0	0
ENSG00000084754	m02348	decrease	-0.0	0
ENSG00000128928	m02190	increase	0.0	0
ENSG00000084754	m01388	decrease	0.0511	0
ENSG00000123454	m02617	decrease	-1.0	1
ENSG00000076351	m01830	decrease	-0.0	0
ENSG00000153574	m02338	increase	13484.7986	1
ENSG00000127948	m02769	increase	0.0	0
ENSG00000059573	m01588	decrease	0.0	0
ENSG00000091140	m02403	increase	0.0311	1
ENSG00000140459	m00408	decrease	-1.0	1
ENSG00000161653	m02579	increase	136.4772	1
ENSG00000156110	m01280	increase	0.0	0
ENSG00000101846	m01789	increase	1798.6305	1
ENSG00000161533	m01432	increase	No_result	No_result
ENSG00000109929	m02343	increase	No_result	No_result
