Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000124615	MAM03118	increase	-0.0	0
ENSG00000059573	MAM02770	decrease	1088.7733	0
ENSG00000171759	MAM02720	increase	218.2186	1
ENSG00000059573	MAM01365	decrease	0.0	0
ENSG00000103150	MAM03954	increase	109.5012	1
ENSG00000140459	MAM02769	decrease	-1.0	1
ENSG00000153574	MAM01759	increase	-0.0378	0
ENSG00000165704	MAM01621	increase	199.8028	1
ENSG00000176387	MAM02200	decrease	No_result	No_result
ENSG00000144182	MAM02184	decrease	0.0	0
ENSG00000091483	MAM02661	increase	865.2643	1
ENSG00000171759	MAM03135	decrease	218.2186	0
ENSG00000159650	MAM02137	decrease	307.5137	0
ENSG00000144182	MAM02046	decrease	0.0	0
ENSG00000140459	MAM01660	decrease	-1.0	1
ENSG00000161653	MAM01365	increase	0.0	0
ENSG00000178537	MAM03954	increase	-0.1089	0
ENSG00000091140	MAM02819	increase	0.0416	1
ENSG00000121897	MAM02403	increase	0.0	0
ENSG00000101846	MAM01790	increase	1814.6912	1
ENSG00000091140	MAM02360	increase	0.0	0
ENSG00000171759	MAM01004	increase	218.2186	1
ENSG00000144182	MAM02360	decrease	0.0	0
ENSG00000140459	MAM01388	decrease	0.0	0
ENSG00000134240	MAM03923	increase	3.3025	1
ENSG00000189221	MAM02897	increase	61.7026	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02973	increase	0.0586	1
ENSG00000128928	MAM00094	increase	157.1282	1
ENSG00000134240	MAM03575	increase	3.0328	1
ENSG00000147155	MAM03329	increase	No_result	No_result
ENSG00000162551	MAM02814	increase	0.0336	1
ENSG00000178537	MAM03923	decrease	-0.1092	1
ENSG00000213316	MAM02366	decrease	-1.0	1
ENSG00000173599	MAM00157	increase	3.5359	1
ENSG00000103507	MAM02142	decrease	40.6667	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM03620	increase	0.0676	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM03488	increase	0.0584	1
ENSG00000171759	MAM01003	increase	208.8338	1
ENSG00000161653	MAM02658	increase	10.2296	1
ENSG00000134240	MAM03408	increase	3.2907	1
ENSG00000134240	MAM01388	decrease	3.3379	0
ENSG00000165704	MAM02037	increase	83.2691	1
ENSG00000123454	MAM01736	increase	89.5254	1
ENSG00000124299	MAM03630	increase	No_result	No_result
ENSG00000108439	MAM02125	increase	4.3368	1
ENSG00000108439	MAM02137	decrease	5.1421	0
ENSG00000091140	MAM01306	increase	0.0416	1
ENSG00000080819	MAM01604	increase	0.0	0
ENSG00000127948	MAM00408	increase	175.964	1
ENSG00000130005	MAM02579	increase	11.7832	1
ENSG00000153574	MAM02841	increase	-0.6089	0
ENSG00000172482	MAM01998	increase	461.8944	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02388	increase	0.0676	1
ENSG00000084754	MAM02348	decrease	0.0031	0
ENSG00000128928	MAM02190	increase	157.1282	1
ENSG00000084754	MAM01388	decrease	0.0031	0
ENSG00000123454	MAM02617	decrease	-1.0	1
ENSG00000076351	MAM01830	decrease	2696.3339	0
ENSG00000153574	MAM02338	increase	0.0004	1
ENSG00000127948	MAM02769	increase	175.964	1
ENSG00000059573	MAM01588	decrease	1088.6772	0
ENSG00000091140	MAM02403	increase	0.0416	1
ENSG00000140459	MAM00408	decrease	-1.0	1
ENSG00000161653	MAM02579	increase	549.8342	1
ENSG00000156110	MAM01280	increase	335.0446	1
ENSG00000101846	MAM01789	increase	1814.6912	1
ENSG00000161533	MAM01432	increase	47.6253	1
ENSG00000109929	MAM02343	increase	0.0	0
ENSG00000124253	MAM01365	decrease	0.0	0
ENSG00000159423	MAM02770	increase	2233.0185	1
ENSG00000110921	MAM00167	increase	0.0	0
ENSG00000100033	MAM02770	increase	0.2346	1
ENSG00000101846	MAM01787	decrease	1814.6912	0
ENSG00000140459	MAM02200	increase	No_result	No_result
ENSG00000239900	MAM02872	increase	15.3183	1
ENSG00000103150	MAM03408	increase	109.4962	1
ENSG00000173599	MAM02579	increase	3.6014	1
ENSG00000126522	MAM01588	decrease	282.8782	0
ENSG00000100024	MAM01705	increase	20.6837	1
ENSG00000183044	MAM01383	increase	3.1111	1
ENSG00000213930	MAM01910	decrease	0.1407	0
ENSG00000117305	MAM03408	increase	41.9495	1
ENSG00000091140	MAM03135	increase	0.0416	1
ENSG00000070915	MAM02200	decrease	No_result	No_result
ENSG00000103507	MAM02360	decrease	0.0	0
ENSG00000101276	MAM02842	decrease	0.0	0
ENSG00000100024	MAM00922	increase	20.6837	1
ENSG00000125454	MAM01580	increase	2057.9668	1
ENSG00000134240	MAM02819	decrease	3.3136	0
ENSG00000248098	MAM02360	increase	0.0	0
ENSG00000084754	MAM02579	increase	0.0031	1
ENSG00000151611	MAM02479	increase	0.0539	1
ENSG00000144182	MAM01862	increase	0.0	0
ENSG00000125454	MAM02403	increase	4.5915	1
ENSG00000147647	MAM00923	increase	-1.0	0
ENSG00000116984	MAM02471	increase	37.8088	1
ENSG00000091140	MAM02770	increase	0.0416	1
ENSG00000103507	MAM01013	decrease	40.6667	0
ENSG00000127948	MAM00409	increase	175.964	1
ENSG00000183032	MAM00670	increase	116.2778	1
ENSG00000183032	MAM03410	increase	130.2947	1
ENSG00000078070	MAM03243	increase	17.3061	1
ENSG00000078070	MAM00825	increase	17.3061	1
ENSG00000078070	MAM03227	increase	17.3061	1
ENSG00000148090	MAM03243	increase	-1.0	0
ENSG00000132437	MAM02354	increase	168.7098	1
ENSG00000132437	MAM01107	increase	291.3955	1
ENSG00000132437	MAM01290	decrease	-1.0	1
ENSG00000132437	MAM01736	increase	-1.0	0
ENSG00000132437	MAM00830	increase	236.7301	1
ENSG00000132437	MAM02617	decrease	-1.0	1
ENSG00000132437	MAM00821	increase	-1.0	0
ENSG00000171766	MAM01619	decrease	-1.0	1
ENSG00000171766	MAM02036	decrease	-1.0	1
ENSG00000243989	MAM02536	increase	0.1683	1
ENSG00000243989	MAM03397	increase	0.1683	1
ENSG00000118520	MAM01366	increase	4.941	1
ENSG00000118520	MAM02659	increase	0.0232	1
ENSG00000118520	MAM03118	increase	0.0225	1
ENSG00000118520	MAM01619	increase	0.2228	1
ENSG00000118520	MAM01365	increase	37.9692	1
ENSG00000118520	MAM02036	increase	31.865	1
ENSG00000126522	MAM01366	increase	19.1795	1
ENSG00000126522	MAM01986	increase	282.8782	1
ENSG00000126522	MAM02659	increase	282.8782	1
ENSG00000126522	MAM02426	increase	282.8782	1
ENSG00000126522	MAM03118	increase	282.8782	1
ENSG00000126522	MAM01975	increase	122.6188	1
ENSG00000070669	MAM01369	decrease	89.7661	0
ENSG00000070669	MAM01975	increase	38.5254	1
ENSG00000169814	MAM03243	increase	27.5007	1
ENSG00000169814	MAM01253	increase	27.5007	1
ENSG00000169814	MAM01256	increase	27.5007	1
ENSG00000169814	MAM00157	increase	27.5007	1
ENSG00000169814	MAM02403	increase	14.3099	1
ENSG00000169814	MAM02579	increase	27.4992	1
ENSG00000169814	MAM02142	increase	27.5007	1
ENSG00000169814	MAM00825	increase	26.692	1
ENSG00000169814	MAM00665	increase	25.8491	1
ENSG00000130707	MAM01588	increase	396.6489	1
ENSG00000130707	MAM01986	increase	396.6489	1
ENSG00000130707	MAM02579	increase	332.48	1
ENSG00000130707	MAM02659	increase	396.6489	1
ENSG00000179142	MAM01309	decrease	-1.0	1
ENSG00000021826	MAM02426	increase	34.6627	1
ENSG00000021826	MAM03118	increase	54.1498	1
ENSG00000021826	MAM01127	increase	54.5912	1
ENSG00000021826	MAM01588	decrease	9.1619	0
ENSG00000021826	MAM01975	increase	23.4066	1
ENSG00000231852	MAM01309	increase	-1.0	0
ENSG00000231852	MAM01615	decrease	-1.0	1
ENSG00000231852	MAM02769	increase	-0.0	0
ENSG00000231852	MAM00971	increase	0.0	0
ENSG00000231852	MAM01338	increase	-0.0	0
ENSG00000231852	MAM01660	increase	-0.0	0
ENSG00000116133	MAM01675	increase	3.8125	1
ENSG00000114956	MAM02403	increase	4.0029	1
ENSG00000147647	MAM02997	increase	16.617	1
ENSG00000147647	MAM03118	increase	16.3244	1
ENSG00000147647	MAM01052	increase	16.3952	1
ENSG00000147647	MAM01705	increase	16.617	1
ENSG00000138030	MAM01840	increase	308.253	1
ENSG00000213398	MAM01450	decrease	6.4829	0
ENSG00000213398	MAM02959	increase	No_result	No_result
ENSG00000160282	MAM02574	increase	0.171	1
ENSG00000105607	MAM03497	increase	15.7036	1
ENSG00000065154	MAM01365	increase	0.0	0
ENSG00000065154	MAM01975	decrease	0.0	0
ENSG00000065154	MAM01974	decrease	0.0	0
ENSG00000065154	MAM02426	decrease	0.3831	0
ENSG00000065154	MAM02658	increase	0.0	0
ENSG00000130005	MAM01619	decrease	-1.0	1
ENSG00000130005	MAM01621	increase	-1.0	0
ENSG00000130005	MAM03120	increase	11.7838	1
ENSG00000130005	MAM02036	increase	11.7838	1
ENSG00000160200	MAM02471	increase	371.4395	1
ENSG00000160200	MAM02658	increase	8.8101	1
ENSG00000160200	MAM03394	increase	480.2308	1
ENSG00000160200	MAM02133	increase	480.2308	1
ENSG00000160200	MAM02349	decrease	-1.0	1
ENSG00000084110	MAM02124	increase	2227.5178	1
ENSG00000084110	MAM02166	increase	2227.5183	1
ENSG00000084110	MAM02125	increase	1935.3698	1
ENSG00000008311	MAM02413	increase	344.6393	1
ENSG00000008311	MAM01588	increase	369.5421	1
ENSG00000008311	MAM02426	increase	369.5421	1
ENSG00000117305	MAM03499	increase	42.4886	1
ENSG00000159423	MAM01986	increase	2233.0185	1
ENSG00000159423	MAM02658	increase	44.5417	1
ENSG00000135697	MAM01385	increase	No_result	No_result
ENSG00000100033	MAM01986	increase	0.2346	1
ENSG00000105552	MAM03135	increase	631.7693	1
ENSG00000105552	MAM02360	increase	0.0	0
ENSG00000128928	MAM03201	increase	157.1282	1
ENSG00000128928	MAM03243	increase	-1.0	0
ENSG00000128928	MAM03706	increase	157.1282	1
ENSG00000165704	MAM01830	decrease	130.4314	0
ENSG00000165704	MAM03120	increase	199.8028	1
ENSG00000146085	MAM02325	increase	26.8579	1
ENSG00000146085	MAM03495	increase	26.8212	1
ENSG00000146085	MAM02348	decrease	26.8298	0
ENSG00000146085	MAM02479	increase	26.8439	1
ENSG00000146085	MAM02142	increase	24.4528	1
ENSG00000146085	MAM02657	increase	26.8304	1
ENSG00000146085	MAM03217	increase	26.8097	1
ENSG00000248098	MAM03135	increase	155.4593	1
ENSG00000248098	MAM00669	increase	149.857	1
ENSG00000161653	MAM01307	increase	298.258	1
ENSG00000161653	MAM01588	decrease	549.8621	0
ENSG00000161653	MAM01975	increase	238.8807	1
ENSG00000036473	MAM01127	increase	0.0922	1
ENSG00000036473	MAM01588	decrease	0.0922	0
ENSG00000036473	MAM01975	increase	0.0	0
ENSG00000036473	MAM01986	increase	0.0922	1
ENSG00000036473	MAM02426	increase	0.0922	1
ENSG00000036473	MAM02659	increase	0.0922	1
ENSG00000036473	MAM03118	increase	0.0922	1
ENSG00000036473	MAM02579	increase	0.0921	1
ENSG00000036473	MAM02658	increase	0.0	0
