Row	Fetus	AdultMale	AdultFemale	ElderlyMale	ElderlyFemale
Fetus	1	0.776940927650325	0.717088717370566	0.774000622135097	0.71682121360013
AdultMale	0.776940927650325	1	0.744520326581648	0.97123870248467	0.743652105720523
AdultFemale	0.717088717370566	0.744520326581648	1	0.740339965516877	0.96927973391444
ElderlyMale	0.774000622135097	0.97123870248467	0.740339965516877	1	0.744733114399249
ElderlyFemale	0.71682121360013	0.743652105720523	0.96927973391444	0.744733114399249	1
