cellNames	media	glucose	L-lactate	threonine
HS_578T	0.964189278808795	0.964189278808793	0.964189278808792	0.964189278808792
RPMI_8226	0.924690870242867	0.924690870242868	0.924690870242868	0.924690870242868
HT29	0.933047534551465	0.933047534551464	0.933047534551464	0.933047534551464
MALME_3M	0.912200605058925	0.91220060505892	0.912200605058921	0.912200605058926
SR	0.904285337924234	0.904285337924079	0.904285337924239	0.904285337924187
UO_31	0.914211434855265	0.914211434855265	0.914211434855265	0.914211434855265
MDMAMB_231	0.879571240870251	0.879571240870252	0.879571240870252	0.879571240870252
HOP62	0.905126928304319	0.905126947467261	0.905126927473461	0.90512692719145
NCI_H226	0.911197116960223	0.911197116960228	0.911197116960225	0.911197116960229
HOP92	0.959959633500066	0.959959480375498	0.959959472353802	0.959959631949854
O_786	0.974900497365891	0.97490049811779	0.97490049811779	0.974900495472699
