exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-31.8413862327858	-0.437346135	-36.1298927924513	-0.826120427	-525.329463901071	-0.848562996	-70.0031317418171	-0.898948663	-41.2393539661309	-0.549041759	-35.1419537272351	-0.479477546	-38.2911108506074	-0.26705905	-38.3127543851511	-0.398649261	-47.569586304074	-0.594208072	-36.5924073636012	-0.864113881	-74.981934765403
MAR09039	isoleucine	-0.013615722	-11.7998624560072	-0.005558778	-11.7307337482779	-0.008957816	-7.83933322188201	-0.01142058	-11.8911472923879	-0.004599992	-11.674687262397	-0.00973818	-11.7550522402305	-0.005568708	-11.7588343712503	-0.003331967	-11.7654808939615	-0.007996597	-11.6970515112629	-0.007304317	-11.7654944973513	-0.00889841	-11.799922698404
MAR09040	leucine	-0.01834798	-24.0641540491875	-0.007998895	-23.9231758065834	-0.016259326	-15.987213664363	-0.012571768	-24.2503165890654	-0.00879963	-23.8057098540955	-0.009163894	-23.9727699386143	-0.006592535	-23.9804830610202	-0.004904579	-23.994037706001	-0.009283825	-23.7576928510546	-0.00911516	-23.9940654481945	-0.010361673	-23.9666328617032
MAR09041	lysine	-0.022543147	-18.872483930634	-0.009620991	-18.7619207413908	-0.017307958	-12.5380859995986	-0.009254128	-19.0184832263146	-0.015465749	-18.6658640006745	-0.005490858	-18.8008152920945	-0.006015855	-18.8068643631885	-0.006186391	-18.8174946899003	-0.009191799	-18.6321395567862	-0.013165857	-18.8175164469128	-0.012443708	-18.7960022458869
MAR09042	methionine	-0.006100296	-5.90508771398527	-0.002496251	-5.85839465029073	-0.004789793	-3.91500726164396	-0.003363566	-5.93850607970461	-0.004351409	-5.82840101031679	-0.001823891	-5.87053944244228	-0.001426579	-127.481682407209	-0.001965335	-5.87574757098213	-0.00289763	-5.81787057985702	-0.002318728	-5.87575436459175	-0.003263032	-5.8690365726379
MAR09043	phenylalanine	-0.006567123	-9.98084282372901	-0.002744675	-9.92237072127648	-0.005369239	-6.63085294613825	-0.003162452	-10.0580555545979	-0.004906518	-11.9511598589982	-0.002358298	-9.9429403717104	-0.00220937	-12.0480069657173	-0.002257474	-9.95176138586552	-0.003408873	-16.8307153216137	-0.003510565	-9.95177289221107	-0.00339599	-9.9403949591469
MAR09044	threonine	-0.013603744	-14.9573519946732	-0.006411995	-14.8697253449305	-0.011510289	-9.93703671041782	-0.009353784	-15.0730634645833	-0.009821513	-14.7900850908118	-0.005220614	-14.9005511486609	-0.004979441	-14.9053453286918	-0.005240142	-14.9137703743313	-0.007183311	-14.7194051474545	-0.008527731	-14.913787617811	-0.008802744	-14.8488568028628
MAR09045	tryptophan	-0.001211726	-2.58637578582398	-0.000695832	-2.57122367566651	-0.00138647	-1.71827948822904	-0.000865457	-2.60638423010103	-0.00133912	-2.55805959884615	-0.000421306	-2.57655397158889	-0.00035138	-2.57738296532716	-0.000467773	-2.57883979632535	-0.000944004	-2.55343783917829	-0.000954767	-2.57884277801077	-0.000725178	-2.57589436863396
MAR09046	valine	-0.01330341	-17.6504212493503	-0.006165194	-17.5470174328741	-0.011472903	-11.7261988600386	-0.008788208	-17.7869665541625	-0.010175864	-17.4601898589149	-0.005794702	-17.583393418502	-0.004841612	-17.5890507900154	-0.005347229	-17.5989927640116	-0.007691297	-17.4256400568525	-0.009105286	-17.5990131121776	-0.010005055	-17.5788920347218
MAR09061	alanine	0.056209087	-348.518127122565	0.014127935	-21.7747275234936	0.055245815	0	0.022787714	-22.0724890522288	0.086767953	0	0.025716586	-21.7485992520569	0.018852115	-501.622575694937	0.009601013	0	0.012695001	-210.360448669174	0.032353203	-159.689272929066	0.0076389	-252.399990601495
MAR09062	asparagine	-0.00571363	-9.8346288877321	-0.002018538	-11.8940221105719	-0.002396685	-6.53371454556484	-0.004913882	-241.878339877839	-0.001222105	-9.72745882210318	0.000345758	-9.79728168608577	-0.001988739	-9.80043391392942	-0.001628876	-9.80597347716605	-0.001922615	-9.70938317388042	-0.002382279	-9.80598481494988	-0.002440472	-9.79477356243626
MAR09063	glutamine	-0.226698917	-35.5997416980825	-0.146252447	-16.881704130735	-0.228850691	-9.89218588738424	-0.122203241	-21.3881195485048	-0.219496506	-18.9049544723359	-0.124230534	-72.1102990025183	-0.078432974	-19.0442237217144	-0.091938612	-19.0549882126059	-0.094750789	-28.7909512008662	-0.123594044	-19.0550102442112	-0.109775824	-36.0824970337023
MAR09064	tyrosine	-0.007986935	-7.47805845246004	-0.003674763	-7.43424874543422	-0.008123502	-4.96810808431934	-0.004482545	-7.53590941003039	-0.006833216	-7.39618709311171	-0.002693864	-7.44966037459302	-0.003180849	-7.45205726667094	-0.00311885	-7.45626944164547	-0.004976546	-7.38282407404121	-0.004926558	-7.45627806267338	-0.003969672	-7.4477532466809
MAR09066	arginine	-0.027206388	-13.4242682235352	-0.006832754	-13.3456230428846	-0.011382525	-8.91852021636395	-0.00129978	-13.5281196144208	-0.005431378	-13.2772965069186	-0.006102876	-13.3732892940786	-0.007139201	-13.3775920850185	-0.001574063	-13.3851535887192	-0.00338457	-13.2533078267793	-0.012814136	-15.4922718336564	-0.009856139	-13.3698657053502
MAR09067	glycine	-0.000802262	-19.5523096532548	-0.000306523	-24.258944699793	0.003908824	-16.3046320386533	0.016061208	-24.7317948647254	0.008171299	-24.2707382540347	0.004334714	-24.4608612419212	0.006385996	-24.4687314053356	0.002939872	-19.742525418797	0.000604886	-19.3033075802812	-0.00039991	-19.7425482453411	0.0025653	-19.4730729407753
MAR09068	proline	0.000605661	0	-0.000675569	-13.4255052946029	0.005380916	-8.97190337236866	-0.001069608	-11.4958400064033	0.00710491	-13.3592773963184	0.001186608	2.77761266572788	0.001436971	0	0.001361038	0	0.002203858	-13.3326375117642	0.002435376	0	0.000231007	0
MAR09069	serine	-0.0325857	-26.1455988888486	-0.016314407	-16.1987520796864	-0.033339735	-10.7321563882225	-0.024670565	-16.2791462953859	-0.031649758	-599.48135882214	-0.011636228	-16.1459134458626	-0.016568732	-16.1511083151698	-0.017833616	-584.713463115549	-0.021499214	-25.80662272154	-0.022222852	-20.8289664292166	-0.030117158	-26.1108928426646
