exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-0.0173026429488726	-0.437346135	-0.0142388956992476	-0.826120427	-0.0654059899641274	-0.848562996	-0.059718898445392	-0.898948663	-0.0590385792041716	-0.549041759	-0.0355796991573582	-0.479477546	-0.0351119952171751	-0.26705905	-0.0343190558327772	-0.398649261	-0.0505205273635084	-0.594208072	-0.0292240827197182	-0.864113881	-0.0233742636211219
MAR09039	isoleucine	-0.013615722	-0.000308171136627221	-0.005558778	-0.000332529181376184	-0.008957816	-0.000501682916668989	-0.01142058	-0.000439814305491453	-0.004599992	-0.000441945409181721	-0.00973818	-0.000269393747590426	-0.005568708	-0.000316932911622245	-0.003331967	-0.00027221361374356	-0.007996597	-0.000385579786322406	-0.007304317	-0.000219036961028832	-0.00889841	-0.00015709682605114
MAR09040	leucine	-0.01834798	-0.000628471537948759	-0.007998895	-0.000678146332325506	-0.016259326	-0.00102311150113637	-0.012571768	-0.000896939200761164	-0.00879963	-0.000901285285953987	-0.009163894	-0.000549317446155589	-0.006592535	-0.000646339941416228	-0.004904579	-0.000534654497896463	-0.009283825	-0.000786335553563299	-0.00911516	-0.000446635547863456	-0.010361673	-0.000320376804121854
MAR09041	lysine	-0.022543147	-0.000492883272628452	-0.009620991	-0.000531841083350427	-0.017307958	-0.000802382469999808	-0.009254128	-0.000703430946233168	-0.015465749	-0.000706839394450175	-0.005490858	-0.000430715353836594	-0.006015855	-0.00050689669510807	-0.006186391	-0.000419306591844762	-0.009191799	-0.000616689249427845	-0.013165857	-0.000350297404562245	-0.012443708	-0.00025125778679686
MAR09042	methionine	-0.006100296	-0.000154220237692334	-0.002496251	-0.000166409904421082	-0.004789793	-0.000251060691476973	-0.003363566	-0.000220099349587788	-0.004351409	-0.000221165832715498	-0.001823891	-0.000134768266515082	-0.001426579	-0.000158604954045488	-0.001965335	-0.000131198532900929	-0.00289763	-0.000192958389766176	-0.002318728	-0.000109905858069471	-0.003263032	-7.8617063620805e-05
MAR09043	phenylalanine	-0.006567123	-0.00026066470596192	-0.002744675	-0.000341335469725981	-0.005369239	-0.000424345483457224	-0.003162452	-0.000372014290090557	-0.004906518	-0.000373816871353935	-0.002358298	-0.000227786774873437	-0.00220937	-0.000268075800744443	-0.002257474	-0.000221753172689838	-0.003408873	-0.000326140347621744	-0.003510565	-0.000185207427333067	-0.00339599	-0.00013287940726164
MAR09044	threonine	-0.013603744	-0.000389378179468341	-0.006411995	-0.000420154881087975	-0.011510289	-0.000635926732392733	-0.009353784	-0.000557049283691871	-0.009821513	-0.000560204245787256	-0.005220614	-0.000341212206957195	-0.004979441	-0.000401740031759203	-0.005240142	-0.000332320658529139	-0.007183311	-0.000487185000130699	-0.008527731	-0.000277430658826847	-0.008802744	-0.000199133891030789
MAR09045	tryptophan	-0.001211726	-6.754708952194e-05	-0.000695832	-7.2886054900868e-05	-0.00138647	-0.000109962345126629	-0.000865457	-9.64015533420884e-05	-0.00133912	-9.68686634463069e-05	-0.000421306	-5.90272995245387e-05	-0.00035138	-6.94675562030097e-05	-0.000467773	-5.7463788019092e-05	-0.000944004	-8.4514054851526e-05	-0.000954767	-4.79935426164772e-05	-0.000725178	-3.44335731406445e-05
MAR09046	valine	-0.01330341	-0.000810589449101049	-0.006165194	-0.000498757198079123	-0.011472903	-0.000750425256720038	-0.008788208	-0.000657881207713786	-0.010175864	-0.00155039852250083	-0.005794702	-0.000501473243549645	-0.004841612	-0.00171300856905871	-0.005347229	-0.000392154949284454	-0.007691297	-0.00196855784278208	-0.009105286	-0.000367164010588775	-0.010005055	-0.00102728565895879
MAR09061	alanine	0.056209087	-0.000193037262644207	0.014127935	-0.00080929346055171	0.055245815	0.0993907617123984	0.022787714	0.103761197785795	0.086767953	0.0986117795221386	0.025716586	0.021841855611598	0.018852115	0.0652326864508947	0.009601013	-0.000486639236572515	0.012695001	0.0922155606307295	0.032353203	0.0459892306709278	0.0076389	0.033667141850121
MAR09062	asparagine	-0.00571363	-0.000256846109345654	-0.002018538	-0.000890718371307604	-0.002396685	-0.000418129052194396	-0.004913882	-0.00127839368753303	-0.001222105	-0.000368340656863034	0.000345758	-0.000224461394786851	-0.001988739	-0.00026414863560773	-0.001628876	-0.000725938761641331	-0.001922615	-0.000321362568354466	-0.002382279	-0.000182503648366605	-0.002440472	-0.000244937008930149
MAR09063	glutamine	-0.226698917	-0.000937450562896519	-0.146252447	-0.00122102801484858	-0.228850691	-0.00184215079497276	-0.122203241	-0.00161497281566007	-0.219496506	-0.00189310706110798	-0.124230534	-0.000544704358713718	-0.078432974	-0.00168675770538443	-0.091938612	-0.000436306853664276	-0.094750789	-0.00212728484650225	-0.123594044	-0.000442884767961304	-0.109775824	-0.000767432690134924
MAR09064	tyrosine	-0.007986935	-0.000195300731822191	-0.003674763	-0.000210737427215844	-0.008123502	-0.000317937110660254	-0.004482545	-0.000278728425602862	-0.006833216	-0.000280078993715286	-0.002693864	-0.000170667231944696	-0.003180849	-0.000200853429220519	-0.00311885	-0.000166146608726327	-0.004976546	-0.00024435777882632	-0.004926558	-0.000138765031359242	-0.003969672	-9.95587238653192e-05
MAR09066	arginine	-0.027206388	-0.000350594933818862	-0.006832754	-0.000378306182770284	-0.011382525	-0.000570746147392706	-0.00129978	-0.000500360510766746	-0.005431378	-0.000502784988819518	-0.006102876	-0.000306374002444472	-0.007139201	-0.00296662929118762	-0.001574063	-0.000298258786575711	-0.00338457	-0.000438659898999945	-0.012814136	-0.000249104632286062	-0.009856139	-0.000178723263753207
MAR09067	glycine	-0.000802262	-0.000386641928006159	-0.000306523	-0.000558156813617513	0.003908824	0.0151065608131797	0.016061208	-0.00086183687125751	0.008171299	-0.000554479653576897	0.004334714	-0.000452108347270003	0.006385996	0.00603287761268068	0.002939872	-0.000499986181067154	0.000604886	0.018148561931452	-0.00039991	-0.00036740920121679	0.0025653	0.00610527382250039
MAR09068	proline	0.000605661	-0.000352693472992678	-0.000675569	-0.000380570591829459	0.005380916	-0.000574162435059964	-0.001069608	-0.000503355494526029	0.00710491	-0.000505794484660064	0.001186608	-0.000308265713847942	0.001436971	-0.000362721085852196	0.001361038	-0.000272847578903942	0.002203858	-0.000797279708228386	0.002435376	-0.000250642733005421	0.000231007	-0.000179793038966937
MAR09069	serine	-0.0325857	-0.00102249617564588	-0.016314407	-0.00058869086693965	-0.033339735	-0.117158788108691	-0.024670565	-0.105335810288131	-0.031649758	-0.099882711004966	-0.011636228	-0.0227686627289596	-0.016568732	-0.0717876074655749	-0.017833616	-0.000464127290640239	-0.021499214	-0.111769252628193	-0.022222852	-0.0469098228937725	-0.030117158	-0.0403267919532463
