exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-0.0385836813615208	-0.437346135	-0.0148730631551024	-0.826120427	-0.0369614858771296	-0.848562996	-0.0257123339070792	-0.898948663	-0.0338772695423527	-0.549041759	-0.0151884274407164	-0.479477546	-0.0103704841641833	-0.26705905	-0.0126751377433845	-0.398649261	-0.057327655713024	-0.594208072	-0.018197615203084	-0.864113881	-0.0396179934329441
MAR09039	isoleucine	-0.013615722	-0.0107665947391008	-0.005558778	-0.00507473175282781	-0.008957816	-0.00910983547302343	-0.01142058	-0.00742550811247647	-0.004599992	-0.00917966892172534	-0.00973818	-0.00413182100657555	-0.005568708	-0.00394090442417533	-0.003331967	-0.00415989047127321	-0.007996597	-0.00570833998990295	-0.007304317	-0.00676974534807436	-0.00889841	-0.00699524990579946
MAR09040	leucine	-0.01834798	-0.0219569503757219	-0.007998895	-0.0103491991634345	-0.016259326	-0.0185781510011852	-0.012571768	-0.0150973563685202	-0.00879963	-0.0158550895443723	-0.009163894	-0.00842626577865616	-0.006592535	-0.0080369254231927	-0.004904579	-0.00845778469932887	-0.009283825	-0.0115941319654631	-0.00911516	-0.0137640760061719	-0.010361673	-0.0142079572489885
MAR09041	lysine	-0.022543147	-0.0172198944656245	-0.009620991	-0.00811643303594302	-0.017307958	-0.0145699567596125	-0.009254128	-0.0118402090876563	-0.015465749	-0.01243184710591	-0.005490858	-0.00660835885516234	-0.006015855	-0.00630302485646438	-0.006186391	-0.0066330777928275	-0.009191799	-0.00909278043851452	-0.013165857	-0.0107945744826743	-0.012443708	-0.011142691503744
MAR09042	methionine	-0.006100296	-0.00538800232226062	-0.002496251	-0.00253434968266936	-0.004789793	-0.00454945727103384	-0.003363566	-0.00370473083837392	-0.004351409	-0.00388183425259989	-0.001823891	-0.00208028323804759	-0.001426579	-0.00196811919859372	-0.001965335	-0.00207545049842405	-0.00289763	-0.00283921337327389	-0.002318728	-0.156462602728199	-0.003263032	-0.00347929645344696
MAR09043	phenylalanine	-0.006567123	-0.00910685952809952	-0.002744675	-0.00520825231831477	-0.005369239	-0.00770542176115848	-0.003162452	-0.0062617759452513	-0.004906518	-0.00657466777710748	-0.002358298	-0.00423485096893446	-0.00220937	-0.00333339285162825	-0.002257474	-0.00350794877511149	-0.003408873	-0.00824561427746351	-0.003510565	-0.00570878489851174	-0.00339599	-0.00589288897746244
MAR09044	threonine	-0.013603744	-0.013603744	-0.006411995	-0.006411995	-0.011510289	-0.011510289	-0.009353784	-0.009353784	-0.009821513	-0.009821513	-0.005220614	-0.005220614	-0.004979441	-0.00497939204200703	-0.005240142	-0.005240142	-0.007183311	-0.007183311	-0.008527731	-0.008527731	-0.008802744	-0.008802744
MAR09045	tryptophan	-0.001211726	-0.00235989699310552	-0.000695832	-0.00111231494214443	-0.00138647	-0.00199673681016605	-0.000865457	-0.00162263908640555	-0.00133912	-0.00170372000029099	-0.000421306	-0.000905641217650421	-0.00035138	-0.0008637985290114	-0.000467773	-0.000909028819519016	-0.000944004	-0.0012461182766628	-0.000954767	-0.00147934030109011	-0.000725178	-0.00152704792862007
MAR09046	valine	-0.01330341	-0.022596859706421	-0.006165194	-0.00761153306122859	-0.011472903	-0.0136265675839845	-0.008788208	-0.0110735120424871	-0.010175864	-0.0116288434737522	-0.005794702	-0.00618044333693447	-0.004841612	-0.00660610304576536	-0.005347229	-0.00620356163255628	-0.007691297	-0.00851180738647389	-0.009105286	-0.0100955861203528	-0.010005055	-0.0104307416733647
MAR09061	alanine	0.056209087	-0.0199850812259903	0.014127935	-0.00941977744477138	0.055245815	0	0.022787714	-0.0137415209379995	0.086767953	-0.0144291668169594	0.025716586	-0.120316043570068	0.018852115	-0.00731519090833702	0.009601013	0	0.012695001	-0.028251858686368	0.032353203	-0.012527977350088	0.0076389	-0.120871635977603
MAR09062	asparagine	-0.00571363	-0.00897344897353105	-0.002018538	-0.00422954959686364	-0.002396685	-0.00759255302033915	-0.004913882	-0.00617004432263629	-0.001222105	-0.00647868648357515	0.000345758	-0.00344367795656121	-0.001988739	-0.00328455660089869	-0.001628876	-0.00345655922748078	-0.001922615	-0.00473833341170668	-0.002382279	-0.00562515429491314	-0.002440472	-0.00580656134892399
MAR09063	glutamine	-0.226698917	-0.0265975892068532	-0.146252447	-0.00821189120331571	-0.228850691	-0.0147780617328863	-0.122203241	-0.0120121596418681	-0.219496506	-0.0125990287876562	-0.124230534	-0.00669176222259665	-0.078432974	-0.00639863385930144	-0.091938612	-0.00672940729127288	-0.094750789	-0.0140504349083009	-0.123594044	-0.0109513397095883	-0.109775824	-0.0172180184856875
MAR09064	tyrosine	-0.007986935	-0.00682323417693366	-0.003674763	-0.00321606635837367	-0.008123502	-0.00577321929104102	-0.004482545	-0.00599487837747436	-0.006833216	-0.00492601184198852	-0.002693864	-0.0026185050137211	-0.003180849	-0.00249751766002802	-0.00311885	-0.00262829967887605	-0.004976546	-0.00360293556823353	-0.004926558	-0.00427725673247722	-0.003969672	-0.00858768975002089
MAR09066	arginine	-0.027206388	-0.0122487576588837	-0.006832754	-0.00577333511017068	-0.011382525	-0.0103638190004689	-0.00129978	-0.00842211036976612	-0.005431378	-0.00884295096909953	-0.006102876	-0.00470062033779637	-0.007139201	-0.00448344712670483	-0.001574063	-0.00544833200815736	-0.00338457	-0.00646782500665944	-0.012814136	-0.0088665363961962	-0.009856139	-0.0079259561183445
MAR09067	glycine	-0.000802262	-0.0178401905136472	-0.000306523	-0.0105546774939698	0.003908824	-0.0189791935415214	0.016061208	-0.0154047421385113	0.008171299	-0.0161890852243259	0.004334714	-0.00859782655600671	0.006385996	-0.00819651470228384	0.002939872	-0.00696128539374658	0.000604886	-0.00942032110856989	-0.00039991	-0.0140443158705627	0.0025653	-0.0115440741903746
MAR09068	proline	0.000605661	-0.0123220744564134	-0.000675569	-0.00580789228348831	0.005380916	-0.0104259107630929	-0.001069608	-0.00847252218931138	0.00710491	-0.00889755191779329	0.001186608	-0.00472875661407582	0.001436971	-0.00451028053289807	0.001361038	-0.0047464447939309	0.002203858	-0.00650653915463077	0.002435376	-0.00772429533562707	0.000231007	-0.00797339813133402
MAR09069	serine	-0.0325857	-0.0238672353824451	-0.016314407	-0.00694737846423008	-0.033339735	-0.0124714001379307	-0.024670565	-0.010134798533209	-0.031649758	-0.0106412196677681	-0.011636228	-0.00569413807463719	-0.016568732	-0.00539515865167363	-0.017833616	-0.114004638217251	-0.021499214	-0.0125940423294581	-0.022222852	-0.00923977244182929	-0.030117158	-0.0154368838606449
MAR09070	aspartate	-0.001934168	0	-0.000782986	-0.00836762097674306	-0.004150227	0	0.001500354	-0.0122066407117701	-0.012462967	0	0.000128843	-0.00593888583104577	-0.00113204	-0.00649811111075741	-0.006761827	-0.00669122930307059	0.002611711	-0.011784054591443	-0.000494245	-0.0108915296761804	-0.000684778	-0.0100518303773752
MAR09071	glutamate	0.02678411	-0.0284856122384421	0.056588804	-0.00938342951093644	0.042193442	-0.050382120117802	0.016112564	-0.0136558000762162	0.011390914	-0.0271671082362789	0.038522979	-0.00850824816714275	0.00917449	-0.00726008177454602	0.016202008	-0.00852745959151852	0.01664521	-0.0032437858813844	0.015988165	-0.0138751436440028	0.018807129	-0.00836394370718439
MAR09083	choline	-0.002044274	-0.00557893578512327	-0.000545279	-0.00262957817785541	-0.000966912	-0.00472040367704734	-0.001938647	-0.00383601457687981	-0.000844902	-0.00402769464312318	-0.000249379	-0.00214098929419103	-0.000990661	-0.00204198971027069	-0.000451292	-0.00214899778496231	-0.001591875	-0.0029488288681875	-0.00136736	-0.00349724779015284	-0.000571763	-0.00361362408316503
MAR09087	ornithine	0.007885861	0	0.000643202	0	0.003060358	0	-0.002311655	0	-0.001427155	0	0.001458248	0	0.001948405	0	0.001635996	0	-0.001200326	0	0.009506915	0	0.01603422	0
MAR09133	pyruvate	2.51e-07	0.359841711817965	6.64e-08	0.00680609917154149	1.15e-07	0	2.87e-07	0.124218157222156	1.52e-07	0.350795691484484	5.61e-08	0.0347417548496524	5.85e-08	0.0698922771869989	3.08e-08	0	4.95e-08	0.351480976976558	1.05e-07	0	5.76e-08	0.394388823787232
MAR09135	L-lactate	1.392205968	0	0.679121284	0.122211454811233	1.166895089	0	0.932104298	0.264475318934469	1.118142634	0	0.767588362	0.243554856374558	0.743240244	0.118640791332153	0.317551752	0.167941346493235	0.552731028	0	0.687740829	0.424229727645344	0.992967126	0
