cellNames	experimental	media1	glucose	L_lactate	threonine
HS_578T	0.035730055	48.9927409184137	48.4926519932349	48.4926519932349	0.044702638576756
RPMI_8226	0.018333143	48.7057202111442	48.2449759376382	48.2449759376382	0.0210701623788985
HT29	0.031111255	32.5487202028572	32.2058110890438	32.205811089044	0.0378234322169698
MALME_3M	0.020798529	49.3717533310798	49.1778475778382	49.1778475778382	0.0307370401470998
SR	0.019171008	48.4563580694845	47.9239643854598	47.92396438546	0.0322729253147505
UO_31	0.013033577	48.8066899961904	48.7062214772959	48.7062214772959	0.0171552199740566
MDMAMB_231	0.010926773	48.8223933118744	48.3503547056155	48.3503547056156	0.0163627124516075
HOP62	0.011473383	48.8499895119499	48.7480523764474	48.7480523764474	0.0172193900384349
NCI_H226	0.018027769	48.3688098194445	47.8580628149758	47.8580628149758	0.023604748473467
HOP92	0.02270517	48.8500459928921	48.6658809357023	48.6658809357023	0.0280225853098087
O_786	0.025987054	48.7941953862204	48.1460878487599	48.1460878487599	0.0289262929025794
