cellNames	experimental	media	glucose	L-lactate	threonine
HS_578T	0.035730055	0.00127951903775143	0.0012795190377515	0.00127951903775151	0.00127951903775151
RPMI_8226	0.018333143	0.00138065304504308	0.00138065304504305	0.00138065304504305	0.00138065304504305
HT29	0.031111255	0.00208297522544806	0.00208297522544809	0.00208297522544809	0.00208297522544809
MALME_3M	0.020798529	0.0018260982618644	0.0018260982618645	0.00182609826186449	0.00182609826186439
SR	0.019171008	0.0018349465523718	0.00183494655237478	0.00183494655237171	0.00183494655237272
UO_31	0.013033577	0.00111813186953342	0.00111813186953342	0.00111813186953342	0.00111813186953341
MDMAMB_231	0.010926773	0.00131589771368244	0.00131589771368244	0.00131589771368244	0.00131589771368244
HOP62	0.011473383	0.00108851508795101	0.00108851486808724	0.00108851509748376	0.00108851510071938
NCI_H226	0.018027769	0.00160091786197511	0.00160091786197503	0.00160091786197509	0.00160091786197501
HOP92	0.02270517	0.000909123328243308	0.000909126804962649	0.000909126987096627	0.000909123363441135
O_786	0.025987054	0.00065226213032572	0.000652262110786084	0.000652262110786084	0.000652262179524224
