rxns	formulas	model_ranges	ecModel_ranges	subSystems
MAR04097	acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]	56.7078129673948	0.199932283840404	Glycolysis / Gluconeogenesis
MAR04099	acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]	56.7078129674076	0.0984859123251977	Glycolysis / Gluconeogenesis
MAR04108	acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c]	56.7078129673953	0.187111635596355	Glycolysis / Gluconeogenesis
MAR04133	acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c]	56.7078129673953	0.187111635596355	Glycolysis / Gluconeogenesis
MAR04281	H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x]	2000	0.256023769729119	Glycolysis / Gluconeogenesis
MAR04388	H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]	2000	2.91031824588481	Glycolysis / Gluconeogenesis
MAR04283	acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]	1000	0.273583291078095	Glycolysis / Gluconeogenesis
MAR08357	acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]	1000	0.215604809088044	Glycolysis / Gluconeogenesis
MAR04379	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]	269.962088631082	0.836594286611879	Glycolysis / Gluconeogenesis
MAR04301	fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]	269.962088631116	0.839286318008059	Glycolysis / Gluconeogenesis
MAR04355	DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]	69.9999999999971	0.135818817445725	Glycolysis / Gluconeogenesis
MAR04358	ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c]	1000	2.05317121588162	Glycolysis / Gluconeogenesis
MAR04360	H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c]	980.896789140984	0.112680881831227	Glycolysis / Gluconeogenesis
MAR04363	2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]	70.1890658060431	1.074105875311	Glycolysis / Gluconeogenesis
MAR04365	2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]	70.1890658060604	1.14267509450079	Glycolysis / Gluconeogenesis
MAR04368	1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]	69.9999999999577	1.1373878255982	Glycolysis / Gluconeogenesis
MAR04370	1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]	69.9999999999882	0.468164260328191	Glycolysis / Gluconeogenesis
MAR04371	1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]	69.9999999999896	0.00019282563135059	Glycolysis / Gluconeogenesis
MAR04372	2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]	69.9999999999906	0.00019282563135059	Glycolysis / Gluconeogenesis
MAR04373	1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> D-glyceraldehyde 3-phosphate[c] + NAD+[c] + Pi[c]	69.9999999999868	1.1138846029251	Glycolysis / Gluconeogenesis
