rxns	formulas	model_ranges	ecModel_ranges	subSystems
HMR_9727	UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c]	995.552970895529	0.0364296510111496	Starch and sucrose metabolism
HMR_5397	glycogenin G11[c] => glycogenin G4G7[c]	181.413906445048	0.00410119237403276	Starch and sucrose metabolism
HMR_5398	glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]	181.413906445048	0.00410119237403276	Starch and sucrose metabolism
HMR_5399	glycogenin G4G4[c] => glycogenin G7G1[c]	181.413906445048	0.0033775105281192	Starch and sucrose metabolism
HMR_5400	glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]	181.413906445048	0.0033775105281192	Starch and sucrose metabolism
HMR_5401	glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]	181.413906445048	0.00410119237495011	Starch and sucrose metabolism
HMR_8585	1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]	10.0000000000381	0.0215564466157814	Starch and sucrose metabolism
HMR_3944	glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c]	1000	0.0367803836417137	Galactose metabolism
HMR_4128	UDP-galactose[c] <=> UDP-glucose[c]	995.552970895529	0.0189028053041945	Galactose metabolism
HMR_4130	ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c]	1000	0.023948327304831	Galactose metabolism
HMR_4131	glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c]	1995.55297089553	0.0708308924406618	Galactose metabolism
HMR_4132	galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c]	1000	0.0202918048184875	Galactose metabolism
HMR_4414	ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c]	1000	0.0202918048184875	Galactose metabolism
HMR_4415	H2O[s] + lactose[s] => galactose[s] + glucose[s]	737.604256322836	0.00552425769409356	Galactose metabolism
HMR_4774	CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]	2000	0.0953996333933177	Galactose metabolism
HMR_4775	D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]	2000	0.0953996332079163	Galactose metabolism
HMR_4831	lactose[s] + NAD+[s] <=> 3-ketolactose[s] + H+[s] + NADH[s]	9.9999999999967	0.00348610861063542	Galactose metabolism
HMR_4832	3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s]	9.99999999999534	0.00333927078537793	Galactose metabolism
HMR_7674	glucose[g] + UDP-galactose[g] => H+[g] + lactose[g] + UDP[g]	737.604256322808	0.00559699653825875	Galactose metabolism
HMR_8764	H2O[l] + lactose[l] => galactose[l] + glucose[l]	737.60425632284	0.00530415192767212	Galactose metabolism
HMR_8766	galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c]	995.55297089553	0.0181890469290899	Galactose metabolism
HMR_8767	alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c]	1000	0.0498666786069753	Galactose metabolism
HMR_0454	ATP[c] + glyceraldehyde[c] => ADP[c] + GAP[c] + H+[c]	737.615595935826	0.0120467450081016	Fructose and mannose metabolism
HMR_4297	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]	1000	0.00502614299341136	Fructose and mannose metabolism
HMR_4315	D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c]	1000	0.156366828422358	Fructose and mannose metabolism
HMR_4316	D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]	2000	0.334641328230523	Fructose and mannose metabolism
HMR_4319	ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c]	1000	0.140673215167822	Fructose and mannose metabolism
